༄༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་ལ་ལི་ཏ་བི་སྟཱ་ར་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་རྒྱ་ཆེར་རོལ་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra The Play in Full
།ལྷ་ཡི་རིན་ཆེན་རིན་ཐང་ཆེན་པོས་རྩ་སྤྲས་པ། ||| The legs of her bed were embellished with costly divine jewels;
།ཁྲི་ལ་གོས་མཆོག་མང་པོས་ཡིད་འོང་མལ་བཤམས་ཏེ། ||| It was a pleasing bed bestrewn with flowers.
།མལ་ཕྱིན་གཙུག་གི་ནོར་བུ་རིན་ཆེན་ཀློད་བྱས་ནས། །འདྲེས་པའི་ནགས་ཚལ་ལྷ་ཡི་བུ་མོ་བཞིན་དུ་གནས། །དགེ་སློང་དག་དེ་ནས་རྒྱལ་པོ་ཆེན་པོ་བཞི་དང་། ལྷའི་དབང་པོ་བརྒྱ་བྱིན་དང་། ལྷའི་བུ་རབ་འཐབ་བྲལ་དང་། ཡོངས་སུ་དགའ་ལྡན་དང་། རབ་འཕྲུལ་དགའ་དང་། ||| There she unfastened her tiara of precious jewels, Like a goddess in the Miśraka Garden. Monks, in the meantime the gods were gathering. There were the Four Great Kings; Śakra, lord of the gods; and the gods of Suyāma, Santuṣita, Sunirmita, and Para­nirmita­vaśa­vartin.
གཞན་འཕྲུལ་དབང་བྱེད་དང་། བདུད་ཀྱི་བུ་དེད་དཔོན་དང་། མི་མཇེད་ཀྱི་བདག་པོ་ཚངས་པ་དང་། མདུན་ན་འདོན་ཚངས་མཆོག་དང་། མདུན་ན་འདོན་ཚངས་བཟངས་དང་། འོད་བཀོད་པ་དང་། འོད་གསལ་དང་། གནས་གཙང་མའི་རིས་ཀྱི་དབང་ཕྱུག་ཆེན་པོ་དང་། མཐར་ཐུག་དང་། འོག་མིན་པ་དང་། དེ་དག་ལ་སོགས་པ་དང་། གཞན་ཡང་ལྷ་བརྒྱ་སྟོང་མང་པོ་འདུས་ཏེ། ||| There were also Sārthavāha, the officer son of Māra; Brahmā, the lord of the Sahā World; the divine priest Brahmottara; the divine priest Subrahmā; and Prabhāvyūha, Ābhāsvara, Maheśvara, and the gods living in the pure realms of Niṣṭhāgata and the Highest Heaven, as well as many hundreds of thousands of others as well.
གཅིག་ལ་གཅིག་འདི་སྐད་ཅེས་སྨྲས་སོ། ||| They spoke to one another in these words:
།གྲོགས་པོ་དག་བདག་ཅག་གིས་བྱང་ཆུབ་སེམས་དཔའ་གཅིག་པུ་གཉིས་སུ་མེད་པར་གཤེགས་སུ་གསོལ་ན། བདག་ཅག་གིས་བྱས་པ་མ་ཤེས་པར་འགྱུར་ཏེ། བདག་ཅག་ལ་མི་ཆས། ||| “Friends, if we were to allow the Bodhisattva to depart alone, without expressing our gratitude to him, it would be inappropriate.
གྲོགས་པོ་དག་ཁྱེད་ཀྱི་ནང་ནས་བྱང་ཆུབ་སེམས་དཔའ་ཐོག་མ་ཡུམ་གྱི་ལྷུམས་སུ་གཤེགས་པ་དང་། ལྷུམས་ན་བཞུགས་པ་དང་། བལྟམ་པ་དང་། ཐོར་བུ་དང་། བྱིས་པའི་ནང་ན་རོལ་པ་དང་། བཙུན་མོའི་འཁོར་གྱི་ནང་ན་བཞུགས་པ་དང་། རོལ་མོ་གཟིགས་པ་དང་། མངོན་པར་འབྱུང་བ་དང་། དཀའ་བ་སྤྱོད་པ་དང་། བྱང་ཆུབ་ཀྱི་སྙིང་པོར་གཤེགས་པ་དང་། བདུད་འདུལ་བ་དང་། བྱང་ཆུབ་ཏུ་མངོན་པར་རྫོགས་པར་འཚང་རྒྱ་བ་དང་། ཆོས་ཀྱི་འཁོར་ལོ་བསྐོར་བ་དང་། །མྱ་ངན་ལས་འདས་པ་ཆེན་པོ་བསྟན་གྱི་བར་དུ་ཕན་པའི་སེམས་དང་། དགའ་བའི་སེམས་དང་། ཕངས་པའི་སེམས་དང་། བྱམས་པའི་སེམས་དང་། མཉེན་པའི་སེམས་ཀྱིས་རྟག་པར་རྒྱུན་དུ་བྱང་ཆུབ་སེམས་དཔའི་ཞབས་འབྲིང་ན་འཁོད་པར་སུ་དག་སྤྲོ། ||| Friends, who among us will have the courage to serve the Bodhisattva constantly and ceaselessly as he travels to the womb of his mother? Who will serve him as he is in the womb, when he is born, as he grows and plays as a young child? Who will serve him when he is in the female quarters watching the musical performances, and when he renounces his home and is practicing austerities? Who will serve him as he proceeds to the seat of awakening, tames the demons, attains perfect and complete awakening, and turns the wheel of the Dharma? Who will serve him until he demonstrates passing into great parinirvāṇa? Who can keep him company with a kind, affectionate, friendly, loving, and noble attitude?”
།དེའི་ཚེ་ཚིགས་སུ་བཅད་པ་འདི་དག་ཀྱང་སྨྲས་སོ། ||| Then they sang these verses:
།ཁྱེད་ལས་སུ་ཞིག་རྟག་ཏུ་དགའ་ཡིད་ཀྱིས། ||| “Who among us has the courage to follow joyfully
།གཟུགས་མཆོག་མངའ་བའི་ཞབས་འབྲིང་བྱེད་པར་སྤྲོ། ||| This being, one with such perfect appearance?
།སུ་དག་རང་གི་བསོད་ནམས་གཟི་བརྗིད་དང་། །སྟོབས་དང་གྲགས་པ་རྣམ་པར་སྤེལ་བར་འདོད། ||| Who would like to increase His merit, splendor, power, and renown?
།གང་ཞིག་ལྷ་ཡི་ཕོ་བྲང་འདི་དག་ན། །ལྷ་མོ་དག་དང་འདོད་པའི་ཡོན་ཏན་གྱི། །ལྷ་ཡི་བདེ་བས་དགའ་བར་འདོད་པ་དག །དྲི་མེད་ཟླ་བའི་ཞལ་གྱི་ཞབས་འབྲིང་གྱིས། ||| “Whoever lives in these divine palaces And wishes to enjoy the divine pleasures Of the goddesses and the divine delights, Let him serve the one with a face like an immaculate moon.
།དེ་བཞིན་འདྲེས་པའི་ནགས་ཚལ་མཛེས་པ་མཆོག །ལྷ་ཡི་འབྱུང་གནས་ལྷ་ཡི་ཕོ་བྲང་ན། །གསེར་མདོག་མེ་ཏོག་རྒྱས་པར་དགའ་འདོད་ན། །དྲི་མེད་གཟི་བརྗིད་མངའ་བའི་ཞབས་འབྲིང་གྱིས། ||| “Whoever wishes to enjoy the charming Miśraka Garden, With the celestial palace, the birthplace of the gods, Full of golden-hued flowers, Let him serve the immaculate brilliant one.
།གང་གིས་སྣ་ཚོགས་ཤིང་རྟ་དེ་བཞིན་དུ། །དགའ་ཚལ་མེ་ཏོག་མན་དཱ་ར་འདབ་རྒྱས་སུ། །ལྷ་མོ་ལྷན་ཅིག་རྩེ་བར་འདོད་པ་དག །སྐྱེས་བུ་ཆེན་པོ་འདི་ཡི་ཞབས་འབྲིང་གྱིས། ||| “Whoever wishes to frolic together with goddesses In a splendid chariot, or in the pleasure groves Carpeted with petals of māndārava flowers, Let him serve this great being.
།འཐབ་བྲལ་བདག་པོའམ་དགའ་ལྡན་བདག་པོའམ། །ཡང་ན་དབང་ཕྱུག་འགྱུར་བར་འདོད་པ་དང་། །འགྲོ་བ་ཀུན་གྱིས་མཆོད་འོས་འདོད་པ་དག །གྲགས་པ་མཐའ་ཡས་འདི་ཡི་ཞབས་འབྲིང་གྱིས། ||| “Whoever aspires to be the ruler of the Heaven Free from Strife Or to be the lord of the Heaven of Joy, Someone worthy of worship by all beings, Let him serve the one of unlimited renown.
།གང་ཞིག་འཕྲུལ་དགའི་ཁང་པ་མཛེས་པ་དང་། །དབང་སྒྱུར་ལྷ་ཡི་གནས་སུ་རྩེ་འདོད་ཅིང་། ||| “Whoever desires to enjoy himself in a beautiful mansion In the Heaven of Delighting in Emanations
།ཡིད་ཀྱི་འཕྲུལ་གྱིས་ཐམས་ཅད་སྤྱོད་འདོད་པ། ||| And wants to enjoy all the mentally created illusions,
།ཡོན་ཏན་མཆོག་མངའ་འདི་ཡི་ཞབས་འབྲིང་གྱིས། ||| Let him serve this one possessing excellent qualities.
།བདུད་ཀྱི་དབང་པོ་ཞེ་སྡང་ཡིད་མེད་པ། ||| “Whoever is a master over demons, but whose mind has no hatred,
།རྫུ་འཕྲུལ་དབང་ཕྱུག་ཀུན་གྱི་མཐར་ཕྱིན་པའི། ||| Who has attained complete mastery of all types of power,
།འདོད་པའི་དབང་ཕྱུག་དབང་མཐར་ཕྱིན་འདོད་ན། ||| Who is the master of his senses and has surpassed others,
།ཕན་པ་མཛད་པ་འདི་དང་ལྷན་ཅིག་དེང་། ||| Let him go with this benefactor.
།དེ་བཞིན་འདོད་པའི་ཁམས་ལས་འདའ་བྱས་ཏེ། ||| “Similarly whoever wishes to pass beyond the desire realm
།ཚངས་པའི་གནས་སུ་གནས་པར་སུ་འདོད་པ། ||| And reside in the realm of Brahmā,
།དེ་ནི་ཚད་མེད་བཞི་ཡི་གཟི་མངའ་བ། །སྐྱེས་བུ་ཆེན་པོའི་ཞབས་འབྲིང་དེང་ནས་གྱིས། ||| Let him serve today the great being Resplendent with the four immeasurables.
།འོན་ཏམ་གང་ཞིག་མི་ཡི་ནང་དག་ཏུ། ||| “Whoever longs to take birth among humans
།འཁོར་ལོས་སྒྱུར་ཡུལ་ཡངས་པར་སྐྱེ་འདོད་ན། །རིན་ཆེན་འབྱུང་གནས་མི་འཇིགས་བདེ་སྦྱིན་པ། །བསོད་ནམས་ཡངས་པ་མངའ་བའི་ཞབས་འབྲིང་གྱིས། ||| In the vast realm of a supreme universal monarch, Let him serve the One with Abundant Merit, The Jewel Mine, the One Who Bestows Fearlessness and Bliss.
།གང་ཞིག་ས་བདག་དེ་བཞིན་ཚོང་དཔོན་བུ། །ཕྱུག་ཅིང་སྐྱིད་ལ་ནོར་མང་ཚོགས་ཆེན་དང་། །དགྲ་ཡི་དཔུང་བཅོམ་འཁོར་དང་ལྡན་འདོད་པ། །དེ་ནི་ཕན་མཛད་འདི་དང་ལྷན་ཅིག་དེང་། ||| “Whoever wants to be a ruler or the son of a wealthy merchant, Rich and happy with great wealth, Surrounded by an army able to conquer enemies, Let him go with this benefactor.
།གཟུགས་དང་ལོངས་སྤྱོད་དེ་བཞིན་དབང་ཕྱུག་དང་། །སྙན་པ་གྲགས་དང་སྤོབས་དང་ཡོན་ཏན་དང་། །གཟུང་འོས་ཚིག་དང་མཉན་པའི་ཚིག་འདོད་པ། །དེ་ནི་ཚངས་དབྱངས་མཁས་པའི་གན་དུ་སོང་། ||| “Whoever desires beauty, luxuries, and power, And wishes for fame, courage, and good qualities, And would like to speak agreeably with words that are heeded, Let him attend upon that learned lord who speaks with the voice of Brahmā.
