འཕགས་པ་འཇིག་རྟེན་འཛིན་གྱིས་ཡོངས་སུ་དྲིས་པ་ཞེས་བྱ་བའི་མདོ། ||| The Noble Sūtra The Inquiry of Lokadhara
བརྩོན་འགྲུས་ལ་རབ་ཏུ་འབད་པའི་བྱང་ཆུབ་སེམས་དཔའ་ལྔ་བརྒྱ་པོ་དེ་དག་དགེ་བའི་རྩ་བ་དེ་ཉིད་ཀྱི་རྒྱུ་དང་རྐྱེན་གྱིས་ཚེ་འཕོས་ནས་ ||| When these five hundred bodhisattvas who had exerted themselves so diligently passed away,
ཐམས་ཅད་ཤར་ཕྱོགས་སུ་སངས་རྒྱས་ཀྱི་ཞིང་འདི་ནས་ཁྲི་ཕྲག་བཅུ་འདས་པའི་ཕ་རོལ་གྱི་སངས་རྒྱས་ཀྱི་ཞིང་དུ་སྐྱེས་སོ། ། ||| they were later born in a buddha realm one hundred thousand buddha realms to the east of here, due to the causes and conditions of their roots of virtue.
དེར་སྐྱེས་ནས་ཆོས་དེ་ལ་ནན་ཏན་བྱས་པས་ ||| Once born there, they exerted themselves in this teaching, and
རིང་པོ་མི་ཐོགས་པར་སྔོན་གྱི་གནས་དྲན་ཏེ་དབང་པོ་རྣོན་པོར་གྱུར་ཏོ། ། ||| before long they remembered their past lives and gained sharp faculties.
སངས་རྒྱས་ཀྱི་ཞིང་དེ་ན་ཚད་མེད་པའི་མེ་ཏོག་བརྩེགས་པའི་རྒྱལ་པོ་ཞེས་བྱ་བའི་དེ་བཞིན་གཤེགས་པ་ད་ལྟར་བཞུགས་ཏེ། ||| In that buddha realm is a thus-gone one named King of Immeasurable Stacked Flowers.
འཚོ་སྐྱོང་ཞིང་ཆོས་ཀྱང་སྟོན་ཏོ། ། ||| He is still alive and teaching the Dharma.
བྱང་ཆུབ་སེམས་དཔའ་དེ་དག་ལོ་བཅུ་དྲུག་ལོན་ནས། བཅོམ་ལྡན་འདས་ཚད་མེད་པའི་མེ་ཏོག་བརྩེགས་པའི་རྒྱལ་པོའི་བསྟན་པ་ལ་རབ་ཏུ་བྱུང་སྟེ། ||| When they were sixteen years old, these bodhisattvas received ordination in the teachings of the blessed one King of Immeasurable Stacked Flowers.
ལོ་ཁྲི་ཕྲག་དྲུག་ཅུའི་བར་དུ་གཞོན་ནུར་ཚངས་པར་སྤྱད་པ་སྤྱོད་ཅིང་དེ་ལྟ་བུའི་བརྩོན་འགྲུས་ལ་ནན་ཏན་བྱེད་དོ། ། ||| For six hundred thousand years, they practiced pure conduct as youths and exerted themselves in this type of diligence.
འཇིག་རྟེན་འཛིན་བྱང་ཆུབ་སེམས་དཔའ་ལྔ་བརྒྱ་པོ་དེ་དག་དེ་ལྟར་དེ་བཞིན་གཤེགས་པ་ཁྲི་ཕྲག་ཉི་ཤུ་དང་ཕྲད་དེ། ||| “Lokadhara, in that fashion these five hundred bodhisattvas met two hundred thousand thus-gone ones, and
བཅོམ་ལྡན་འདས་དེ་དག་གི་སྤྱན་སྔར་བརྩོན་འགྲུས་ཤིན་ཏུ་བརྩམས་པས་དྲན་པ་དང་། བདེ་བ་དང་། ཤེས་རབ་ཕུལ་དུ་གྱུར་པ་དང་ལྡན་པར་གྱུར་ཏོ། ། ||| by practicing diligence in their presence, gained supreme mindfulness, happiness, and insight.
ཐ་མ་བཅོམ་ལྡན་འདས་ཚད་མེད་པ་སྟོབས་མཐོ་བའི་རྒྱལ་པོ་ཞེས་བྱ་བ་དང་ཕྲད་ནས་བཅོམ་ལྡན་འདས་དེས་ལུང་བསྟན་པ། ཁྱེད་བསྐལ་པ་ཁྲི་འདས་ནས་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་མངོན་པར་འཚང་རྒྱའོ་ཞེས་ལུང་བསྟན་ཏོ། ། ||| Finally, they met the blessed one King of Lofty and Immeasurable Power, who gave them this prophecy: ‘After ten thousand eons, you will fully awaken to unsurpassed and perfect buddhahood.’
བྱང་ཆུབ་སེམས་དཔའ་ལྔ་བརྒྱ་པོ་དེ་དག་ཀྱང་བསྐལ་པ་ཁྲིའི་བར་དུ་སངས་རྒྱས་སྟོང་ཕྲག་གཉིས་དང་ཕྲད་ནས་ ||| Throughout that ten-thousand-eon period, those five hundred bodhisattvas met two thousand buddhas.
སངས་རྒྱས་ཀྱི་བྱང་ཆུབ་ཡོངས་སུ་རྫོགས་ཏེ། བསྐལ་པ་གཅིག་ལ་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་མངོན་པར་སངས་རྒྱས་སོ། ། ||| In this way, they perfected the awakening of the buddhas, until finally, one eon, they fully awakened to unsurpassed and perfect buddhahood.
འཇིག་རྟེན་འཛིན་དེ་བས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམས་མྱུར་དུ་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཐོབ་པར་འདོད་པ་དག་རྣམ་པར་དག་པའི་ཡེ་ཤེས་ཀྱི་སྟོབས་ལ་དེ་ལྟར་མོས་པ་དང་། བརྩོན་འགྲུས་དང་། བག་བྱེད་པ་བསྐྱེད་པར་རིག་པར་བྱའོ། ། ||| “Lokadhara, therefore one should know that bodhisattvas who want to swiftly attain unsurpassed and perfect awakening ought to develop such interest, diligence, and carefulness regarding the purificatory wisdom strength.
དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| Why is this?
འཇིག་རྟེན་འཛིན་སངས་རྒྱས་རྣམས་ཀྱི་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཐོབ་པའི་རྩ་བ་ནི་མོས་པ་དང་། བརྩོན་འགྲུས་དང་། བག་བྱེད་པ་དང་། གཞན་ཡང་བྱང་ཆུབ་ཀྱི་ཕྱོགས་སུ་གྱུར་པའི་ཆོས་གང་སངས་རྒྱས་ཀྱི་ཆོས་ཕུན་སུམ་ཚོགས་པར་བྱེད་པ་རྣམས་སོ། ། ||| Lokadhara, interest, diligence, and carefulness, along with the factors of awakening, are the roots of attaining the unsurpassed and perfect awakening of the buddhas—they complete the qualities of buddhahood.
འཇིག་རྟེན་འཛིན་ངས་དེ་ལྟ་བུའི་བརྩོན་འགྲུས་ཀྱིས་སངས་རྒྱས་ཁྲི་ཕྲག་ཉི་ཤུ་དང་ཕྲད་དེ། ||| “Lokadhara, as I practiced such diligence, I met with two hundred thousand buddhas, and
སངས་རྒྱས་དེ་དག་གི་ཆོས་ཀྱང་སྐྱེ་བའི་གནས་ཐམས་ཅད་དུ་དྲན་པ་དང་ལྡན་པར་འགྱུར། ||| their teachings enabled me to recall all my past lives.
སྐྱེ་བའི་གནས་ཐམས་ཅད་དུ་སྔོན་གྱི་གནས་དྲན་པས་ཆོས་འདི་བསྒོམ་པ་ལ་བར་ཆད་མེད་དེ། ||| By remembering the circumstances of all my past lives, I eliminated obstacles to the cultivation of this teaching.
ངས་མོས་པ་དང་། བརྩོན་འགྲུས་དང་། བག་བྱས་པ་ལས་མ་ཉམས་པས་རྟག་ཏུ་མོས་པ་དང་། བརྩོན་འགྲུས་དང་། བག་ཡོད་པ་དང་ལྡན་པར་གྱུར་ཏོ། ། ||| Never letting my interest, diligence, and carefulness decline, my interest, diligence, and carefulness became continuous.”
དེའི་ཚེ་བཅོམ་ལྡན་འདས་ཐུགས་རྗེ་དང་བྱམས་པ་ཆེན་པོའི་ཐུགས་ཀྱིས་ཕྱོགས་བཞིར་གཟིགས་ནས་མངོན་པར་ཤེས་པའི་རྫུ་འཕྲུལ་གྱི་མཐུ་བསྟན་ཏེ། ||| The Blessed One then gazed into the four directions with his mind of great love and compassion and displayed the miraculous power of his extraordinary abilities.
སྟོང་གསུམ་གྱི་སྟོང་ཆེན་པོའི་འཇིག་རྟེན་གྱི་ཁམས་ཀྱི་འཛམ་བུའི་གླིང་ཀུན་ཏུ་སྤྲུལ་པའི་སངས་རྒྱས་དག་བཞུགས་ཤིང་སེམས་ཅན་རྣམས་ལ་སེམས་ཅན་ཐམས་ཅད་ཀྱི་ཐེ་ཚོམ་གཅོད་ཅིང་། སེམས་ཅན་ཐམས་ཅད་ཀྱི་སེམས་མགུ་བར་བྱེད་པའི་བྱང་ཆུབ་སེམས་དཔའི་སྡེ་སྣོད་ཅེས་བྱ་བའི་མདོ་སྟོན་པར་གྱུར་ཏོ། ། ||| He emanated buddhas into all the Jambudvīpas of the great trichiliocosm, where they each taught the discourse from the Bodhisattva Collection called Countering the Doubts and Pleasing the Minds of All Beings .
གཞན་ཡང་རྫུ་འཕྲུལ་གྱི་མཐུས་འོད་མའི་ཚལ་གྱི་འཁོར་གྱི་དཀྱིལ་འཁོར་ཀུན་ཀྱང་སྤྲུལ་པའི་སངས་རྒྱས་ཀྱིས་འཛམ་བུའི་གླིང་གང་བ་བཞུགས་ཤིང་སོ་སོ་ནས་དམ་པའི་ཆོས་སྟོན་པར་མཐོང་ནས ||| Furthermore, through his miraculous ability, the many assemblies in Veṇuvana were able to behold the emanated buddhas filling the Jambudvīpas, each teaching the Dharma, whereby
འཁོར་གྱི་དཀྱིལ་འཁོར་རྣམས་རབ་ཏུ་དགའ་བར་གྱུར་ཏེ། ||| all the assemblies were delighted.
འདུག་པ་ལས་ལངས་ནས་སངས་རྒྱས་ལ་ཕྱག་འཚལ་ཏེ། འདི་སྐད་དུ་ངོ་མཚར་ཆེའོ། ། ||| They rose from their seats, prostrated to the Buddha, and marveled,
བཅོམ་ལྡན་འདས་སངས་རྒྱས་བཅོམ་ལྡན་འདས་ཀྱི་རྫུ་འཕྲུལ་གྱི་མཐུ་བསམ་གྱིས་མི་ཁྱབ་བོ། ། ||| “Blessed One, the miraculous ability of the blessed buddhas is unfathomable.
ཚད་མེད་པ་བསམ་གྱིས་མི་ཁྱབ་པའི་ཆོས་ལྷུན་གྱིས་གྲུབ་བོ་ཞེས་སྨྲས་སོ། ། ||| The immeasurable and unfathomable Dharma is spontaneously accomplished.”
