༄༅༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་སརྦ་དྷརྨ་སྭ་བྷཱ་བ་ས་མ་ཏཱ་བི་པཉྩི་ཏ་ས་མཱ་དྷི་རཱ་ཛ་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་ཆོས་ཐམས་ཅད་ཀྱི་རང་བཞིན་མཉམ་པ་ཉིད་རྣམ་པར་སྤྲོས་པ་ཏིང་ངེ་འཛིན་གྱི་རྒྱལ་པོ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Mahāyāna Sūtra The King of Samādhis, the Revealed Equality of the Nature of All Phenomena
བཞི་གང་ཞེ་ན། འདུ་བྱེད་ཀྱི་བསླབ་པ་བསམ་གྱིས་མི་ཁྱབ་པ་དང་འདུ་བྱེད་ཡོངས་སུ་བཤད་པའི་བསླབ་པ་བསམ་གྱིས་མི་ཁྱབ་པ་དང་། ཀུན་ནས་ཉོན་མོངས་པའི་བསླབ་པ་བསམ་གྱིས་མི་ཁྱབ་པ་དང་རྣམ་པར་བྱང་བའི་བསླབ་པ་བསམ་གྱིས་མི་ཁྱབ་པ་དང་འདི་བཞིའོ། ||| What are the four kinds of training? They are the inconceivably numerous kinds of training concerning the composite, the inconceivably numerous kinds of training concerning teaching the composite, the inconceivably numerous kinds of training concerning the kleśas, and the inconceivably numerous kinds of training concerning purification.
།གཞོན་ནུ་འདི་དག་ནི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་སྤྱོད་ཡུལ་བཞི་སྟེ། ||| Those are the four. “Young man, the bodhisattvas have four kinds of fields of conduct.
བཞི་གང་ཞེ་ན། འདུ་བྱེད་ཀྱི་སྤྱོད་ཡུལ་བསམ་གྱིས་མི་ཁྱབ་པ་དང་འདུ་བྱེད་ཡོངས་སུ་བཤད་པའི་སྤྱོད་ཡུལ་བསམ་གྱིས་མི་ཁྱབ་པ་དང་། ཀུན་ནས་ཉོན་མོངས་པའི་སྤྱོད་ཡུལ་བསམ་གྱིས་མི་ཁྱབ་པ་དང་རྣམ་པར་བྱང་བའི་སྤྱོད་ཡུལ་བསམ་གྱིས་མི་ཁྱབ་པ་དང་འདི་བཞིའོ། ||| What are the four kinds of fields of conduct? They are the inconceivably numerous fields of conduct concerning the composite, the inconceivably numerous fields of conduct concerning teaching the composite, the inconceivably numerous fields of conduct concerning the kleśas, and the inconceivably numerous fields of conduct concerning purification.
།གཞོན་ནུ་འདི་དག་ནི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་ལས་བཞི་སྟེ། ||| Those are the four. “Young man, the bodhisattvas have four kinds of action.
བཞི་གང་ཞེ་ན། ||| What are the four kinds of action?
འདུ་བྱེད་ཀྱི་ལས་བསམ་གྱིས་མི་ཁྱབ་པ་དང་འདུ་བྱེད་ཡོངས་སུ་བཤད་པའི་ལས་བསམ་གྱིས་མི་ཁྱབ་པ་དང་ཀུན་ནས་ཉོན་མོངས་པའི་ལས་བསམ་གྱིས་མི་ཁྱབ་པ་དང་རྣམ་པར་བྱང་བའི་ལས་བསམ་གྱིས་མི་ཁྱབ་པ་དང་འདི་བཞིའོ། ||| They are the inconceivably numerous kinds of action concerning the composite, the inconceivably numerous kinds of action concerning teaching the composite, the inconceivably numerous kinds of action concerning the kleśas, and the inconceivably numerous kinds of action concerning purification. Those are the four.
།གཞོན་ནུ་འདི་དག་ནི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་སྤོབས་པ་བཞི་སྟེ། ||| “Young man, the bodhisattvas have four kinds of eloquence.
བཞི་གང་ཞེ་ན། ||| What are the four kinds of eloquence?
འདུ་བྱེད་ཀྱི་སྤོབས་པ་བསམ་གྱིས་མི་ཁྱབ་པ་དང་འདུ་བྱེད་ཡོངས་སུ་བཤད་པའི་སྤོབས་པ་བསམ་གྱིས་མི་ཁྱབ་པ་དང་ཀུན་ནས་ཉོན་མོངས་པའི་སྤོབས་པ་བསམ་གྱིས་མི་ཁྱབ་པ་དང་རྣམ་པར་བྱང་བའི་སྤོབས་པ་བསམ་གྱིས་མི་ཁྱབ་པ་དང་འདི་བཞིའོ། ||| They are the inconceivably numerous kinds of eloquence concerning the composite, the inconceivably numerous kinds of eloquence concerning teaching the composite, the inconceivably numerous kinds of eloquence concerning the kleśas, and the inconceivably numerous kinds of eloquence concerning purification. Those are the four.
།གཞོན་ནུ་འདི་དག་ནི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་ལམ་བསྒོམ་པ་བཞི་སྟེ། བཞི་གང་ཞེ་ན། ||| “Young man, the bodhisattvas have four kinds of meditation on the path. What are the four kinds of meditation on the path?
འདུ་བྱེད་ཀྱི་ལམ་བསྒོམ་པ་བསམ་གྱིས་མི་ཁྱབ་པ་དང་འདུ་བྱེད་ཡོངས་སུ་བཤད་པའི་ལམ་བསྒོམ་པ་བསམ་གྱིས་མི་ཁྱབ་པ་དང་། ཀུན་ནས་ཉོན་མོངས་པའི་ལམ་བསྒོམ་པ་བསམ་གྱིས་མི་ཁྱབ་པ་དང་རྣམ་པར་བྱང་བའི་ལམ་བསྒོམ་པ་བསམ་གྱིས་མི་ཁྱབ་པ་དང་འདི་བཞིའོ། ||| They are the inconceivably numerous kinds of meditation on the path concerning the composite, the inconceivably numerous kinds of meditation on the path concerning teaching the composite, the inconceivably numerous kinds of meditation on the path concerning the kleśas, and the inconceivably numerous kinds of meditation on the path concerning purification. Those are the four.
།གཞོན་ནུ་འདི་དག་ནི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་ཀུན་ནས་ཉོན་མོངས་པའི་ཤེས་པ་བཞི་སྟེ། བཞི་གང་ཞེ་ན། ||| “Young man, the bodhisattvas have four kinds of knowledge of the kleśas. What are the four kinds of knowledge of the kleśas?
འདུ་བྱེད་ཀུན་ནས་ཉོན་མོངས་པ་ཤེས་པ་བསམ་གྱིས་མི་ཁྱབ་པ་དང་འདུ་བྱེད་ཡོངས་སུ་བཤད་པ་ཀུན་ནས་ཉོན་མོངས་པ་ཤེས་པ་བསམ་གྱིས་མི་ཁྱབ་པ་དང་ཀུན་ནས་ཉོན་མོངས་པ་ཀུན་ནས་ཉོན་མོངས་པ་ཤེས་པ་བསམ་གྱིས་མི་ཁྱབ་པ་དང་རྣམ་པར་བྱང་བ་ཀུན་ནས་ཉོན་མོངས་པ་ཤེས་པ་བསམ་གྱིས་མི་ཁྱབ་པ་དང་འདི་བཞིའོ། ||| They are the inconceivably numerous kinds of knowledge of the kleśas concerning the composite, the inconceivably numerous kinds of knowledge of the kleśas concerning teaching the composite, the inconceivably numerous kinds of knowledge of the kleśas concerning the kleśas, and the inconceivably numerous kinds of knowledge of the kleśas concerning purification. Those are the four.
།གཞོན་ནུ་འདི་དག་ནི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་འབྲས་བུ་ཡོད་པའི་ཤེས་པ་བཞི་སྟེ། བཞི་གང་ཞེ་ན། ||| “Young man, the bodhisattvas have four kinds of knowledge of the result. What are the four kinds of knowledge of the result?
འདུ་བྱེད་ཀྱི་འབྲས་བུ་ཡོད་པའི་ཤེས་པ་བསམ་གྱིས་མི་ཁྱབ་པ་དང་འདུ་བྱེད་ཡོངས་སུ་བཤད་པའི་འབྲས་བུ་ཡོད་པའི་ཤེས་པ་བསམ་གྱིས་མི་ཁྱབ་པ་དང་ཀུན་ནས་ཉོན་མོངས་པའི་འབྲས་བུ་ཡོད་པའི་ཤེས་པ་བསམ་གྱིས་མི་ཁྱབ་པ་དང་རྣམ་པར་བྱང་བའི་འབྲས་བུ་ཡོད་པའི་ཤེས་པ་བསམ་གྱིས་མི་ཁྱབ་པ་དང་འདི་བཞིའོ། ||| They are the inconceivably numerous kinds of knowledge of the result concerning the composite, the inconceivably numerous kinds of knowledge of the result concerning teaching the composite, the inconceivably numerous kinds of knowledge of the result concerning the kleśas, and the inconceivably numerous kinds of knowledge of the result concerning purification. Those are the four.
།གཞོན་ནུ་འདི་དག་ནི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་མ་རིག་པ་ཤེས་པ་བཞི་སྟེ། བཞི་གང་ཞེ་ན། ||| “Young man, the bodhisattvas have four kinds of knowledge of ignorance. What are the four kinds of knowledge of ignorance?
འདུ་བྱེད་ཀྱི་མ་རིག་པ་ཤེས་པ་བསམ་གྱིས་མི་ཁྱབ་པ་དང་འདུ་བྱེད་ཡོངས་སུ་བཤད་པའི་མ་རིག་པ་ཤེས་པ་བསམ་གྱིས་མི་ཁྱབ་པ་དང་། ཀུན་ནས་ཉོན་མོངས་པའི་མ་རིག་པ་ཤེས་པ་བསམ་གྱིས་མི་ཁྱབ་པ་དང་རྣམ་པར་བྱང་བའི་མ་རིག་པ་ཤེས་པ་བསམ་གྱིས་མི་ཁྱབ་པ་དང་འདི་བཞིའོ། ||| They are the inconceivably numerous kinds of knowledge of ignorance concerning the composite, the inconceivably numerous kinds of knowledge of ignorance concerning teaching the composite, the inconceivably numerous kinds of knowledge of ignorance concerning the kleśas, and the inconceivably numerous kinds of knowledge of ignorance concerning purification. Those are the four.
།གཞོན་ནུ་འདི་དག་ནི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་སྡུག་བསྔལ་ཤེས་པ་བཞི་སྟེ། བཞི་གང་ཞེ་ན། ||| “Young man, the bodhisattvas have four kinds of knowledge of suffering. What are the four kinds of knowledge of suffering?
འདུ་བྱེད་ཀྱི་སྡུག་བསྔལ་ཤེས་པ་བསམ་གྱིས་མི་ཁྱབ་པ་དང་འདུ་བྱེད་ཡོངས་སུ་བཤད་པའི་སྡུག་བསྔལ་ཤེས་པ་བསམ་གྱིས་མི་ཁྱབ་པ་དང་། ཀུན་ནས་ཉོན་མོངས་པའི་སྡུག་བསྔལ་ཤེས་པ་བསམ་གྱིས་མི་ཁྱབ་པ་དང་རྣམ་པར་བྱང་བའི་སྡུག་བསྔལ་ཤེས་པ་བསམ་གྱིས་མི་ཁྱབ་པ་དང་འདི་བཞིའོ། ||| They are the inconceivably numerous kinds of knowledge of suffering concerning the composite, the inconceivably numerous kinds of knowledge of suffering concerning teaching the composite, the inconceivably numerous kinds of knowledge of suffering concerning the kleśas, and the inconceivably numerous kinds of knowledge of suffering concerning purification. Those are the four.
