༄༅༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་བྲཧྨ་བི་ཤེ་ཥ་ཙིན་ཏི་པ་རི་པྲྀཙྪ་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་ཚངས་པ་ཁྱད་པར་སེམས་ཀྱིས་ཞུས་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra The Questions of Brahma­viśeṣacintin
བཀའ་སྩལ་པ། གང་དག་སྲོག་གི་ཕྱིར་ཡང་བསླབ་པ་མི་འདྲལ་བ་རྣམས་སོ། ། ||| “Those who abide by the training, even at the cost of their lives.”
གསོལ་པ། དེ་བཞིན་གཤེགས་པ་ལ་རི་མོ་དང་བཅས་པ་གང་དག་ལགས། ||| “Tell us, who worships the thus-gone ones?”
བཀའ་སྩལ་པ། གང་དབང་པོ་རབ་ཏུ་བསྡམས་ཏེ་གནས་པ་རྣམས་སོ། ||| “Those who control their faculties.”
།གསོལ་པ། འཇིག་རྟེན་ན་ནོར་ཆེ་བ་གང་དག་ལགས། ||| “Tell us, who is the richest in the world?”
བཀའ་སྩལ་པ། གང་དག་ནོར་བདུན་དང་ལྡན་པ་རྣམས་སོ། ། ||| “Those who are endowed with the seven riches.”
གསོལ་པ། འཇིག་རྟེན་ན་མཆོག་འཚལ་བ་གང་དག་ལགས། ||| “Tell us, who pursues the best in the world?”
བཀའ་སྩལ་པ། འཇིག་རྟེན་ན་གང་དག་ལ་ཤེས་རབ་བླ་ན་མེད་པ་ཡོད་པ་རྣམས་སོ། ། ||| “Those in the world who have unsurpassable insight.”
གསོལ་པ། རབ་ཏུ་དབེན་པ་གང་དག་ལགས། ||| “Tell us, who is disengaged?”
བཀའ་སྩལ་པ། གང་དག་ཁམས་གསུམ་དུ་སྨོན་པ་མེད་པ་རྣམས་སོ། ། ||| “Those who yearn for nothing in the three realms.”
གསོལ་པ། འཇིག་རྟེན་ན་ཤིན་ཏུ་བསྡམས་པ་གང་དག་ལགས། ||| “Tell us, who in the world is well restrained?”
བཀའ་སྩལ་པ། གང་ཀུན་ཏུ་སྦྱོར་བ་ཐམས་ཅད་ཤིན་ཏུ་བྱང་བ་རྣམས་སོ། ||| “Those who have refined away all fetters.”
།གསོལ་པ། འཇིག་རྟེན་ན་བདེ་བ་རྣམས་གང་དག་ལགས། ||| “Tell us, who is happy in the world?”
བཀའ་སྩལ་པ། གང་རྣམས་ལ་ཡོངས་སུ་འཛིན་པ་མེད་པའོ། ། ||| “Those who have no grasping.”
གསོལ་པ། ཡོངས་སུ་མི་འཛིན་པ་གང་དག་ལགས། ||| “Tell us, who is free of grasping?”
བཀའ་སྩལ་པ། གང་དག་གི་ཕུང་པོ་ཡོངས་སུ་ཤེས་པའོ། ||| “Those who know the five aggregates.”
།གསོལ་པ། ཕ་རོལ་ཏུ་མཆིས་པ་གང་དག་ལགས། ||| “Tell us, who has crossed over?”
བཀའ་སྩལ་པ། གང་གིས་སྐྱེ་མཆེད་དྲུག་སྤངས་པ་རྣམས་སོ། ། ||| “Those who have relinquished the six sense fields.”
གསོལ་པ། བཅོམ་ལྡན་འདས་འགྲམ་དུ་ཕྱིན་པ་རྣམས་གང་དག་ལགས། ||| “Blessed One, who has gone to the other shore?”
བཀའ་སྩལ་པ། ཚངས་པ་གང་གིས་མཉམ་པ་ཉིད་ཐོབ་པ་རྣམས་སོ། ། ||| “Brahmā, those who have attained equality.”
གསོལ་པ། བཅོམ་ལྡན་འདས་ཇི་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་སྦྱིན་པ་རྒྱས་པ་ལགས། ||| “Blessed One, tell us, when does the bodhisattvas’ generosity blossom?”
བཀའ་སྩལ་པ། ནམ་སེམས་ཅན་ཐམས་ཅད་ཐམས་ཅད་མཁྱེན་པའི་སེམས་ལ་མོས་པར་བྱེད་པའོ། ||| “When they inspire beings toward the mind of omniscience.”
།གསོལ་པ་ཇི་ལྟར་ན། ཚུལ་ཁྲིམས་དང་ལྡན་པ་རྣམས་ལགས། ||| “Tell us, when are bodhisattvas endowed with discipline?”
བཀའ་སྩལ་པ། ནམ་ཐམས་ཅད་མཁྱེན་པའི་སེམས་མི་འདོར་བའོ། ||| “When they do not abandon the mind of omniscience.”
གསོལ་པ། ཇི་ལྟར་ན་བཟོད་པ་དང་ལྡན་པ་རྣམས་ལགས། ||| “Tell us, when are bodhisattvas endowed with patience?”
བཀའ་སྩལ་པ། ནམ་ཐམས་ཅད་མཁྱེན་པའི་སེམས་མི་ཟད་པར་མཐོང་བ་རྣམས་སོ། ། ||| “When they see that the mind of omniscience is inexhaustible.”
གསོལ་པ། ཇི་ལྟར་ན་བརྩོན་འགྲུས་དང་ལྡན་པ་རྣམས་ལགས། ||| “Tell us, when are bodhisattvas endowed with diligence?”
བཀའ་སྩལ་པ། ནམ་ཐམས་ཅད་མཁྱེན་པའི་སེམས་ལ་བརྟགས་ནས་མི་དམིགས་པའོ། ། ||| “When they investigate the mind of omniscience without apprehending it.”
གསོལ་པ། ཇི་ལྟར་ན་བསམ་གཏན་པ་རྣམས་ལགས། ||| “Tell us, when are bodhisattvas in concentration?”
བཀའ་སྩལ་པ། ནམ་ཐམས་ཅད་མཁྱེན་པའི་སེམས་རང་བཞིན་གྱིས་ཞི་བར་རབ་ཏུ་རྟོགས་པའོ། ། ||| “When they realize the natural peace of the mind of omniscience.”
གསོལ་པ། ཇི་ལྟར་ན་ཤེས་རབ་དང་ལྡན་པ་རྣམས་ལགས། ||| “Tell us, when are bodhisattvas endowed with insight?”
བཀའ་སྩལ་པ། ནམ་ཆོས་ཐམས་ཅད་ལ་སྤྲོས་པར་མི་བྱེད་པའོ། ||| “When they do not conceptually elaborate any phenomenon.”
།གསོལ་པ། ཇི་ལྟར་ན་བྱམས་པ་ལ་གནས་པ་རྣམས་ལགས། ||| “Tell us, when do they abide in loving kindness?”
བཀའ་སྩལ་པ། ནམ་སེམས་ཅན་དུ་འདུ་ཤེས་འཇུག་པར་མི་བྱེད་པའོ། ||| “When they do not conceive of beings.”
།གསོལ་པ། ཇི་ལྟར་ན་སྙིང་རྗེ་ལ་གནས་པ་རྣམས་ལགས། ||| “Tell us, when do they abide in compassion?”
བཀའ་སྩལ་པ། ནམ་ཆོས་ཐམས་ཅད་ལ་འདུ་ཤེས་འཇུག་པར་མི་བྱེད་པའོ། ||| “When they do not conceive of any phenomenon.”
།གསོལ་པ། ཇི་ལྟར་ན་དགའ་བ་ལ་གནས་པ་རྣམས་ལགས། ||| “Tell us, when do they abide in joy?”
བཀའ་སྩལ་པ། ནམ་བདག་ཏུ་འདུ་ཤེས་འཇུག་པར་མི་བྱེད་དོ། ། ||| “When they do not conceive of a self.”
གསོལ་པ། ཇི་ལྟར་ན་བཏང་སྙོམས་ལ་གནས་པ་རྣམས་ལགས། ||| “Tell us, when do they abide in equanimity?”
བཀའ་སྩལ་པ། ནམ་བདག་དང་གཞན་དུ་འདུ་ཤེས་འཇུག་པར་མི་བྱེད་པའོ། ||| “When they do not conceive of self and other.”
།གསོལ་པ། ཇི་ལྟར་ན་དད་པ་ལ་གནས་པ་རྣམས་ལགས། ||| “Tell us, when do they have faith?”
བཀའ་སྩལ་པ། ནམ་ཆོས་ཐམས་ཅད་བརྗོད་དུ་མེད་པར་མོས་པའོ། ། ||| “When they trust in the inexpressibility of all things.”
གསོལ་པ། ཇི་ལྟར་ན་ཐོས་པ་ལ་གནས་པ་རྣམས་ལགས། ||| “Tell us, when are they learned?”
བཀའ་སྩལ་པ། ནམ་སྒྲ་ཐམས་ཅད་ལ་མངོན་པར་མི་ཆགས་པའོ། ། ||| “When they have abandoned attachment to any sound.”
གསོལ་པ། ཇི་ལྟར་ན་ངོ་ཚ་འཚལ་བ་དང་ལྡན་པ་རྣམས་ལགས། ||| “Tell us, when do they become dignified?”
བཀའ་སྩལ་པ། ནང་ཡོངས་སུ་ཤེས་པས་སོ། ། ||| “When they understand their inner components.”
གསོལ་པ། ཇི་ལྟར་ན་ཁྲེལ་མཆིས་པ་ཕུན་སུམ་ཚོགས་པ་རྣམས་ལགས། ||| “Tell us, when do they have perfect propriety?”
བཀའ་སྩལ་པ། ཕྱི་རོལ་གྱི་སྐྱེ་མཆེད་འདོར་བས་སོ། ། ||| “When they abandon the outer sense fields.”
གསོལ་པ། བཅོམ་ལྡན་འདས་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཇི་ལྟར་ན་ཡོན་ཏན་ཐམས་ཅད་ཚོགས་ཤིང་ཀུན་ཏུ་འགྲོ་བ་རྣམས་ལགས། ||| “Blessed One, when do bodhisattvas have qualities that are always present?”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། ལུས་དང་། ངག་དང་། ཡིད་ཀྱི་ལས་ཡོངས་སུ་དག་པས་སོ། ||| “When they purify the karmic actions of their bodies, speech, and minds,” the Blessed One replied.
།དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་དེའི་ཚེ་ཚིགས་སུ་བཅད་པ་འདི་དག་གསུངས་སོ། ||| At that point the Blessed One spoke the following verses:
།ལུས་ནི་རྣམ་པར་དག་ཅིང་སྡིག་པ་མི་བྱེད་དེ། ||| “Their bodies are pure and do not carry out evil deeds.
།ངག་ཀྱང་རྣམ་པར་དག་པས་རྟག་ཏུ་རྫུན་རྣམས་སྤངས། ||| Their words are also pure, so that they have forever abandoned lies.
།ཡིད་ཀྱང་གཙང་བས་རྟག་ཏུ་བསམ་པ་དྲི་མ་མེད། ||| Their minds are clear; their thoughts are always immaculate.
།དེ་ཕྱིར་དེ་ནི་རྒྱལ་བས་ཀུན་ཏུ་འགྲོ་བར་གསུངས། ||| This is why the victorious ones say that they are always present.
།མི་སྡུག་སྒོམ་ཞིང་འདོད་ཆགས་ཀྱིས་ཀྱང་ཆགས་པ་མེད། ||| “They meditate on repulsiveness and have no attachment bred by desire.
།བྱམས་ལ་གནས་ཤིང་ཞེ་སྡང་གིས་ནི་གཏུམ་པ་མེད། །ཤེས་རབ་དག་ལ་གནས་ཤིང་གཏི་མུག་བླུན་མ་ཡིན། ||| They abide in loving kindness and do not erupt with anger. They abide by insight and are not obscured by ignorance.
།མཁས་པ་རྣམས་ནི་དེ་ལ་ཀུན་ཏུ་འགྲོ་བར་གསུངས། ||| Thus, the wise declare them always present.
།དེ་ནི་གྲོང་དུ་ཅི་བཞིན་དེ་བཞིན་སྒོམ་པ་ཡང་། ||| “Whether they are in society or in training,
།དགོན་པ་དང་ནི་གྲོང་དང་འཁོར་དུ་དེ་འདྲ་བར། ||| Whether they are in the wilderness, in town, or with people,
།དེ་ནི་སྤྱོད་ལམ་རྣམ་པར་འགྱུར་བ་མི་བྱེད་དེ། ||| Their behavior remains the same.
།དེ་ཕྱིར་རྒྱལ་བས་དེ་ལ་ཀུན་ཏུ་འགྲོ་བར་བརྗོད། ||| This is why the victorious ones say that they are always present.
