༄༅༅། །རྒྱ་གར་སྐད་དུ། ཤཱ་རྡཱུ་ལ་ཀརྞ་ཨ་བ་དཱ་ན། བོད་སྐད་དུ།
སྟག་རྣའི་རྟོགས་པ་བརྗོད་པ། སངས་རྒྱས་དང་། བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ། ||| The Exemplary Tale of Śārdūlakarṇa {M.1} Homage to all buddhas and bodhisattvas!
བདག་ལ་བུ་སྟག་རྣ་ཞེས་བྱ་བ་ཡོད་ཀྱིས་དེའི་ཆུང་མར་བུ་མོ་བྱིན་ཅིག་རིན་གང་ཞིག་འདོད་པ་དེ་སྦྱིན་པར་བྱའོ། ། ||| Please grant your daughter Prakṛti as wife for my son Śārdūlakarṇa. I will bestow on you whatever dowry you have in mind.’
ཚིག་དེ་ལྟ་བུ་ཡང་ཐོས་པ་དང་། ||| “Hearing these words from the outcaste king Triśaṅku, the brahmin Puṣkarasārin was deeply offended, upset, furious, and not at all pleased.
གདོལ་པའི་རྒྱལ་པོ་ཏྲེ་ཤང་ཀུ་ལ་བྲམ་ཟེ་པད་མའི་སྙིང་པོ་མཆོག་ཏུ་ཁྲོས་འཁྲུགས་ཤིང་དོན་དེ་ལ་ཡིད་འཁྲུགས་ཤིང་སྡང་བས་དེའི་རྐྱེན་གྱིས་དཔྲལ་བར་ཁྲོ་གཉེར་གསུམ་བསྡུས་ནས་བཞིན་རྣམ་པར་གྱུར་པས་མིག་རྣམ་པར་འགྱུར་ཞིང་ནེ་ལེ་ལྟར་སེར་སྐྱར་གྱུར་ཏེ། གདོལ་པའི་རྒྱལ་པོ་ཏྲེ་ཤང་ཀུ་ལ་འདི་སྐད་ཅེས་སྨྲས་སོ། །ཐ་མལ་པའི་གདོལ་པ། དམན་པ། ||| Full of anger, hostility, and resentment, he knit his brow into a three-pointed frown, gasped and panted while rolling his eyes, and, having become red like a mongoose, said to the outcaste king Triśaṅku, ‘Fie on you, you vulgar fellow!
སྨད་པ། ||| You outcaste!
དུ་མ་ཟ་བ། ||| This is not appropriate speech for a dog-cooking one!
ངན་པ་ནི་གང་བྲམ་ཟེ་རིག་བྱེད་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་ལ་གདོལ་པ་དམན་པ། ||| You, who are lowly and born from an outcaste womb, wish to insult a brahmin versed in the Vedas!
གཅུགས་པ་མེད་པར་འཇོམས་པར་བྱེད་པ། ||| O evil-minded one: “ ‘You are not aware of your nature, And you think much of yourself!
ཁྱོད་ཀྱིས་ཚིག་འདི་ལྟ་བུ་སྨྲ་བར་རིགས་སམ། ||| Do not try to put a mustard seed on the tip of a hair.
ཀྱེ་བློ་ངན་མངོན་པའི་ང་རྒྱལ་གྱིས་ཐ་མལ་པ་ཡིན་པར་སེམས་སམ། ||| Do not make for any aggravation!
དམན་པ་དོན་མ་ཡིན་པ་ལ་དོན་དུ་མ་གཉེར། ||| “ ‘Do not solicit the unsolicitable.
གསེར་ནམ་ཡང་ཐལ་བར་མི་འགྱུར་རོ། ། ||| Do not try to catch the wind with a noose!{M.17} Gold never becomes ashes, deluded one!
སྣང་བ་དང་མུན་པ་གཉིས་སམ། ||| How is the distinction between bright and dark not perceived?
གདོལ་པའི་སྐྱེ་གནས་སུ་སྐྱེས་པ་ཡང་བྲམ་ཟེ་དམ་པ་རྣམས་དང་། ||| “ ‘For you are born from an outcaste womb, Whereas I am a twice-born.
དམན་པ་ཁྱོད་དང་འབྲེལ་པར་འདོད་པ་ཇི་ལྟར་མ་རྨོངས། ||| Deluded one, how could you, as a lowly one, Seek to forge ties with someone superior?
གདོལ་པའི་སྐྱེ་གནས་སུ་སྐྱེས་པ་དང་། ཁོ་བོ་དམ་པར་སྐྱེས་པས་དམན་པ་དང་མཆོག་གཉིས་འབྲེལ་པར་མི་འདོད་དོ། །བྲམ་ཟེ་མཆོག་དང་མཆོག་ཏུ་འབྲེལ་པར་བྱེད་པར་འདོད་ཀྱི། མཆོག་དང་དམན་པ་གཉིས་སུ་འབྲེལ་པར་མི་འདོད་དོ། ། ||| “ ‘You are born from an outcaste womb, Whereas I am born as a twice-born, And a superior one does not wish To forge ties with someone inferior.
རིགས་ཕུན་སུམ་ཚོགས་ཤིང་རིགས་ཡོངས་སུ་དག་ཅིང་འཁྲུགས་པ་མེད་པ། སྔགས་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་ཀློག་པ་དང་། སྔགས་མཆོག་ལས་བྱུང་ཞིང་རིག་བྱེད་ཀྱི་ཕ་རོལ་ཏུ་སོན་པ། བརྡ་ངེས་པར་སྦྱར་བ་དང་བཅས་པ། བྲམ་ཟེ་གང་གིས་རིག་བྱེད་བཀླགས་པ་དེ་ལྟ་བུའི་བྲམ་ཟེ་དང་འབྲེལ་བར་བྱ་བ་ཡིན་གྱི། ||| “ ‘For the superior twice-born establish Matrimonial ties with the superior, Those who are endowed with Vedic lore And completely pure in conduct, “ ‘Who are entirely impeccable by caste, Who have attained mastery in the mantras, Who are teachers and holders of the mantras, Who are fully versed in the three Vedas— “ ‘Brahmins who have learned the Vedas With their glossaries and ritual instructions.
རིགས་མཆོག་དང་དམན་པར་འབྲེལ་པར་བྱར་ནི་མི་འདོད་དོ། ། ||| It is with such ones that the twice-born Establish matrimonial ties here, “ ‘For a superior one does not wish To forge ties with the inferior.
དོན་དུ་གཉེར་བར་བྱ་བ་མ་ཡིན་པ་དོན་དུ་གཉེར་བ་ནི་རླུང་ཞགས་པས་འཛིན་པར་རྩོམ་པ་ལ་འཇུག་པ་ཡིན་ཏེ། གང་ང་དང་ཁྱོད་འབྲེལ་པར་བྱེད་པར་འདོད་པ་དེ་བཞིན་ནོ། ། ||| You solicit the unsolicitable— It is to catch the wind with a noose That you wish to establish Matrimonial ties with us.
རོ་དང་རིགས་དམན་པ་གཉིས་ནི་འཇིག་རྟེན་ཐམས་ཅད་ལ་མི་གཙང་བ་ཡིན་གྱིས་དམན་པ་མྱུར་དུ་ཕར་ཁྱེད་ཅིག ། ||| “ ‘A miserable one, the lowest of persons, Is repulsive to the entire world. Go, you inferior fellow, quick!
འདི་ལྟ་བུ་ཉིད་ཇི་ལྟར་སེམས་གདོལ་པ་དང་གདོལ་པར་ལྷན་ཅིག་པ་ཡིན་ལ། དུར་བསྲུངས་རྣམས་དང་ནི་དུར་བསྲུངས་ལྷན་ཅིག་པ་ཡིན་ཏེ། ||| Why do you thus disrespect us?{M.18} “ ‘Outcastes go with outcastes, Cemetery keepers with cemetery keepers.
རིགས་གང་དང་གང་ཡིན་པ་དེ་དང་དེ་འབྲེལ་བར་བྱེད་པ་ཡིན་ཏེ། རྒྱལ་རིགས་རྣམས་དང་ནི་རྒྱལ་རིགས་ལྷན་ཅིག་པ་ཡིན་ལ། བྲམ་ཟེ་རྣམས་དང་བྲམ་ཟེ་ལྷན་ཅིག་པ་ཡིན་ལ། དེ་བཞིན་དུ་རྗེའུ་རིགས་རྣམས་ཀྱང་རྗེའུ་རིགས་དང་ལྷན་ཅིག་པ་ཡིན་ལ། ||| Here, a caste only establishes Matrimonial ties with its caste— “ ‘Brahmins with brahmins, Kṣatriyas with kṣatriyas, Vaiśyas with vaiśyas, And śūdras with śūdras.
དེ་བཞིན་དུ་དམངས་རིགས་རྣམས་ཀྱང་དམངས་རིགས་དང་ལྷན་ཅིག་ཏུ་འདྲ་བ་རྣམས་ཕན་ཚུན་འཇུག་པ་ཡིན་གྱི། ||| “ ‘Like go with like; They get married to each other.
གདོལ་པ་རྣམས་དང་བྲམ་ཟེ་ནི་འབྲེལ་པ་མེད་དོ། ། ||| Outcastes definitely do not establish Matrimonial ties with brahmins.
རིགས་ཐམས་ཅད་ལས་དམན་པ་དང་རིགས་མཆོག་རྣམས་ཇི་ལྟར་འབྲེལ་དུ་འདོད། ||| “ ‘You are of the lowest of all births, Despised by all the classes. How could you, as a lowly one, Seek to forge ties with the superior?’
བྲམ་ཟེ་པད་མའི་སྙིང་པོ་ལས་ལན་དུ་དེ་ལྟ་བུའི་ཚིག་ཐོས་པ་དང་། གདོལ་པའི་རྒྱལ་པོ་ཏྲེ་ཤང་ཀུས་འདི་སྐད་ཅེས་སྨྲས་སོ། །ཇི་ལྟར་གསེར་དང་ཐལ་བའི་ཁྱད་པར་དམིགས་པ་ལྟར་བྲམ་ཟེ་རྣམས་དང་། རིགས་གཞན་དེ་ལྟ་བུའི་ཁྱད་པར་ནི་མི་དམིགས་སོ། ། ||| “Hearing these words from the brahmin Puṣkarasārin, the outcaste king Triśaṅku replied: “ ‘While a distinction is perceived Between ashes and gold, There is really no distinction Between a brahmin and one of another caste.
ཇི་ལྟར་མུན་པ་དང་སྣང་བའི་ཁྱད་པར་དམིགས་པ་ལྟར་བྲམ་ཟེ་རྣམས་དང་རིགས་གཞན་དེ་ལྟ་བུའི་ཁྱད་པར་ནི་མི་དམིགས་སོ། ། ||| “ ‘While a distinction is perceived Between bright and dark, There is really no distinction Between a brahmin and one of another caste.
གང་བྲམ་ཟེ་རྣམས་ནམ་མཁའ་དང་རྒྱ་མཚོ་ལས་སྐྱེས་པ་ནི་མ་ཡིན་ནོ། །གཙུབ་ཤིང་གིས་མེ་ཕྱུང་བ་ལྟར་ས་རྣམས་ལས་སྐྱེས་པའང་མ་ཡིན་ནོ། ། ||| “ ‘Brahmins did not spring forth From the sky or the wind, Nor are they born bursting from the earth Like fire from rubbing fire-sticks.
བྲམ་ཟེའི་སྐྱེ་གནས་གང་ཡིན་པ་དེ་ནས་གདོལ་པའི་རིགས་ཀྱང་སྐྱེས་པ་ཡིན་ཏེ། ||| “ ‘Brahmins are born from a womb, And outcastes, too, are born from a womb.
མཆོག་ཉིད་དང་དམན་པ་ཉིད་དུ་བྲམ་ཟེ་རྣམས་ལ་ཅི་དམིགས། ||| So what reason do you really see For superiority or inferiority?
བྲམ་ཟེ་མཆོག་རྣམས་ཀྱི་རོའང་སྤོང་ཞིང་མི་གཙང་བར་བྱེད་དོ། ། ||| “ ‘And just as it is with other births, A brahmin, too, when he is discarded at death, Is likewise held to be impure and repulsive.
རིགས་རྣམས་ལ་དེ་ལྟ་བས་ན་གཞན་དང་དེ་ལ་ཁྱད་པར་ཅི་ཞིག་ཡོད། ||| What, then, is the difference between them?
འདི་ལྟར་སྡིག་པའི་ལས་ཅུང་ཟད་བྱེད་ཅིང་རྙོག་པ་དང་། རྩོད་པས་སེམས་ཅན་རྣམས་ལ་གནོད་པ་བྱ་བར་བྲམ་ཟེ་རྣམས་རབ་ཏུ་སྟོན་ཏོ། །བྱད་དང་རོ་ལངས་ཀྱི་ལས་བྲམ་ཟེ་རྣམས་རབ་ཏུ་སྟོན་ཏོ། ། ||| {M.19} “ ‘Whatever sinful action there is That is wicked and evil, It has been propounded by brahmins In order to oppress beings.
ལས་མི་བཟད་པ་རྣམས་ལ་ཡང་བསོད་ནམས་ཡིན་པར་བྲམ་ཟེ་རྣམས་སྟོན་ཏོ། ། ||| “ ‘So it is that actions for the ancestors Are propounded by brahmins, And while committing terrible deeds, The twice-born say, “I am virtuous.”
