སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ||| Homage to all the buddhas and bodhisattvas!
ཇི་ལྟར་ན་བསོད་ནམས་བགྱི་བ་ལ་བརྩོན་པ་རྣམས་ལགས། ||| How do they pursue meritorious deeds?
ཇི་ལྟར་ན་སྤྲུལ་པ་ལ་མཁས་པ་རྣམས་ལགས། ||| What does their expertise regarding emanations consist of?
བཅོམ་ལྡན་འདས་ཇི་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔའ་དག་མྱུར་དུ་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་འཚང་རྒྱ། དེ་སྐད་ཅེས་གསོལ་པ་དང་། ||| Blessed One, how do bodhisattvas quickly and fully awaken to unexcelled and perfect buddhahood?”
བཅོམ་ལྡན་འདས་ཀྱིས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་སྒྲིབ་པ་ཐམས་ཅད་རྣམ་པར་སེལ་བ་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། ||| In reply to the bodhisattva Sarva­nīvaraṇa­viṣkam­bhin, the Blessed One said,
རིགས་ཀྱི་བུ་ལེགས་སོ་ལེགས་སོ། །ཡང་རིགས་ཀྱི་བུ་ཁྱོད་སྐྱེ་བོ་མང་པོ་ལ་ཕན་པ་དང་། སྐྱེ་བོ་མང་པོ་ལ་བདེ་བ་དང་། ||| “Noble son, excellent, excellent. Noble son, you have asked in this manner to benefit many beings and to bring them happiness.
འཇིག་རྟེན་ལ་སྙིང་བརྩེ་བ་དང་། སྐྱེ་བོ་ཕལ་པོ་ཆེ་དང་། ལྷ་དང་མི་རྣམས་ཀྱི་དོན་དང་། ཕན་པ་དང་བདེ་བའི་ཕྱིར་ཞུགས་ཤིང་། ||| You have great compassion that loves the world and seeks to benefit ordinary beings—gods and humans alike—by accomplishing their welfare and happiness.
དེ་ལྟར་དེ་བཞིན་གཤེགས་པ་ལ་ཁྱོད་འདི་ལྟ་བུའི་དོན་འདྲི་བར་སེམས་པ་ལེགས་སོ། ||| Your intention for having asked the Thus-Gone One such questions is excellent.
རིགས་ཀྱི་བུ་དེའི་ཕྱིར་ལེགས་པར་ཤིན་ཏུ་ཉོན་ལ་ཡིད་ལ་ཟུང་ཤིག་དང་ངས་ཁྱོད་ལ་བཤད་དོ། ||| Therefore, noble son, I will answer you, so listen well and keep what I say in mind.”
བཅོམ་ལྡན་འདས་ལེགས་སོ་ཞེས་བྱང་ཆུབ་སེམས་དཔའ་སྒྲིབ་པ་ཐམས་ཅད་རྣམ་པར་སེལ་བས་བཅོམ་ལྡན་འདས་ཀྱི་ལྟར་མཉན་པ་དང་། ||| “Excellent, Blessed One!” replied the bodhisattva Sarva­nīvaraṇa­viṣkam­bhin, and he listened as instructed.
བཅོམ་ལྡན་འདས་ཀྱིས་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། ། ||| The Blessed One then said,
རིགས་ཀྱི་བུ་ཆོས་བཅུ་དང་ལྡན་ན་བྱང་ཆུབ་སེམས་དཔའ་སྦྱིན་པ་ཕུན་སུམ་ཚོགས་པ་རྣམས་ཡིན་ནོ། །བཅུ་གང་ཞེ་ན། ||| “Noble son, bodhisattvas who practice perfect generosity possess ten qualities. What are those ten?
འདི་ལྟ་སྟེ། ཆོས་ཀྱི་སྦྱིན་པ་ཕུན་སུམ་ཚོགས་པ་རྣམས་ཡིན། མི་འཇིགས་པའི་སྦྱིན་པ་ཕུན་སུམ་ཚོགས་པ་རྣམས་ཡིན། ཟང་ཟིང་གི་སྦྱིན་པ་ཕུན་སུམ་ཚོགས་པ་རྣམས་ཡིན། ལན་དུ་ཕན་འདོགས་པ་ལ་མི་རེ་བའི་སྦྱིན་པ་ཕུན་སུམ་ཚོགས་པ་རྣམས་ཡིན། སྙིང་རྗེ་བའི་སྦྱིན་པ་ཕུན་སུམ་ཚོགས་པ་རྣམས་ཡིན། མི་བརྙས་པའི་སྦྱིན་པ་ཕུན་སུམ་ཚོགས་པ་རྣམས་ཡིན། བསྟི་སྟང་གི་སྦྱིན་པ་ཕུན་སུམ་ཚོགས་པ་རྣམས་ཡིན། མཆོད་པ་དང་རིམ་གྲོའི་སྦྱིན་པ་ཕུན་སུམ་ཚོགས་པ་རྣམས་ཡིན། མི་གནས་པའི་སྦྱིན་པ་ཕུན་སུམ་ཚོགས་པ་རྣམས་ཡིན། ཡོངས་སུ་དག་པའི་སྦྱིན་པ་ཕུན་སུམ་ཚོགས་པ་རྣམས་ཡིན་ནོ། ||| They are the perfect giving of the Dharma, the perfect giving of fearlessness, the perfect giving of material things, the perfect giving free of expectation of a reward, the perfect giving of compassion, the perfect giving free of disdain, the perfect giving of respect, the perfect giving of reverence and worship, the perfect open-ended giving, and the perfectly pure giving.
རིགས་ཀྱི་བུ་དེ་ལ་ཇི་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔའ་ཆོས་ཀྱི་སྦྱིན་པ་ཕུན་སུམ་ཚོགས་པ་ཡིན་ཞེ་ན། ||| “Noble son, you may wonder what the bodhisattvas’ perfect giving of the Dharma consists in.
རིགས་ཀྱི་བུ་འདི་ལ་བྱང་ཆུབ་སེམས་དཔའ་ཟང་ཟིང་མེད་པའི་སེམས་ཀྱིས་ཆོས་རྣམས་འཛིན་ཅིང་ཀུན་ཆུབ་པར་བྱེད་དེ། ||| Noble son, it consists in the bodhisattvas’ making others retain and understand the teachings without any concern for material things.
རྙེད་པ་དང་བཀུར་སྟིའི་ཕྱིར་མ་ཡིན། ཤེས་ཀྱི་ཁེ་འདོད་པའི་ཕྱིར་མ་ཡིན། གྲགས་པ་འདོད་པའི་ཕྱིར་མ་ཡིན་ཏེ། ||| This is not done for the sake of wealth or respect, or with a wish for mundane gain, or with a wish for fame.
གཞན་དུ་ན་དེ་འདི་ལྟར་སེམས་ཅན་འདི་དག་གི་སྡུག་བསྔལ་ཐམས་ཅད་ཇི་ལྟར་ཟད་པར་བྱ་སྙམ་སྟེ། ||| Rather, they think, ‘How can I bring an end to all the sufferings of these beings?’
ཆོས་དེ་དག་ཀྱང་ཟང་ཟིང་མེད་པའི་སེམས་ཀྱིས་ ||| In this way, without any concern for material things,
གཉིས་སུ་མེད་པར་གཞན་དག་ལ་ཡང་ཡང་དག་པར་སྟོན་ཏོ། ། ||| they explain the teachings to others in a way that is genuine and beyond duality.
ཇི་ལྟར་རྒྱལ་པོའམ་བློན་པོ་ཆེན་པོ་ལ་ཡང་དག་པར་སྟོན་པ་དེ་ལྟར་གདོལ་པའམ། གདོལ་བུ་ལ་ཡང་ཡང་དག་པར་སྟོན་ན། ||| Just as they teach kings and great ministers thoroughly, so also do they genuinely teach outcasts and their offspring.
དེ་མ་ཡིན་པ་གྲོང་པ་དང་། ཡུལ་གྱི་མི་གཞན་དག་ལ་ལྟ་ཅི་སྨོས། ||| Needless to mention that they also do so for the inhabitants of foreign cities and lands.
ཆོས་ཀྱི་སྦྱིན་པ་དེས་ཁེངས་པར་ཡང་མི་འགྱུར་ཏེ། ||| Through this giving of the Dharma they do not become arrogant.
རིགས་ཀྱི་བུ་དེ་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔའ་ཆོས་ཀྱི་སྦྱིན་པ་ཕུན་སུམ་ཚོགས་པ་ཡིན་ནོ། ||| Noble son, such is the bodhisattvas’ perfect giving of the Dharma.
ཇི་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔའ་མི་འཇིགས་པའི་སྦྱིན་པ་ཕུན་སུམ་ཚོགས་པ་ཡིན་ཞེ་ན། ||| “Next, what is the bodhisattvas’ perfect giving of fearlessness?
རིགས་ཀྱི་བུ་འདི་ལ་བྱང་ཆུབ་སེམས་དཔའ་བདག་གིས་དབྱིག་པ་བོར་བ་དང་། མཚོན་ཆ་བོར་བ་ཡིན་ཏེ། གཞན་དག་ཀྱང་བསླབ་པ་དེ་ཉིད་ལ་གཞོག་གོ། ||| Noble son, bodhisattvas personally give up sticks and weapons, and instruct others in that practice.
དེ་སེམས་ཅན་ཐམས་ཅད་ལ་ཕར་འདུ་ཤེས་པ་ཡིན། མར་འདུ་ཤེས་པ་ཡིན། བུར་འདུ་ཤེས་པ་ཡིན། གཉེན་བཤེས་སུ་འདུ་ཤེས་པ་ཡིན། ཉེ་དུའམ་སྣག་གི་གཉེན་མཚམས་དག་ཀྱང་རུང་བར་འདུ་ཤེས་པ་ཡིན་ནོ། ||| They consider all beings to be like their fathers, mothers, children, friends, relatives, or kinsmen.
དེ་ཅིའི་ཕྱིར་ཞེ་ན། དེ་འདི་སྙམ་དུ་སེམས་ཏེ། དེ་བཞིན་གཤེགས་པས་ཀྱང་ ||| How so? They recollect that the Thus-Gone One has taught,
སྐྱེ་བ་འཕོ་བ་དེ་དང་དེ་དག་ཏུ་སེམས་ཅན་གྱི་ ||| ‘Among all sentient beings there is no one who, throughout all your changing lives,
རིས་སུ་གང་ཁྱོད་ཀྱི་ཕའམ། མ་འམ་བུའམ། གཉེན་བཤེས་སམ། ཉེ་དུའམ། སྣག་གི་གཉེན་མཚམས་དག་གང་ཡང་རུང་བའི་གནས་སུ་མ་གྱུར་པའི་སེམས་ཅན་དེ་ལྟ་བུ་མེད་དོ་ཞེས་གསུངས་སོ་ ||| has not at some point been your father, mother, child, friend, relative, or kinsman.’
སྙམ་ནས། དེ་སྲོག་ཆགས་སུ་གྱུར་པ་ཕྲ་མོའི་ཕྱིར་ཡང་བདག་གི་ཤ་དག་གིས་ཀྱང་ཕན་འདོགས་ན། ||| With that in mind they feel that they ought to provide for even subtle forms of life by means of their own flesh,
སྲོག་ཆགས་ཆེན་པོ་ཆེ་བ་གཞན་དག་ལ་ལྟ་ཅི་སྨོས་ཏེ། ||| and so it goes without saying that they must also act in the same way toward larger creatures.
དེ་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔའ་མི་འཇིགས་པ་སྦྱིན་པ་ཕུན་སུམ་ཚོགས་པ་ཡིན་ནོ། ||| Such is the bodhisattvas’ perfect giving of fearlessness.
ཇི་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔའ་ཟང་ཟིང་གི་སྦྱིན་པ་ཕུན་སུམ་ཚོགས་པ་ཡིན་ཞེ་ན། ||| “What is the bodhisattvas’ perfect giving of material things?
རིགས་ཀྱི་བུ་འདི་ལ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་ཅན་གང་དག་མི་དགེ་བའི་ལས་རབ་ཏུ་བྱེད་པ་མཐོང་ན། དེ་དག་ཟང་ཟིང་གིས་སྡུད་ཅིང་། ||| Noble son, when bodhisattvas see sentient beings engaged in unvirtuous activity they attract them with material things.
ཟང་ཟིང་གིས་བསྡུས་ནས་ ||| By thus attracting them with material things,
མི་དགེ་བའི་གནས་དེ་ནས་བསླང་སྟེ། དགེ་བའི་གནས་སུ་འགོད་དོ། ||| they deliver those beings out of their unvirtuous ways and establish them in goodness.
