༄༅༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་དྷརྨ་སང་གཱི་ཏི་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་ཆོས་ཡང་དག་པར་སྡུད་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra The Dharma Council
ཟིལ་གྱིས་མནན་ནས་མཐོང་བ་འདི་ནི་ཟིལ་གྱིས་གནོན་པའི་སྐྱེ་མཆེད་བཞི་པའོ། ། ||| This is the fourth domain of mastery.
ནང་གཟུགས་མེད་པར་འདུ་ཤེས་པས་ཕྱི་རོལ་གྱི་གཟུགས་སྔོན་པོ། ཁ་དོག་སྔོན་པོ། སྔོན་པོ་ལྟ་བུར་སྟོན་པ། འོད་སྔོན་པོ་འབྱུང་བ་རྣམས་ལ་བལྟ་སྟེ། ||| (5) One who perceives formlessness internally looks at external forms that are blue, the color blue, something that appears to be blue, or gives off blue light.
དཔེར་ན་ཟར་མའི་མེ་ཏོག་སྔོན་པོ་ཁ་དོག་སྔོན་པོ། ||| This could be, for example, a blue flax blossom, which is blue in color, appears to be blue, and gives off blue light.
སྔོན་པོ་ལྟ་བུར་སྟོན་པ། འོད་སྔོན་པོ་འབྱུང་བ་དེ་བཞིན་དུ་ནང་གཟུགས་མེད་པར་འདུ་ཤེས་པས་ཕྱི་རོལ་གྱི་གཟུགས་སྔོན་པོ། ཁ་དོག་སྔོན་པོ། སྔོན་པོ་ལྟ་བུར་སྟོན་པ། ||| One who perceives formlessness internally looks at external forms that are blue, the color blue, something that appears to be blue, or gives off blue light.
འོད་སྔོན་པོ་འབྱུང་བ་རྣམས་ལ་བལྟ་ཞིང་དེ་དག་ཟིལ་གྱིས་མནན་ནས་ཤེས། ||| They understand after mastering them, see after mastering them.
ཟིལ་གྱིས་མནན་ནས་མཐོང་བ་འདི་ནི་ཟིལ་གྱིས་གནོན་པའི་སྐྱེ་མཆེད་ལྔ་པའོ། ། ||| This is the fifth domain of mastery.
ནང་གཟུགས་མེད་པར་འདུ་ཤེས་པས་ཕྱི་རོལ་གྱི་གཟུགས་སེར་པོ། ཁ་དོག་སེར་པོ། སེར་པོ་ལྟ་བུར་སྟོན་པ། འོད་སེར་པོ་འབྱུང་བ་རྣམས་ལ་བལྟ་སྟེ། ||| (6) One who perceives formlessness internally looks at external forms that are yellow, the color yellow, something that appears to be yellow, or gives off yellow light.
དཔེར་ན་དོང་ཀའི་མེ་ཏོག་སེར་པོ། ཁ་དོག་སེར་པོ། སེར་པོ་ལྟ་བུར་སྟོན་པ། ||| This could be, for example, the blossom of the golden shower tree, which is yellow in color, appears to be yellow, and gives off yellow light.
འོད་སེར་པོ་འབྱུང་བ་དེ་བཞིན་དུ་ནང་གཟུགས་མེད་པར་འདུ་ཤེས་པས་ཕྱི་རོལ་གྱི་གཟུགས་སེར་པོ། ཁ་དོག་སེར་པོ། སེར་པོ་ལྟ་བུར་སྟོན་པ། ||| One who perceives formlessness internally looks at external forms that are yellow, the color yellow, something that appears to be yellow, or gives off yellow light.
འོད་སེར་པོ་འབྱུང་བ་རྣམས་ལ་བལྟ་ཞིང་དེ་དག་ཟིལ་གྱིས་མནན་ནས་ཤེས། ||| They understand after mastering them, see after mastering them.
ཟིལ་གྱིས་མནན་ནས་མཐོང་བ་འདི་ནི་ཟིལ་གྱིས་གནོན་པའི་སྐྱེ་མཆེད་དྲུག་པའོ། ། ||| This is the sixth domain of mastery.
ནང་གཟུགས་མེད་པར་འདུ་ཤེས་པས་ཕྱི་རོལ་གྱི་གཟུགས་དམར་པོ། ཁ་དོག་དམར་པོ། དམར་པོ་ལྟ་བུར་སྟོན་པ། འོད་དམར་པོ་འབྱུང་བ་རྣམས་ལ་བལྟ་སྟེ། ||| (7) One who perceives formlessness internally looks at external forms that are red, the color red, something that appears to be red, or gives off red light.
དཔེར་ན་བན་དུ་ཛི་བ་ཀའི་མེ་ཏོག་དམར་པོ། ཁ་དོག་དམར་པོ། དམར་པོ་ལྟ་བུར་སྟོན་པ། ||| This could be, for example, a noon flower blossom, which is red in color, appears to be red, and gives off red light.
འོད་དམར་པོ་འབྱུང་བ་དེ་བཞིན་དུ་ནང་གཟུགས་མེད་པར་འདུ་ཤེས་པས་ཕྱི་རོལ་གྱི་གཟུགས་དམར་པོ། ཁ་དོག་དམར་པོ། དམར་པོ་ལྟ་བུར་སྟོན་པ། འོད་དམར་པོ་འབྱུང་བ་རྣམས་ལ་བལྟ་ཞིང་དེ་དག་ཟིལ་གྱིས་མནན་ནས་ཤེས། ||| One who perceives formlessness internally looks at external forms that are red, the color red, something that appears to be red, or gives off red light. They understand after mastering them, see after mastering them.
ཟིལ་གྱིས་མནན་ནས་མཐོང་བ་འདི་ནི་ཟིལ་གྱིས་གནོན་པའི་སྐྱེ་མཆེད་བདུན་པའོ། ། ||| This is the seventh domain of mastery.
ནང་གཟུགས་མེད་པར་འདུ་ཤེས་པས་ཕྱི་རོལ་གྱི་གཟུགས་དཀར་པོ། ཁ་དོག་དཀར་པོ། དཀར་པོ་ལྟ་བུར་སྟོན་པ། འོད་དཀར་པོ་འབྱུང་བ་རྣམས་ལ་བལྟ་སྟེ། ||| (8) One who perceives formlessness internally looks at external forms that are white, the color white, something that appears to be white, or gives off white light.
དཔེར་ན་སྐར་མ་པ་བ་སངས་དཀར་པོ། ཁ་དོག་དཀར་པོ། དཀར་པོ་ལྟ་བུར་སྟོན་པ། ||| This could be, for example, the Venus-star blossom, which is white in color, appears to be white, and gives off white light.
འོད་དཀར་པོ་འབྱུང་བ་དེ་བཞིན་དུ་ནང་གཟུགས་མེད་པར་འདུ་ཤེས་པས་ཕྱི་རོལ་གྱི་གཟུགས་དཀར་པོ། ཁ་དོག་དཀར་པོ། དཀར་པོ་ལྟ་བུར་སྟོན་པ། འོད་དཀར་པོ་འབྱུང་བ་རྣམས་ལ་བལྟ་ཞིང་དེ་དག་ཟིལ་གྱིས་མནན་ནས་ཤེས། ||| One who perceives formlessness internally looks at external forms that are white, the color white, something that appears to be white, or gives off white light.
ཟིལ་གྱིས་མནན་ནས་མཐོང་བ་འདི་ནི་ཟིལ་གྱིས་གནོན་པའི་སྐྱེ་མཆེད་བརྒྱད་པའོ། ། ||| They understand after mastering them, see after mastering them. This is the eighth domain of mastery.
དེ་ལ་ཟད་པར་གྱི་སྐྱེ་མཆེད་བཅུ་གང་ཞེ་ན། ||| “What are the ten objects of meditative immersion?
འདི་ལྟ་སྟེ། ཟད་པར་ས་དང་། ཟད་པར་ཆུ་དང་། ཟད་པར་མེ་དང་། ཟད་པར་རླུང་དང་། ཟད་པར་ནམ་མཁའ་དང་། ཟད་པར་སྔོན་པོ་དང་། ཟད་པར་སེར་པོ་དང་། ཟད་པར་དམར་པོ་དང་། ཟད་པར་དཀར་པོ་དང་། ཟད་པར་རྣམ་པར་ཤེས་པ་སྟེ། ||| They are earth, water, fire, wind, space, blue, yellow, red, white, and consciousness.
འདི་དག་ནི་ཟད་པར་གྱི་སྐྱེ་མཆེད་བཅུའོ། ། ||| These are the ten objects of meditative immersion.
ཁམས་ཐམས་ཅད་སའི་ཁམས་སུ་མོས་ན་ཡང་ཐམས་ཅད་ཁམས་གཅིག་ཏུ་འདི་ལྟ་སྟེ། སའི་ཁམས་ཉིད་དུ་འགྱུར་རོ། ། ||| “If bodhisattvas have the conviction that all elements are the earth element, they all become a single element; they become the earth element itself.
ཐམས་ཅད་ཆུའི་ཁམས་སུ་མོས་ན་ཡང་ཐམས་ཅད་ཁམས་གཅིག་ཏུ་འདི་ལྟ་སྟེ། ཆུའི་ཁམས་ཉིད་དུ་འགྱུར་རོ། ། ||| If they have the conviction that all elements are the water element, they all become a single element; they become the water element itself.
ཐམས་ཅད་མེའི་ཁམས་སུ་མོས་ན་ཡང་ཐམས་ཅད་ཁམས་གཅིག་ཏུ་འདི་ལྟ་སྟེ། མེའི་ཁམས་ཉིད་དུ་འགྱུར་རོ། ། ||| If they have the conviction that all elements are the fire element, they all become a single element; they become the fire element itself.
ཐམས་ཅད་རླུང་གི་ཁམས་སུ་མོས་ན་ཡང་ཐམས་ཅད་ཁམས་གཅིག་ཏུ་འདི་ལྟ་སྟེ། རླུང་གི་ཁམས་ཉིད་དུ་འགྱུར་རོ། ། ||| If they have the conviction that all elements are the air element, they all become a single element; they become the air element itself.
ཐམས་ཅད་ནམ་མཁའི་ཁམས་སུ་མོས་ན་ཡང་ཐམས་ཅད་ཁམས་གཅིག་ཏུ་འདི་ལྟ་སྟེ། ནམ་མཁའི་ཁམས་ཉིད་དུ་འགྱུར་རོ། ། ||| If they have the conviction that all elements are the space element, they all become a single element; they become the space element itself.
ཐམས་ཅད་སྔོན་པོར་མོས་ན་ཡང་ཐམས་ཅད་སྔོན་པོ་ཉིད་དུ་འགྱུར་རོ། ། ||| If they have the conviction everything is blue, then everything becomes blueness.
ཐམས་ཅད་སེར་པོར་མོས་ན་ཡང་ཐམས་ཅད་སེར་པོ་ཉིད་དུ་འགྱུར་རོ། ། ||| If they have the conviction everything is yellow, then everything becomes yellowness.
ཐམས་ཅད་དམར་པོར་མོས་ན་ཡང་ཐམས་ཅད་དམར་པོ་ཉིད་དུ་འགྱུར་རོ། ། ||| If they have the conviction everything is red, then everything becomes redness.
ཐམས་ཅད་དཀར་པོར་མོས་ན་ཡང་ཐམས་ཅད་དཀར་པོ་ཉིད་དུ་འགྱུར་རོ། ། ||| If they have the conviction everything is white, then everything becomes whiteness.
