སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ། ||| Homage to all buddhas and bodhisattvas!
ཁང་པ་བརྩེགས་པ་རེ་རེར་ཡང་རྫིང་བུ་གཞི་གསེར་གྱི་བྱེ་མ་བདལ་བ། བཻ་དཱུརྱ་དང་ཤེལ་གྱིས་སྤྲས་པ། རིན་པོ་ཆེ་སྣ་བདུན་གྱི་ཁ་ཁྱེར་གྱིས་བསྐོར་བ། མེ་ཏོག་ཨུད་པ་ལ་དང་པད་མ་དང་ཀུ་མུ་ད་དང་པད་མ་དཀར་པོས་གང་བ། ངུར་པ་སྒྲ་འབྱིན་པ། ཡན་ལག་བརྒྱད་དང་ལྡན་པའི་ཆུས་གང་བ། བྱ་རོག་གིས་བཏུང་དུ་རུང་བར་མུ་དང་ཁ་ད་ཆད་དུ་གང་བ་དག་སྤྲུལ་ཏོ། ||| In each of the mansions appeared ponds, the bottom of each lined with gold dust, adorned with beryl and crystal, and encircled by a ring of the seven precious gemstones. The ponds were filled with blue and pink lotuses, water lilies, and white lotus flowers, and on them were wild geese calling out. The ponds were filled to the brim with water of eight properties, making them excellent for the birds to quench their thirst.
ཁང་པ་བརྩེགས་པ་རེ་རེར་ཡང་རིན་པོ་ཆེའི་ཤིང་ལྗོན་པའི་ཕྲེང་བ་རིམ་པ་བདུན་གྱིས་བསྐོར་ཏོ། ། ||| Each of the mansions was surrounded by seven rows of jewel trees,
རིན་པོ་ཆེའི་སྐུད་པ་བརྒྱད་ཁྲི་བཞི་སྟོང་གིས་ཀུན་ནས་དཀྲིས་སོ། ། ||| and 84,000 jewel strings bound them all together.
རིན་པོ་ཆེའི་ཁང་པ་བརྩེགས་པ་རེ་རེའི་འོད་ཀྱིས་ཀྱང་དཔག་ཚད་བརྒྱད་ཁྲི་བཞི་སྟོང་དུ་སྣང་བར་གྱུར་ཏོ། ། ||| The light shining from each of the mansions extended for 84,000 leagues.
དེ་བཞིན་དུ་ཁང་པ་བརྩེགས་པ་ཐམས་ཅད་ཀྱི་བཀོད་པ་དག་སོ་སོར་བྱས་སོ། ། ||| Such was the layout of all the mansions.
དེ་ནས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་སྤྱན་རས་གཟིགས་དབང་ཕྱུག་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་མཐུ་ཆེན་ཐོབ་ཀྱིས། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་དེ་དག་གི་ཁང་པ་བརྩེགས་པ་བཀོད་པ་ཇི་སྙེད་ཡོད་པ། ཁང་པ་བརྩེགས་པ་དེ་དག་ཐམས་ཅད་ཀྱི་ནང་ན་བཀོད་པ་ཆེན་པོ་གང་དག་ཡོད་པ་དེ་དག་ཐམས་ཅད་ཁང་པ་བརྩེགས་པ་རེ་རེར་མངོན་པར་སྤྲུལ་ཏོ། །སྔ་མ་བཞིན་དུ་སྦྱར་ཏེ། ||| Inside each of those mansions, the bodhisattva great being Avalokiteśvara and the bodhisattva great being Mahā­sthāmaprāpta then again emanated the entire display of all the mansions that they had produced, along with all of their elaborate internal contents, in a precise copy.
ཁང་པ་བརྩེགས་པ་རེ་རེར་ཡང་དེ་ལྟར་བཀོད་པ་རྣམས་མངོན་པར་སྤྲུལ་ ||| had emanated those displays inside each of the mansions,
བཀོད་པ་དེ་ལྟ་བུ་དེས་བྱང་ཆུབ་སེམས་དཔའ་བྱེ་བ་ཕྲག་བརྒྱད་ཁྲི་བཞི་སྟོང་དང་ལྷན་ཅིག་ཏུ་འདི་ལྟ་སྟེ་དཔེར་ན། སྐྱེས་བུ་སྟོབས་དང་ལྡན་པའི་ལག་པ་བསྐུམ་པ་ལས་རྐྱོང་བ་དང་། བརྐྱང་བ་ལས་སྐུམ་པ་ཙམ་གྱིས་དེ་དག་སྐད་ཅིག་ཐང་ཅིག་ཡུད་ཙམ་གྱིས་འཇིག་རྟེན་གྱི་ཁམས་བདེ་བ་ཅན་དེ་ནས་མི་སྣང་བར་གྱུར་ཏེ། འཇིག་རྟེན་གྱི་ཁམས་མི་མཇེད་འདིར་ཕྱིན་ཏོ། ||| the displays together with 840 billion bodhisattvas all vanished from the world of Sukhāvatī and arrived here in this Sahā world in just a single moment, a single second, a single instant. It happened as quickly as it takes for a strong person to extend his arm and flex it again.
དེ་ནས་བྱང་ཆུབ་སེམས་དཔའ་དེ་གཉིས་ཀྱིས་དེའི་ཚེ་ཇི་ལྟ་བུའི་རྫུ་འཕྲུལ་མངོན་པར་འདུ་བྱ་བ་མངོན་པར་བྱས་པས། འཇིག་རྟེན་གྱི་ཁམས་མི་མཇེད་འདི་ལག་མཐིལ་བཞིན་དུ་མཉམ་པར་གྱུར་པ། ||| At that point the two bodhisattvas miraculously transformed this Sahā world so that it became as even as the palm of a hand.
དེ་ལྟ་བུའི་རྫུ་འཕྲུལ་མངོན་པར་འདུ་བྱ་བ་མངོན་པར་བྱས་སོ། ། ||| Such was the miracle that they manifested.
བྱང་ཆུབ་སེམས་དཔའ་དེ་དག་ཀྱང་ཁང་པ་བརྩེགས་པ་བྱེ་བ་ཕྲག་བརྒྱད་ཅུ་རྩ་བཞིས་ཡོངས་སུ་བསྐོར་ཏེ་མདུན་དུ་བདར་ནས། ||| All the bodhisattvas also arrived together with the 840 million mansions.
ཡོན་ཏན་གྱི་བཀོད་པ་ཆེན་པོ་དང་ལྡན་པས་ཤིན་ཏུ་ལྷག་གེའོ། ། ||| This great display of qualities was absolutely resplendent.
ཁང་པ་བརྩེགས་པ་དེ་དག་གི་འོད་ཀྱིས་ཀྱང་སྟོང་གསུམ་གྱི་སྟོང་ཆེན་པོའི་འཇིག་རྟེན་གྱི་ཁམས་འདི་སྣང་བས་ཁྱབ་པར་གྱུར་ཏོ། ། ||| The light that shone from the mansions pervaded this entire trichiliocosm.
དེ་ནས་བྱང་ཆུབ་སེམས་དཔའ་དེ་གཉིས། བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཤཱཀྱ་ཐུབ་པ་ག་ལ་བ་དེར་དོང་སྟེ་ཕྱིན་ནས། ། ||| Then the two bodhisattvas went before the Blessed One, the thus-gone, worthy, completely perfect Buddha Śākyamuni.
བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཤཱཀྱ་ཐུབ་པའི་ཞབས་ལ་མགོ་བོས་ཕྱག་འཚལ་ནས་ལན་གསུམ་བསྐོར་བ་བྱས་ཏེ། ཕྱོགས་གཅིག་ཏུ་འཁོད་དོ། ། ||| They prostrated with their heads at the feet of the Blessed One, the thus-gone, the worthy, completely perfect Buddha Śākyamuni, and circumambulated him three times before standing off to one side.
ཕྱོགས་གཅིག་ཏུ་འཁོད་ནས། ། ||| As they stood there,
སྐྱེས་བུ་དམ་པ་དེ་གཉིས་ཀྱིས་ ||| those two holy beings,
ཚིག་འཐུན་པར་སྒྲ་དབྱངས་གཅིག་ཏུ་བཅོམ་ལྡན་འདས་ལ་ཚིགས་སུ་བཅད་པ་འདི་དག་གིས་མངོན་པར་བསྟོད་དོ། ། ||| in a single tune and a single voice, praised the Blessed One with these verses:
གཟི་བརྗིད་མཚུངས་མེད་ཡོན་ཏན་ཕུང་པོ་གཅིག་ལ་ཕྱག་འཚལ་ལོ། ། ||| “We prostrate to your unrivaled splendor, your mass of qualities!
དྲང་སྲོང་ཆེན་པོ་ཀུན་མཁྱེན་ཡོན་ཏན་ཀུན་གྱི་ཕ་རོལ་གཤེགས། ། ||| Great Omniscient Sage, you have perfected all good qualities.
ཐམས་ཅད་ཟིལ་གནོན་སྲིད་པ་གསུམ་གྱི་ཆགས་པའི་ལམ་ལས་འདས། ། ||| You outshine everyone and transcend the desirous path of the three realms.
ཤཱཀྱ་ཁྱུ་མཆོག་དྲི་བྲལ་ཟླ་བའི་ཞལ་ལ་ཕྱག་འཚལ་ལོ། ། ||| Supreme leader of the Śākyas, we prostrate before your stainless, moon-like face.
ཉི་མ་དྲི་མེད་ལྟ་བུའི་སྐུ་དང་ལྡན་པ་རྣམ་པར་མཛེས། ། ||| “Your body is beautiful, like the stainless sun.
མཚན་མཆོག་སུམ་ཅུ་རྩ་གཉིས་དག་གི་གོ་ཆ་མནབས་གྱུར་ཅིང་། ། ||| You wear the armor of the thirty-two perfect signs,
དཔེ་བྱད་བཟང་པོ་རྣམས་ཀྱིས་སྤྲས་པ་འཇིག་རྟེན་ཀུན་ཏུ་གསལ། ། ||| And light up the world with your adornments, the excellent marks.
མི་མཆོག་ཁྱོད་མཚུངས་འཇིག་རྟེན་གསུམ་ན་གང་ཡང་ཡོད་མ་མཆིས། ། ||| Perfect man, no one in the three worlds can compare to you.
བདེ་བར་གཤེགས་པའི་སྐུ་ཡི་འོད་ཀྱིས་གང་ཚེ་རེག་གྱུར་པ། ། ||| “When faced by the light from the body of the Blissful One,
དེ་ཚེ་འཇིག་རྟེན་ཉི་མ་ཟླ་བ་ནོར་བུ་ཞུགས་རྣམས་དང་། །བརྒྱ་བྱིན་ཚངས་པ་ལྷ་དང་དེ་བཞིན་མི་ཅི་རྣམས་ཀྱི་འོད། ། ||| The light of the sun, the moon, every jewel and fire in the world, That of any human, or gods like Śakra and Brahmā,
སྣག་ཚའི་ཕུང་པོ་བཞིན་དུ་མོག་མོག་མི་སྣང་གསལ་མ་མཆིས། ། ||| Is eclipsed, dimmed, and shines no more than a pool of ink.
རྒྱལ་བ་ཞིང་གཅིག་ན་ནི་ཡང་དག་བཞུགས་པར་གདའ་བཞིན་དུ། །འགྲོ་བའི་དོན་དུ་སྐད་ཅིག་གཅིག་གིས་མཐའ་ཡས་ཞིང་དུ་གཤེགས། ། ||| “Victorious One, while present in one realm, You instantaneously go to limitless others for the sake of beings.
སྟོན་པའི་བཞུད་དང་བྱོན་པ་འཚལ་བ་སུ་ཡང་ཡོད་མ་མཆིས། ། ||| No one can comprehend the departure and arrival of the teacher.
མཛད་པ་དག་དང་འདུལ་བ་སྣ་ཚོགས་དག་གིས་སེམས་ཅན་འདུལ། ། ||| Your many deeds and disciplines tame beings.
སྤུ་ཡི་ཁུང་གཅིག་ནང་དུ་མཐའ་ཡས་ཞིང་རྣམས་སྟོན་མཛད་ཀྱང་། ། ||| “In a single pore you can display limitless realms,
འཕེལ་བ་དང་ནི་བྲི་བར་གྱུར་པ་གང་ཡང་ཡོད་མ་མཆིས། ། ||| Yet nothing increases or decreases.
འདི་ནི་ཇི་བཞིན་ལས་དང་བྱེད་པ་རྒྱུ་དང་འབྲས་གདའ་ལ། ། ||| This is beyond the workings of karma, cause and effect.
སེམས་ཅན་རྣམས་ལ་གནོད་པ་མ་མཆིས་འདྲེས་པར་གྱུར་མ་མཆིས། ། ||| No being is harmed, and nothing is confused.
གང་ན་སེམས་ཅན་དམྱལ་བ་དུད་འགྲོ་ཡི་དགས་མ་མཆིས་ཤིང་། །རྒྱལ་བའི་སྲས་པོ་གྲགས་པ་ཆེན་པོ་དག་གིས་ཡོངས་གང་ལ། །མི་ཁོམ་བརྒྱད་པོ་དག་དང་བྲལ་ཏེ་མཆོག་ཏུ་ཉམས་དགའ་བའི། །ཡོངས་དག་ཞིང་དེ་དག་ཀྱང་མི་མཆོག་ལ་ལར་སྟོན་པ་མཛད། ། ||| “To some supreme beings you display the pure lands, Where there are no hell beings, animals, or pretas, And which are full of the renowned sons of the victorious ones— A realm of perfect delight beyond the eight unfree states.
