འཕགས་པ་ཐེག་པ་ཆེན་པོ་ལ་དད་པ་རབ་ཏུ་སྒོམ་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra Cultivating Trust in the Great Vehicle
དེ་བས་ན་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་ཐེག་པ་ཆེན་པོ་ལ་དད་པ་དེ་ནི་སངས་རྒྱས་ཀྱི་ཆོས་ཚད་མེད་པ་ཐམས་ཅད་ཀྱི་རྩ་བ་ཞེས་བྱ་སྟེ། ||| Therefore, the bodhisattvas’ trust in the Great Vehicle is said to be the root of all the limitless qualities of the Buddha.
རིགས་ཀྱི་བུ་འདི་ནི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་ཐེག་པ་ཆེན་པོའི་ཕྱིར་ཐེག་པ་ཆེན་པོ་ལ་དད་པའི་རྩ་བའི་མཚན་ཉིད་དོ། ། ||| This, noble son, is the characteristic of the root with respect to the bodhisattvas’ trust in the Great Vehicle that allows them to accomplish the Great Vehicle.”
གསོལ་པ། ||| The bodhisattva Great Skillful Trust said,
བཅོམ་ལྡན་འདས་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་ཐེག་པ་ཆེན་པོའི་ཕྱིར་ཐེག་པ་ཆེན་པོ་ལ་དད་པའི་སྦེད་པའི་མཚན་ཉིད་གང་ལགས། ||| “Blessed One, how is protection a characteristic of the bodhisattvas’ trust in the Great Vehicle that allows them to accomplish the Great Vehicle?”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། ||| The Blessed One replied,
རིགས་ཀྱི་བུ་འདི་ལ་བྱང་ཆུབ་སེམས་དཔའ་ཐེག་པ་ཆེན་པོའི་ཕྱིར་ཐེག་པ་ཆེན་པོ་ལ་དད་པ་སྐྱེས་ནས་ ||| “Noble son, when bodhisattvas have the trust in the Great Vehicle that allows them to accomplish the Great Vehicle,
སེར་སྣའི་སེམས་ཡོངས་སུ་སྤོང་ཞིང་དང་དུ་མི་ལེན་པས་སྦེད་པ་དང་། ||| they are protected because they abandon miserliness and no longer perpetuate it.
ངན་པའི་ངང་ཚུལ་གྱི་མཚན་མ་ཡོངས་སུ་སྤོང་ཞིང་དང་དུ་མི་ལེན་པས་སྦེད་པ་དང་། ||| They are protected because they abandon bad behavior and no longer perpetuate it.
ཁྲོ་བའི་མཚན་མ་ཡོངས་སུ་སྤོང་ཞིང་དང་དུ་མི་ལེན་པས་སྦེད་པ་དང་། ||| They are protected because they abandon anger and no longer perpetuate it.
ལེ་ལོའི་མཚན་མ་ཡོངས་སུ་སྤོང་ཞིང་དང་དུ་མི་ལེན་པས་སྦེད་པ་དང་། ||| They are protected because they abandon laziness and no longer perpetuate it.
རྣམ་པར་གཡེང་བའི་མཚན་མ་ཡོངས་སུ་སྤོང་ཞིང་དང་དུ་མི་ལེན་པས་སྦེད་པ་དང་། ||| They are protected because they abandon distraction and no longer perpetuate it.
འཆལ་པའི་ཤེས་རབ་ཀྱི་མཚན་མ་ཡོངས་སུ་སྤོང་ཞིང་དང་དུ་མི་ལེན་པས་སྦེད་པའི་ཕྱིར་ ||| They are protected because they abandon misguided intelligence and no longer perpetuate it.
ཉོན་མོངས་པ་དང་། ཉེ་བའི་ཉོན་མོངས་པ་དང་། ཕྱིར་རྒོལ་བའི་ཀུན་ཏུ་རྒྱུ་བ་ཐམས་ཅད་ལས་སེམས་ཤིན་ཏུ་སྲུང་ཞིང་ཤིན་ཏུ་སྦེད་པར་བྱེད་དོ། ། ||| Therefore, their minds are thoroughly guarded and protected against all disturbing emotions, subsidiary disturbing emotions, and the agitations of adversaries.
རིགས་ཀྱི་བུ་འདི་ལྟ་སྟེ། ||| “Noble son, consider this analogy.
དཔེར་ན་འདི་ལྟར་སྐྱེས་བུ་ཞིག་ལུས་མི་སྨས་པར་བྱ་བའི་ཕྱིར་གོ་ཆ་བཟང་པོ་བགོས་པ་ནི་གོ་ཆས་བསྲུངས་ཤིང་གོ་ཆས་སྦས་པའི་ཕྱིར་དགྲ་ཐམས་ཅད་ཀྱིས་མི་ཚུགས་སོ། ། ||| A man dons strong armor in order to protect his body from getting wounded. Since he is protected by this armor, no enemy can harm him.
རིགས་ཀྱི་བུ་དེ་བཞིན་དུ་ཐེག་པ་ཆེན་པོའི་ཕྱིར་ཐེག་པ་ཆེན་པོ་ལ་དད་པའི་བྱང་ཆུབ་ཀྱི་སེམས་ཀྱི་གོ་ཆ་བགོས་ཤིང་ ||| Noble son, similarly, one may don the armor of the awakened mind that trusts the Great Vehicle so that one may accomplish the Great Vehicle.
དེས་ལེགས་པར་བསྲུངས་ཤིང་ལེགས་པར་བཅས་པ་ནི་ཉོན་མོངས་པ་དང་། ཉེ་བའི་ཉོན་མོངས་པ་དང་། སྒྲིབ་པའི་དགྲ་ཐམས་ཅད་ཀྱིས་འཇིགས་པར་མི་འགྱུར་ཏེ ||| Thereby one is well protected and well equipped, so that no adversarial disturbing emotions, subsidiary disturbing emotions, or obscurations may inflict any harm.
རིགས་ཀྱི་བུ་འདི་ནི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་ཐེག་པ་ཆེན་པོའི་ཕྱིར་ཐེག་པ་ཆེན་པོ་ལ་དད་པའི་སྦེད་པའི་མཚན་ཉིད་དོ། ། ||| This, noble son, is the characteristic of protection with respect to the bodhisattvas’ trust in the Great Vehicle that allows them to accomplish the Great Vehicle.”
གསོལ་པ། ||| The bodhisattva Great Skillful Trust said,
བཅོམ་ལྡན་འདས་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་ཐེག་པ་ཆེན་པོའི་ཕྱིར་ཐེག་པ་ཆེན་པོ་ལ་དད་པའི་རྗེས་སུ་འབྲེལ་བའི་མཚན་ཉིད་གང་ལགས། ||| “Blessed One, how is connection a characteristic of the bodhisattvas’ trust in the Great Vehicle that allows them to accomplish the Great Vehicle?”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། ||| The Blessed One replied,
རིགས་ཀྱི་བུ་འདི་ལ་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་ཐེག་པ་ཆེན་པོའི་ཕྱིར་ཐེག་པ་ཆེན་པོ་ལ་དད་པའི་བག་ཆགས་བྱང་ཆུབ་སེམས་དཔའི་གནས་ལ་རྗེས་སུ་འབྲང་བ་དེ་ནི་འདི་ལྟར་རྗེས་སུ་འབྲང་སྟེ ||| “Noble son, when one is habituated to the bodhisattvas’ trust in the Great Vehicle so that one may accomplish the Great Vehicle, one will always follow the bodhisattvas’ way of life.
འགྲོའམ་འདུག་གམ་ཉལ་ལམ་མ་ཉལ་ལམ་གཉིད་ཀྱིས་ལོག་གམ། ར་རོའམ། སྨྱོས་ཀྱང་རུང་སྟེ། ||| Whether one walks or sits, lies down or stands up, sleeps or is awake, or is drunk or crazy,
རྟག་ཏུ་ཐེག་པ་ཆེན་པོ་ལ་དད་པ་དེ་དང་ལྡན་པར་འགྱུར་རོ། ། ||| one will always maintain this trust in the Great Vehicle.
བྱང་ཆུབ་སེམས་དཔའ་ཚེ་རབས་གཞན་དུ་རྗེས་ཏེ། ཐེག་པ་ཆེན་པོ་ལ་དད་པ་དེ་བརྗེད་དུ་ཟིན་ཀྱང་དམན་པ་སྐལ་བ་མི་མཉམ་པའི་སེམས་བསྐྱེད་པའི་ཚུལ་ཅན་མ་ཡིན་པས། ||| Later, in other lifetimes, although the bodhisattvas may have forgotten their trust in the Great Vehicle, they will not give rise to any inferior or inappropriate attitudes.
བཤེས་གཉེན་ངན་པ་ཉན་ཐོས་དང་རང་སངས་རྒྱས་དང་འདྲེ་བས་ཀྱང་འཕྲོག་པར་མི་འགྱུར་ན ||| Therefore, even if they were to associate with negative spiritual friends, such as the hearers and solitary buddhas, they would not get carried away.
གཞན་མུ་སྟེགས་ཅན་གྱི་ལྟ་འཕྲོགས་པར་ག་ལ་འགྱུར། ||| That being the case, how could any non-Buddhist views lead them astray?
ཐེག་པ་ཆེན་པོའི་ཕྱིར་ཐེག་པ་ཆེན་པོ་ལ་དད་པའི་རྐྱེན་ཆུང་ངུ་ཞིག་རྙེད་པས་ཀྱང་མྱུར་བ་དང་། ཤས་ཆེ་བ་དང་། རྒྱུན་གྱིས་ཐེག་པ་ཆེན་པོའི་ཕྱིར་ཐེག་པ་ཆེན་པོ་ལ་དད་པ་སྐྱེད་དོ། ། ||| At that time, with just a few favorable conditions for developing the trust in the Great Vehicle that allows them to accomplish the Great Vehicle, they will swiftly, forcefully, and steadily regain trust in the Great Vehicle.
དེའི་ཐེག་པ་ཆེན་པོའི་ཕྱིར་ཐེག་པ་ཆེན་པོ་ལ་དད་པའི་བག་ཆགས་རྗེས་སུ་འབྲེལ་བ་དེ་ཡང་ཚེ་རབས་ཚེ་རབས་སུ་རྣམ་པར་འཕེལ་ཏེ། བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཀྱི་བར་དུ་འགྱུར་རོ། ། ||| Their habitual tendency to trust the Great Vehicle that allows them to accomplish the Great Vehicle will only increase in future lives until they attain unsurpassed and completely perfect awakening.
རིགས་ཀྱི་བུ་འདི་ནི་བྱང་ཆུབ་སེམས་དཔའི་ཐེག་པ་ཆེན་པོའི་ཕྱིར་ཐེག་པ་ཆེན་པོ་ལ་དད་པའི་རྗེས་སུ་འབྲེལ་བའི་མཚན་ཉིད་དོ། ། ||| This, noble son, is the characteristic of connection with respect to the bodhisattvas’ trust in the Great Vehicle that allows them to accomplish the Great Vehicle.”
གསོལ་པ། ||| The bodhisattva Great Skillful Trust said,
བཅོམ་ལྡན་འདས་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་ཐེག་པ་ཆེན་པོའི་ཕྱིར་ཐེག་པ་ཆེན་པོ་ལ་དད་པའི་རྒྱུན་གྱི་མཚན་ཉིད་གང་ལགས། ||| “Blessed One, how is continuity a characteristic of the bodhisattvas’ trust in the Great Vehicle that allows them to accomplish the Great Vehicle?”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། ||| The Blessed One replied,
རིགས་ཀྱི་བུ་འདི་ལ་བྱང་ཆུབ་སེམས་དཔའི་ཐེག་པ་ཆེན་པོའི་ཕྱིར་ཐེག་པ་ཆེན་པོ་ལ་དད་པ་ཐོབ་པ་ནི་ ||| “Noble son, when one attains the bodhisattvas’ trust in the Great Vehicle that allows them to accomplish the Great Vehicle,
དད་པའི་ཤུགས་དེ་དག་གིས་རྩེ་ཞིང་དུས་དུས་སུ་ཐེག་པ་ཆེན་པོའི་ཆོས་ཀློག་གོ། །ཉན་ཏོ། །འདོན་ཏོ། །ཁ་ཏོན་བྱེད་དོ། །གཞན་དག་ལ་ཡང་རབ་ཏུ་སྟོན་ཏོ། ། ||| the force of that trust inspires one to read, hear, recite, chant, and teach the Dharma of the Great Vehicle.
