འཕགས་པ་མི་འམ་ཅིའི་རྒྱལ་པོ་སྡོང་པོས་ཞུས་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra The Questions of the Kiṃnara King Druma
བཅོམ་ལྡན་འདས་ཀྱིས་མིའམ་ཅིའི་རྒྱལ་པོ་སྡོང་པོ་ལ་ཐུགས་བརྩེ་བའི་ཕྱིར་བྱང་ཆུབ་སེམས་དཔའ་དང་། ཉན་ཐོས་ཀྱི་ཚོགས་དང་བཅས་པ་ལ་ཞག་བདུན་རི་སྤོས་ཀྱི་ངད་ལྡང་གི་ངོས་ལ་བཞུག་པར་གནང་ངོ་། ། ||| Out of love for the kiṃnara king Druma, the Blessed One agreed to remain for seven days on the slope of Mount Gandhamādana with his assemblies of bodhisattvas and hearers.
དེ་ནས་མིའམ་ཅིའི་རྒྱལ་པོ་སྡོང་པོས་བཅོམ་ལྡན་འདས་ཀྱིས་གནང་བར་རིག་ནས། ||| When the kiṃnara king Druma saw that the Blessed One had accepted his request,
ཚིམ་ཞིང་མགུ་ལ་ཡི་རངས་ཤིང་རབ་ཏུ་དགའ་སྟེ་ ||| he became satisfied, cheerful, thrilled, and elated.
དགའ་བ་དང་ཡིད་བདེ་བ་སྐྱེས་ནས་དཔུང་དང་བཅས་གཡོག་འཁོར་དང་བཅས་ཏེ། བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་ལ་མགོ་བོས་ཕྱག་འཚལ་ནས་ལན་གསུམ་བསྐོར་བ་བྱས་ཏེ། ||| With joy and happiness filling his mind, he and his subjects and servants prostrated to the feet of the Blessed One, and circumambulated him three times.
སིལ་སྙན་དང་རོལ་མོའི་དབྱངས་སྒྲ་བྱས་ནས་བཅོམ་ལྡན་འདས་ལ་མཆོད་པ་བྱས་ཏེ། འཁོར་གྱི་དཀྱིལ་འཁོར་དེ་ནས་སོང་ནས་རིའི་རྒྱལ་པོ་སྤོས་ཀྱི་ངད་ལྡང་བ་ལ་གནས་སོ། ། ||| They worshiped the Blessed One with musical melodies and then left the assembly, departing for the majestic Mount Gandhamādana.
དེ་ནས་མིའམ་ཅིའི་རྒྱལ་པོ་སྡོང་པོས་བཅོམ་ལྡན་འདས་ལ་མཆོད་པའི་ལས་ཀྱི་ཕྱིར་རང་གི་ཁྱིམ་རྒྱན་ཐམས་ཅད་ཀྱིས་བརྒྱན་ཏེ། ||| Then, as an act of worship for the Blessed One, the kiṃnara king Druma decorated his home with all sorts of ornaments.
འཁོར་གྱི་ཁྱམས་རྒྱར་ཀུན་ནས་དཔག་ཚད་ལྔ་བརྒྱ་པ། བཻ་ཌཱུརྱ་སྔོན་པོ་དང་། འཛམ་བུའི་ཀླུང་གི་གསེར་གྱི་པད་མས་ལེགས་པར་བརྒྱན་པ། རིན་པོ་ཆེ་དུ་མས་རྣམ་པར་སྤྲས་པ་བྱས་སོ། ། ||| He adorned the five hundred leagues of his vast courtyard with blue beryl stones and with lotuses made of gold from the Jambū River, and he beautified it with a variety of other precious substances.
འཁོར་གྱི་ཁྱམས་དེར་གདན་ཁྲི་རྩ་བ་རིན་པོ་ཆེ་ལས་བྱས་པ། ལྷའི་རས་བརྒྱ་སྟོང་བཏིང་བ་བརྒྱ་སྟོང་ཕྲག་མང་པོ་བཤམས་སོ། ། ||| In that courtyard, he arranged on foundations made of precious substances many hundreds of thousands of seats on which a hundred thousand divine fabrics were spread.
བཅོམ་ལྡན་འདས་ཀྱི་གདན་སེང་གེའི་ཁྲི་འཕང་དུ་དཔག་ཚད་བཅུ་གཉིས་པ་རིན་པོ་ཆེ་ཐམས་ཅད་ཀྱིས་སྤྲས་པ། རིན་པོ་ཆེའི་ཁ་ཁྱེར་གྱིས་བསྐོར་བ། གདུགས་དང་། རྒྱལ་མཚན་དང་། བ་དན་བསྒྲེང་བ། སྙིང་པོ་མཆོག་གི་བདུག་པས་བདུགས་པ། བླ་རེ་བྲེས་པ། དར་གྱི་ལྡ་ལྡི་མང་པོ་བྲེས་པ་ལྷའི་མེ་ཏོག་གཏོར་བ་བཤམས་སོ། ། ||| He also prepared a lion throne for the Blessed One, which was twelve leagues high. It was adorned with all types of precious substances and was surrounded by jeweled stands that supported parasols, banners, and flags. It was perfumed with the finest incense, covered by a canopy, decorated with many silken streamers, and strewn with divine flowers.
སེང་གེའི་ཁྲི་དེའི་ཕྱོགས་བཞིར་རིན་པོ་ཆེའི་ཤིང་ལྗོན་པ་སྣ་ཚོགས་བལྟ་ན་སྡུག་པ་བཞི་སྤྲུལ་ཏེ། ||| In the four directions around this lion throne, he emanated four groups of splendid precious trees.
སྐྱེ་བོ་ཐམས་ཅད་བསྡུས་ནས་ཚིགས་སུ་བཅད་པ་འདི་དག་སྨྲས་སོ། ། ||| He then assembled all his subjects and uttered these verses:
ཨུ་དུམ་བཱ་རའི་མེ་ཏོག་ཇི་བཞིན་དུ། །སངས་རྒྱས་འབྱུང་བ་བརྒྱ་ལམ་རྙེད་འགྱུར་བ། །མི་མཆོག་དེ་ནི་ད་ལྟར་བྱུང་གྱུར་གྱིས། །སྐྱོབ་ལ་གུས་དང་བཅས་པས་མཆོད་པ་གྱིས། ། ||| “Just like an uḍumbara flower, It is extremely rare for a Buddha to appear. That foremost of humans has now come; Worship the Protector with reverence!
ང་རྒྱལ་དག་དང་རྒྱགས་དང་གཡོ་སྤོངས་ལ། །ཕྲག་དོག་སེར་སྣ་དེ་བཞིན་སྒྱུ་རྣམས་དང་། །རྒོད་པ་ཐམས་ཅད་ཡོངས་སུ་སྤོང་བྱོས་ལ། །སྟོན་ལ་གུས་དང་བཅས་པས་མཆོད་པ་གྱིས། ། ||| “Give up pride, haughtiness, dishonesty, Envy, stinginess, deceit, And all forms of agitation, And worship the Teacher with reverence!
སྤོས་ངད་ལྡང་བ་འདི་ན་ལྷ་ཡུལ་བའི། །མེ་ཏོག་ཁྱད་པར་འཕགས་པ་ཇི་སྙེད་པ། །དེ་དག་ཐམས་ཅད་གཅིག་ཏུ་བསྡུས་ནས་སུ། །སྐྱེས་བུ་ཁྱུ་མཆོག་ལ་ནི་མཆོད་པ་གྱིས། ། ||| “Gather all the extraordinary flowers You can find in this divine land Of Gandhamādana And offer them to the supreme among humans!
སེམས་ཅན་མཆོག་ལ་མཆོད་པ་བྱ་བའི་ཕྱིར། །དྲི་ཞིམ་ཡིད་འོང་ཁྱད་པར་འཕགས་པའི་དྲི། །དུས་ཀྱི་རྗེས་སུ་འབྲང་བའི་ཙན་དན་གྱིས། །སྤོས་ཀྱི་ངད་ལྡང་འདི་ལ་བདུག་པ་གྱིས། ། ||| “To worship the supreme being, Perfume Gandhamādana With extraordinary, sweet-smelling fragrances, And with yellow sandalwood!
གླུ་དབྱངས་སིལ་སྙན་རྣམ་མང་ཡིད་འོང་བ། །མིའམ་ཅི་དག་རྟག་རྩེན་གར་བྱེད་པ། །ལྡན་པར་བྱོས་ལ་དགའ་ཞིང་དང་བ་ཡིས། །རྐང་གཉིས་མཆོག་ལ་མཆོད་པ་རབ་ཏུ་གྱིས། ། ||| “Kiṃnaras, worship the foremost of humans With delight and faith, Always playing and dancing, And offering many delightful melodies of song and music!
མཚུངས་པ་མེད་པ་མཐོང་བ་རྙེད་དཀའ་བ། །དེ་བཞིན་གཤེགས་ལ་ལྷ་ཡི་གདུགས་རྣམས་དང་། །བ་དན་དག་དང་རྒྱལ་མཚན་ཆོས་གོས་དང་། །བླ་རེ་མང་པོ་ཡིད་འོང་གཟུང་བར་བྱོས། ། ||| “Carry a lot of magnificent divine parasols, flags, Banners, Dharma robes, and canopies To welcome the Thus-Gone One— Peerless and so difficult to behold!
སངས་རྒྱས་མཆོད་པས་བདེ་འགྲོར་འགྲོ་བར་འགྱུར། །བརྒྱ་བྱིན་དང་ནི་འཇིག་རྟེན་སྐྱོང་བར་འགྱུར། །ཚངས་པ་དག་དང་དབང་བྱེད་དབང་ཕྱུག་དང་། །ལྷ་དང་མི་ཡི་བདག་པོ་ཆེན་པོར་འགྱུར། ། ||| “By worshiping the Buddha, you will be reborn Into the happy states of existence, As Śakra, the protectors of the world, Brahmā, the lord Īśvara, Or great rulers of gods and humans.
མི་མཆོག་མཆོད་པས་གཟུགས་དང་ཁ་དོག་དང་། །གྲགས་དང་བརྗོད་དང་འཁོར་དང་ལོངས་སྤྱོད་དང་། །དེ་བཞིན་དབང་ཕྱུག་དང་ནི་སྙན་ཚིག་དང་། །དེ་བཞིན་གཟུང་བར་འོས་པའི་ཚིག་ཏུ་འགྱུར། ། ||| “By worshiping the foremost of humans you will be blessed With good looks and complexion, and with fame and praise; You will enjoy retinues, material possessions, ruling power, And you will speak with pleasant and persuasive words.
གང་དག་འདིར་ནི་ལྷ་དང་དེ་བཞིན་དུ། །མི་རྣམས་ཀྱི་ནི་འདུས་བྱས་བདེ་བ་དང་། །བདེ་བ་བདེ་བས་ཚིམ་པར་འདོད་པ་རྣམས། །འཇིག་རྟེན་མགོན་པོ་དེ་ལ་མཆོད་པ་གྱིས། ། ||| “Those who wish to experience here The conditioned pleasures of gods and humans, And those who wish to be filled with happiness Should worship this protector of the world!
རང་རྒྱལ་བྱང་ཆུབ་དེ་བཞིན་ཉན་ཐོས་དང་། །དེ་ལྟར་དམ་པ་མཆོག་གི་ཐེག་པ་དང་། །བདུད་ཀྱི་དཔུང་རྣམས་རབ་འཇོམས་གང་འདོད་པས། །སེམས་ཅན་མཆོག་དེ་ལ་ནི་མཆོད་པ་གྱིས། ། ||| “Those who wish for the awakening of the solitary buddhas And the hearers, or for the sacred and supreme vehicle, And those who wish to defeat the hordes of Māra Should worship this supreme being!”
དེ་ནས་མིའམ་ཅིའི་རྒྱལ་པོ་སྡོང་པོས་རང་གི་གཡོག་འཁོར་ཐམས་ཅད་ལ་གོ་བར་བྱས་ཏེ ||| After the kiṃnara king Druma had instructed all his servants and subjects in that way,
མེ་ཏོག་དང་། དྲི་དང་། ཕྲེང་བ་དང་། བྱུག་པ་བསྔོགས་ནས་རོ་བརྒྱ་པའི་ཞལ་ཟས་བཤམས་ཏེ། ||| they gathered flowers, fragrant substances, garlands, and ointments, and prepared delicious food.
རིའི་རྒྱལ་པོ་སྤོས་ཀྱི་ངད་ལྡང་གི་ལྷོ་ཕྱོགས་ཀྱི་ངོས་ལ་འདུག་ནས་སིལ་སྙན་དང་གླུ་དབྱངས་བླངས་ཏེ། ||| Then, they gathered on the southern slope of the majestic Mount Gandhamādana and started playing music and singing songs.
