ཐམས་ཅད་མཁྱེན་པ་ལ་ཕྱག་འཚལ་ལོ། ། ||| Homage to the Omniscient One!
བུད་མེད་ཀྱི་ལུས་ཉོན་མོངས་པ་དང་ཉེ་བའི་ཉོན་མོངས་པས་ཉོན་མོངས་པར་གྱུར་པ་ལ་ལ་ཞིག་ཉིན་གཅིག་གམ་ཉི་མ་ཕྱེད་དམ། ཡུད་ཙམ་ཡང་རུང་སྟེ། གསུམ་ལ་སྐྱབས་སུ་འགྲོ་བ་ཡང་དག་པར་ལེན་ཅིང་བསླབ་པ་འཛིན་པར་བྱེད་ན་ ||| “Whoever has the body of a woman tainted by the fundamental and secondary defilements, if they genuinely take refuge in the Three Jewels and adopt the training, whether for one day, half a day, or just a moment,
དེ་དག་ཐམས་ཅད་བུད་མེད་ཀྱི་དངོས་པོ་དང་། སྡུག་བསྔལ་དང་། ཡིད་མི་བདེ་བ་དང་། འཁྲུག་པ་ཐམས་ཅད་རྣམ་པར་བཟློག་སྟེ ||| they will all dispel that condition of being a woman, suffering, unhappiness, and afflictions.
སྡུག་བསྔལ་མཐར་བྱས་ནས་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་མངོན་པར་རྫོགས་པར་སངས་རྒྱས་ཀྱི་བར་དུ་བདེ་འགྲོར་འགྲོ་བར་འགྱུར་རོ། ། ||| Having put an end to suffering, they will go to pleasant forms of existence until they become fully and perfectly awakened buddhas within unsurpassable, complete, and perfect awakening.
རིགས་ཀྱི་བུ་དེ་ལྟར་ལུས་དང་། ངག་དང་། ཡིད་ཀྱི་ཡི་དམ་འཆའ་བ་དང་། བསླབ་པ་འཛིན་པ་ཡང་དག་པར་ལེན་པར་བྱེད་པ་ནི་ཡོན་ཏན་དང་དགེ་བའི་རྩ་བ་མང་པོ་དང་ལྡན་པ་ཡིན་ན ||| Sons of noble family, [the infantile do not recognize that] one who genuinely takes up the pledges and the training commitments of body, speech, and mind is endowed with many qualities and great roots of virtue.”
བྱིས་པ་དག་གིས་ནི་དེ་མི་ཤེས་སོ། ། ||| the infantile do not recognize that
དེ་ནས་དེའི་ཚེ་ན་བར་སྣང་ལས་སྒྲ་ཆེན་པོ་བྱུང་བར་གྱུར་པ་དང་། འཁོར་དེ་དག་ཐམས་ཅད་ཀྱིས་ཨེ་མའོ་ཨེ་མའོ་ཞེས་དམ་པའི་སྒྲ་བྱུང་ནས་ ||| At that moment, a great noise resounded in the sky. All the retinue marveled,
མེ་ཏོག་དང་། དྲིའི་ཆར་ཆེན་པོ་རབ་ཏུ་ཕབ་བོ། ། ||| upon which a great rain of flowers and perfume fell.
སེམས་ཅན་འབུམ་ཚང་བ་རྣམས་སྡུག་བསྔལ་ཐམས་ཅད་ལས་གྲོལ་བར་གྱུར་ཏེ ||| One hundred thousand beings were all liberated from suffering and
ཕྱིར་མི་ལྡོག་པའི་ས་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ལ་བཀོད་དོ། ། ||| established in unsurpassable, complete, and perfect awakening—the spiritual level from which there can be no relapse.
གཞན་ཡང་སེམས་ཅན་བྱེ་བ་རྣམས་སངས་རྒྱས་དང་། ཆོས་དང་། དགེ་འདུན་ལ་སྐྱབས་སུ་འགྲོ་བ་ཡིད་ལ་བྱས་ཤིང་སེམས་དང་པོ་བསྐྱེད་པར་གྱུར་ཏོ། ། ||| Moreover, ten million beings focused upon taking refuge in the Buddha, Dharma, and Saṅgha, and generated bodhicitta for the first time.
དེ་བཞིན་གཤེགས་པ་དེ་དག་ཐམས་ཅད་ཀྱང་མི་སྣང་བར་གྱུར་ཏོ། ། ||| The tathāgatas, too, all disappeared.
དེ་ནས་ཕྱག་ན་རྡོ་རྗེ་ལ་སོགས་པ་རྡོ་རྗེ་འཛིན་པ་ཐམས་ཅད་དང་། བརྒྱ་བྱིན་དང་། ཚངས་པ་དང་། འཇིག་རྟེན་སྐྱོང་བ་དང་། རྒྱལ་པོ་ཆེན་པོ་བཞི་རྣམས་ཀྱིས་བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། ། ||| Then, Vajrapāṇi and the others, all the vajra holders, Śakra, Brahmā, the protectors of the world, and the four kings spoke these words to the Blessed One:
དེ་བཞིན་གཤེགས་པས་བདག་ཅག་དབུགས་ཕྱུང་སྟེ། ||| “Thanks to the Tathāgata, we have respite.
བདག་ཅག་གིས་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་དང་། དེ་བཞིན་གཤེགས་པ་དེ་དག་གི་མཚན་རྣམས་ཐོས་ཏེ། ||| We have heard the Dharma discourses and the names of the tathāgatas.
བཅོམ་ལྡན་འདས་ལ་ཆོས་སྨྲ་བ་དང་། འཆང་བ་དང་། འདྲི་བ་དང་། ཀློག་པ་དང་། མཆོད་པ་དང་། སྒྲོགས་པ་དེ་དག་གི་ཡུལ་ལམ། གྲོང་ཁྱེར་རམ། གཙུག་ལག་ཁང་རྣམས་བདག་ཅག་གི་ལུས་དང་སྲོག་དང་ཡང་བསྔོས་ཏེ ||| To the Blessed One, we have dedicated our countries, cities, and temples, as well as our bodies and lives, so that the Dharma will be taught, copied, recited, worshipped, and proclaimed.
བསྲུང་བར་བགྱི། ||| We will preserve it.
ཡོངས་སུ་བསྐྱབ་པར་བགྱི། ||| We will protect it.
དོན་ཐམས་ཅད་གྲུབ་པར་བགྱི། ||| We will accomplish all its purposes.
ནོར་དང་འབྲུ་རྣམས་ལེགས་པར་བསྒྲུབ་པར་བགྱི། ||| We will ensure that wealth and grains are well provided.
ཐམས་ཅད་དུ་མཆོད་པར་འགྱུར་བར་བགྱི། ||| We will ensure that the Blessed One will be venerated everywhere.
ནད་ཐམས་ཅད་ལས་ཡོངས་སུ་ཐར་བར་བགྱི། ||| We will ensure that people are free from all diseases.
དྲན་པ་དང་། སྟོབས་དང་། སྤྲོ་བ་སྩལ་བར་བགྱིའོ། ། ||| We will ensure that we give mindfulness, power, and inspiration.”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་དེ་དག་ལ་ལེགས་སོ་ལེགས་སོ་ཞེས་བྱ་བ་བྱིན་ནས་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། ། ||| The Blessed One declared, “Excellent. This is excellent!”
ཅི་ནས་ཀྱང་དེ་བཞིན་གཤེགས་པའི་དམ་ཚིག་གི་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་མྱུར་དུ་ནུབ་པར་མི་འགྱུར་བ་དེ་ལྟར་ཁྱེད་ཀྱིས་བྱོས་ཤིག ། ||| And he told them, “At all costs, make sure in this way that these teachings of the Dharma, which are the pledge of the Tathāgata, will not quickly disappear.”
བཅོམ་ལྡན་འདས་ཀྱིས་དེ་སྐད་ཅེས་བཀའ་སྩལ་པ་དང་། འཕགས་པ་སྤྱན་རས་གཟིགས་དབང་ཕྱུག་དང་། ལག་ན་རྡོ་རྗེ་ལ་སོགས་པ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་དེ་དག་ཐམས་ཅད་དང་ཉན་ཐོས་ཆེན་པོ་རྣམས་དང་། ཐམས་ཅད་དང་ལྡན་པའི་འཁོར་དེ་དག་ཐམས་ཅད་དང་། ལྷ་དང་། མི་དང་། ལྷ་མ་ཡིན་དང་། དྲི་ཟར་བཅས་པའི་འཇིག་རྟེན་ཡི་རངས་ཏེ། ||| When the Blessed One had spoken in this way, all the bodhisattva mahāsattvas, such as Noble Avalokiteśvara, Vajrapāṇi, and others, as well as the great śrāvakas and the entire retinue, and the world of the gods, human beings, asuras, and gandharvas, rejoiced and
བཅོམ་ལྡན་འདས་ཀྱིས་གསུངས་པ་ལ་མངོན་པར་བསྟོད་དོ།། །། ||| praised what the Blessed One had said.
འཕགས་པ་སངས་རྒྱས་ཀྱི་སྟོབས་སྐྱེད་པའི་ཆོ་འཕྲུལ་རྣམ་པར་འཕྲུལ་བ་བསྟན་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ་རྫོགས་སོ།། ||| Here ends the noble Mahāyāna sūtra, “The Teaching on the Extraordinary Transformation that is the Miracle of Attaining the Buddha’s Powers.”
