ཐམས་ཅད་མཁྱེན་པ་ལ་ཕྱག་འཚལ་ལོ། ། ||| I prostrate to the All-Knowing One.
དེ་ནས་འོད་ཟེར་དེ་དག་གིས་བཅོམ་ལྡན་འདས་ལ་ལན་གསུམ་བསྐོར་བ་བྱས་ཏེ་བཅོམ་ལྡན་འདས་ཀྱི་སྨིན་མཚམས་ཀྱི་མཛོད་སྤུར་མི་སྣང་བར་གྱུར་ཏོ། ། ||| After these particular rays of light had circled the Blessed One three times, they disappeared into the hair between the Blessed One’s eyebrows.
དེ་ནས་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོས་ཐལ་མོ་སྦྱར་ཏེ་བཅོམ་ལྡན་འདས་ལ་ཞུས་པ། ||| Then Venerable Ānanda joined his palms in reverence and praised the Blessed One with the following verse:
ཚོན་སྣ་སྟོང་གིས་སྤེལ་བ་སྣ་ཚོགས་ཅན། །མང་པོ་ཞལ་གྱི་སྒོ་ནས་བྱུང་བར་གྱུར། ། ||| “From your mouth’s great gate spill forth Scores of thousand-colored spectra.
དེ་ཡིས་ཕྱོགས་རྣམས་ཀུན་ཏུ་སྣང་བར་བགྱིས། །ཉི་མ་ཤར་བས་ཇི་ལྟར་བགྱིས་པ་བཞིན། ། ||| Like the shining of the sun, They illumine everything.”
ཡང་ཚིགས་སུ་བཅད་དེ་གསོལ་བ། ||| He then supplicated him with the following verses:
རྒོད་དང་བྲལ་ཞིང་རྒྱགས་དང་མི་དགྱེས་སྤངས་པ་ཡི། །སངས་རྒྱས་འགྲོ་བ་དག་གི་དམ་པའི་རྒྱུར་གྱུར་པ། ། ||| “The lords of beings , the buddhas who cast off disconsolation, Are rid of savagery and pride, and are themselves the cause of all that’s good.
རྒྱལ་བ་དགྲ་ཐུབ་རྣམས་ནི་རྒྱུ་རྐྱེན་མ་མཆིས་པར། །པད་མའི་རྩ་དང་དུང་མདོག་ལྟ་བུའི་འཛུམ་མི་སྟོན། ། ||| These victors over every rival, in the absence of cause and condition Do not display their smiles, which are the color of conch and lotus root.
བརྟན་པོ་ཉིད་ཀྱི་བློ་ཡིས་དུས་བབ་མཁྱེན་ལགས་ན། །དགེ་སྦྱོང་རྒྱལ་དབང་ཉན་པ་སོམ་ཉི་འཚལ་བ་རྣམས། ། ||| “So if you know it’s time, for your mind never falters, Then come—ascetic, victor—quell your disciples’ hesitation.
ཐུབ་པ་ཁྱུ་མཆོག་གི་ནི་གསུང་མཆོག་བསྟན་པ་དང་། །བཟང་པོ་དག་གིས་ཐེ་ཚོམ་སྐྱེས་པ་བསལ་བར་གསོལ། ། ||| O sage , greatest of the herd, with speech unrivaled, sure, and good, Reassure those prone to doubt.
རྒྱ་མཚོ་དང་ནི་རི་རྒྱལ་ལྟ་བུར་བརྟན་པ་ཡི། །མགོན་པོ་རྫོགས་སངས་རྒྱས་རྣམས་གྱིན་ད་འཛུམ་མི་སྟོན། ། ||| “Mountain still, and vast as oceans, Buddha, fully awakened lord, Your smile is no mundane event.
གང་གི་དོན་དུ་དཔའ་བོ་འཛུམ་པ་སྟོན་མཛད་པ། །དེ་ནི་ཁྱོད་ལ་སྐྱེ་བོ་ཕལ་ཆེན་ཉན་པར་འཚལ། ། ||| Hero, make it manifest so that many might pay heed.
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། ཀུན་དགའ་བོ་དེ་ནི་དེ་བཞིན་ནོ། ། ||| “Ānanda, so it is,” replied the Blessed One.
དེ་ནི་དེ་བཞིན་ཏེ། ཀུན་དགའ་བོ་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་རྣམས་ནི་རྒྱུ་མེད་རྐྱེན་མེད་པར་འཛུམ་པ་མི་མཛད་དེ། ||| “It is just as you say, Ānanda. Without the right causes and conditions the tathāgatas, the arhats, the totally and completely awakened buddhas do not smile.
ཀུན་དགའ་བོ་ཁྱོད་ཀྱིས་ཁྱེའུ་འདི་གཉིས་ཀྱིས་ང་ལ་འདི་ལྟ་བུའི་བཀུར་སྟི་བྱས་པ་མཐོང་ངམ། ||| Ānanda, did you see those two children who offered to serve me?”
བཙུན་པ་མཐོང་ལགས་སོ། ། ||| “Yes, Lord, I saw them,” said Ānanda.
ཀུན་དགའ་བོ་ཁྱེའུ་འདི་གཉིས་དགེ་བའི་རྩ་བ་དང་སེམས་བསྐྱེད་པ་དང་སྦྱིན་པར་བྱ་བའི་ཆོས་ཡོངས་སུ་གཏོང་བ་འདིས། བསྐལ་པ་བཅུ་གསུམ་གྱི་བར་དུ་ལོག་པར་ལྟུང་བར་མི་འགྱུར་ཏེ ||| “Ānanda, by the roots of the virtue of these children’s actions, the happiness they felt toward me, and the wholeheartedness of their generosity, they will not fall to the lower realms for thirteen eons.
བསྐལ་པ་བཅུ་གསུམ་གྱི་བར་དུ་ལྷ་རྣམས་དང་མི་རྣམས་ཀྱི་ནང་དུ་ཉིང་མཚམས་སྦྱར་ཞིང་། ||| For thirteen eons they will take rebirth among gods and humans.
འཁོར་བར་གྱུར་ནས་སྲིད་པ་ཐ་མ་དང་གནས་ཐ་མ་ལ་མིར་སྐྱེ་བ་ཐོབ་སྟེ་ ||| After circling in saṃsāra, in their final rebirth, their final dwelling place, they will take birth as a human being.
རབ་ཏུ་འབྱུང་བར་འགྱུར་ལ། དེས་སློབ་དཔོན་མེད་པ་དང་མན་ངག་མེད་པར་བྱང་ཆུབ་ཀྱི་ཕྱོགས་དང་འཐུན་པའི་ཆོས་སུམ་ཅུ་རྩ་བདུན་མངོན་དུ་བྱས་ནས་ ||| Then they will go forth and manifest the thirty-seven wings of enlightenment without a teacher or any instruction.
རང་སངས་རྒྱས་ཀྱི་བྱང་ཆུབ་མངོན་སུམ་དུ་བྱེད་པར་འགྱུར་ཏེདེ་ལ་གཅིག་ནི་རང་སངས་རྒྱས་རྔ་སྒྲ་ཞེས་བྱ་བར་འགྱུར་རོ། ། ||| One will manifest the enlightenment of a solitary buddha and become the solitary buddha known as Dundubhisvara, and the other will be known as Abhaya.
གཅིག་ནི་འཇིགས་མེད་ཅེས་བྱ་བར་འགྱུར་ཏེ་དེ་གཉིས་ཀྱི་སྦྱིན་པར་བྱ་བའི་ཆོས་ནི་འདི་ཡིན་ནོ།། །། ||| That is what shall come of their act of generosity.”
དབྱིག་མཚོ་ཞེས་བྱ་བ་ནི། ||| The Story of Lake of Jewels
གླེང་གཞི་མཉན་དུ་ཡོད་པ་ན་བཞུགས་ཏེ། དེའི་ཚེ་མཉན་དུ་ཡོད་པ་ན་ཁྱིམ་བདག་ཕྱུག་ཅིང་ནོར་མང་ལ་ལོངས་སྤྱོད་ཆེ་བ། ཡོངས་སུ་འཛིན་པ་ཡངས་ཤིང་རྒྱ་ཆེ་བ། རྣམ་ཐོས་ཀྱི་བུའི་ནོར་དང་ལྡན་པ། རྣམ་ཐོས་ཀྱི་བུའི་ནོར་དང་འགྲན་པ་ཞིག་གནས་པ་ ||| When the Blessed One was in Śrāvastī, there lived a certain householder, prosperous and wealthy, a person of vast and magnificent means, endowed with the wealth of Vaiśravaṇa—with wealth to rival Vaiśravaṇa’s.
དེས་ཐབས་ཟླར་བབ་པ་ལས་ཆུང་མ་བླངས་ནསདེ་དེ་དང་ལྷན་ཅིག་ཏུ་རྩེ་ཞིང་དགའ་ལ་དགའ་མགུར་སྤྱོད་པ་ལས། ||| When the time came for him to marry, he took a wife and they enjoyed themselves and coupled.
ཕྱི་ཞིག་ན་དེའི་ཆུང་མ་ལ་བུ་ཆགས་ནས། དེ་གང་གི་ཚེ་བུ་ཆགས་པར་གྱུར་པ་དེའི་ཚེ་དེ་རྒྱན་ཐམས་ཅད་ཀྱིས་བརྒྱན་པར་གྱུར་ལ། ||| One day his wife conceived, and when she did she found herself suddenly adorned by all manner of adornments.
ཁང་བཟངས་ཐམས་ཅད་དུ་གདུགས་དང་རྒྱལ་མཚན་དང་བ་དན་བསྒྲེང་སྟེ། ||| Parasols, banners, and flags fluttered from the top of the palatial house;
མེ་ཏོག་སྣ་ཚོགས་ནི་བཀྲམ་སྤོས་ཆུས་ནི་ཆག་ཆག་བཏབ་པའི་ནང་ན། ||| different kinds of flowers had been strewn and sundry fragrances sprinkled about;
མལ་ཁྲི་ལ་འདུག་སྟེ་བུད་མེད་ཀྱི་འཁོར་གྱིས་བསྐོར་ཅིང་འདུག་གོ། ། ||| and as she sat upon her bed she found she was surrounded by a retinue of women.
དེ་ནས་ཁྱིམ་བདག་དེས་བསམས་པ། མ་ལ་བདག་གི་ཆུང་མ་འདི་འབྱུང་པོ་འགའ་ཞིག་གིས་ཐེབས་པར་མ་གྱུར་གྲང་སྙམ་ནས་ལྟས་མཁན་རྣམས་ལ་བསྟན་ན། ||| “Oh my! Has my wife been possessed by a ghost?” the householder wondered, and he brought her to the soothsayers.
ལྟས་མཁན་རྣམས་ན་རེ་འདི་ནི་འབྱུང་པོས་ཐེབས་པ་མ་ཡིན་གྱི། ||| “No,” the soothsayers told him, “she has not been possessed by a ghost.
སེམས་ཅན་ལྟོ་ན་འདུག་པ་དེའི་མཐུ་ཡིན་ནོ་ཞེས་ཟེར་རོ། ། ||| All this has taken place on account of the being in her womb.”
དེ་ནས་ཟླ་བ་དགུའམ་བཅུ་ལོན་པ་དང་ཁྱེའུ་གཟུགས་བཟང་ཞིང་བལྟ་ན་སྡུག་ལ་མཛེས་པ་རྒྱན་ཐམས་ཅད་ཀྱིས་བརྒྱན་པ། མངལ་གྱི་དྲི་མ་དང་ཤ་མའི་དྲི་མ་དང་ཁྲག་གི་དྲི་མས་མ་གོས་པ་ཞིག་བཙས་ནས ||| Then after nine or ten months had passed, she gave birth to a child who was well proportioned, pleasing to the eye, beautiful, and decorated with adornments, who bore no trace of the womb, or of the placenta, or of blood.
དེ་བུད་མེད་དེ་དག་གིས་བཀྲུ་བར་འདོད་དེ་རྒྱན་བཀྲོལ་ན་དེའི་རྒྱན་གཞན་བྱུང་སྟེ། ||| Every time the women wanted to bathe him and would remove one of his adornments, another would appear.
