འཕགས་པ་དགེ་བའི་རྩ་བ་ཡོངས་སུ་འཛིན་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra Upholding the Roots of Virtue
གང་དག་མིག་དང་གཟུགས་གནས་ཤིང་། །ཚོར་བ་དང་ནི་འདུ་ཤེས་གནས། །འདུ་བྱེད་ལ་ཡང་གནས་ནས་སུ། །བདག་ཉིད་རྣམ་ཤེས་མ་བྱས་པ། ། ||| “There are those who remain Fixed on eye and form, As well as feeling, perception, and formation, And who do not know their own nature.
བློ་གྲོས་ངན་པས་ནམ་མཁའ་ལ། །ཀུན་དུ་བརྟགས་པས་འདག་སྙམ་པ། །ཡུན་རིང་དག་པར་མ་གྱུར་པས། །སྲིད་པར་མི་མཁས་རྣམས་སུ་འགྱུར། ། ||| “Such miserable minds that believe That by thinking they can purify space, Will for long not experience any purification, And so they will remain, unskilled, within existence.
དེ་ཕྱིར་སེམས་ནི་གསོབ་དང་གསོག ། ||| “Therefore, the mind is false and fake.
ཡོད་པ་མིན་པར་རབ་ཤེས་ནས། ། ||| Having understood that it does not exist,
དེ་ལ་སྙིང་པོར་མི་བཟུང་སྟེ། ། ||| Do not ascribe to it any importance,
དེ་དག་ངོ་བོ་ཉིད་ཀྱིས་སྟོང་། ། ||| For it is devoid of any essence.
བརྟེན་ནས་སེམས་ནི་བསྐྱེད་གྱུར་པ། །ནམ་ཡང་ཆུད་ཟར་མི་འགྱུར་ཞིང་། ། ||| “The mind that arises in dependence Will never come to nothing,
གང་དག་དེ་ཡི་རྐྱེན་ཡིན་པ། །དེ་དག་ངོ་བོ་ཉིད་ཀྱིས་སྟོང་། ། ||| Yet all its conditions Are empty of their own essence.
ངོ་བོ་ཉིད་ཀྱིས་སྟོང་པའི་ཆོས། །དེ་དག་ལ་ནི་སྒྲུབ་པ་མེད། ། ||| “Phenomena empty of their own essence Are not to be accomplished.
ཆོས་རྣམས་ཐམས་ཅད་བརྟགས་པ་སྟེ། ། ||| All phenomena are imaginary—
རང་བཞིན་དེ་ལྟར་རབ་ཏུ་བསྟན། ། ||| This is how their nature is taught.
གང་དག་དེ་ལྟར་རབ་ཤེས་པ། །དེ་དེ་བྱང་ཆུབ་ལུང་བསྟན་གྱི། ། ||| “Those who understand this clearly Receive the prophecy of awakening.
དེ་དག་གཟུགས་ཀྱིས་ལུང་མ་བསྟན། །ཚོར་བས་ཀྱང་ནི་ལུང་མ་བསྟན། ། ||| Their prophecy is not delivered by means of form, Nor does it take place in terms of feeling.
འདུ་ཤེས་འདུ་བྱེད་རྣམས་ཀྱིས་མིན། །རྣམ་ཤེས་ཀྱིས་ཀྱང་ལུང་མ་བསྟན། ། ||| “Prophecy does not occur through perception or formation, Nor is it granted by means of consciousness.
འདི་ལ་ཆོས་རྣམས་མི་དམིགས་ཀྱང་། །དེ་དག་ལུང་མ་བསྟན་པའང་མིན། ། ||| Here no phenomena are observed, Yet neither do such beings lack prophecy.
གང་དག་འདི་ལ་ཆོས་ཐམས་ཅད། །མཚན་མེད་དེ་འདྲའི་ཤེས་ལྡན་ཞིང་། །ཤེས་པས་རློམ་སེམས་མི་བྱེད་པ། །དེ་དག་བྱང་ཆུབ་ལུང་བསྟན་ཏོ། ། ||| “Those who recognize that here All phenomena are devoid of marks, And who are free from arrogance based on such understanding, They receive the prophecy of awakening.
བཟོད་པ་འདི་འདྲ་དེ་སྐྱེས་པ། །བློ་གྲོས་བསྟན་པས་བཟོད་དུ་ཟད། ། ||| “Such acceptance has arisen Through precisely the teaching of intelligence.
བོང་བའི་ཆད་པས་མཚོན་ཆད་ལ། །དེ་དག་མི་མཇེད་ཅན་དུ་འགྱུར། ། ||| As dirt is broken, weapons are broken, And thus they will not be subject to forgetfulness.
གང་དག་བཟོད་པ་དེ་འདྲ་བ། །ལེགས་པར་སྐྱེས་པར་གྱུར་པ་དག །དེ་དག་རྙེད་དང་བཀུར་སྟི་བཟོད། ། ||| “Whoever truly develops An acceptance of this kind Will be able to endure wealth and honor,
དེ་ནི་རྙེད་པས་རློམ་སེམས་མེད། ། ||| Remaining free from conceit based on riches.
དེ་འདྲ་བ་ཡི་བཟོད་པ་དེ། །མཁས་པ་རྣམས་ཀྱིས་གནོད་པ་ཡིན། ། ||| “An acceptance of this kind Is undertaken by the wise.
མཐའ་གཉིས་ཟིལ་གྱིས་མནན་ནས་སུ། །མཁས་རྣམས་དབུ་མས་སྤྱོད་པར་བྱེད། ། ||| Having subdued the two extremes The wise practice by means of the middle.
དེ་ཕྱིར་བཟོད་པ་བསྟེན་པར་བྱ། ། ||| “Hence, one must develop firm acceptance.
ངོ་བོ་ཉིད་ཀྱིས་ཆོས་སྟོང་པ། །དེ་ནི་བྱང་ཆུབ་ལམ་ཡིན་ཏེ། །ངས་ཀྱང་དེ་ནི་བསྟེན་པ་ཡིན། ། ||| Phenomena are devoid of essence— This is the path of awakening Upon which I have also relied.”
བྱང་ཆུབ་ཏུ་སེམས་བསྐྱེད་པ་བསྔགས་པའི་ལེའུ་ཞེས་བྱ་སྟེ་བཞི་པའོ།། །། ||| This concludes the fourth chapter.
དེའི་ཚེ་ཤར་ཕྱོགས་ཀྱི་ཕྱོགས་ཆར་འཇིག་རྟེན་གྱི་ཁམས་གྲངས་མེད་པ་སྟོང་ཕྲག་དྲུག་ཅུ་རྩ་བརྒྱད་འདས་པ་ན་འཇིག་རྟེན་གྱི་ཁམས་བློ་གྲོས་རབ་གནས་ཞེས་བྱ་བ་ན་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ནམ་མཁའི་རིགས་ཞེས་བྱ་བ་བཞུགས་ཏེ་ ||| At that time there was in the east, beyond sixty-eight thousand innumerable universes, a universe known as Susthitamati , and within that universe resided a thus-gone one, a worthy one, a perfect buddha known as Sky Family.
འཚོ་ཞིང་གཞེས་ལ་ཆོས་ཀྱང་སྟོན་ཏེ ||| Abiding and remaining present there, he taught the Dharma.
བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ནམ་མཁའི་རིགས་དེས་ཀྱང་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ཟླ་བ་ཞེས་བྱ་བ་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་ལུང་བསྟན་ཏོ། ། ||| This blessed one had prophesied that a bodhisattva great being by the name of Candra would awaken to unsurpassable and perfect buddhahood.
བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ཟླ་བས་སྣང་བ་དེ་མཐོང་སྟེ། གསུང་བསལ་བའི་སྒྲ་དེ་ཡང་ཐོས་སོ། ། ||| Also this bodhisattva great being, Candra, had noticed the light and heard the sound of the clear voice.
དེ་ནས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ཟླ་བས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ནམ་མཁའི་རིགས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། ། ||| Now he approached the perfect buddha Sky Family and asked,
བཅོམ་ལྡན་འདས་གསུང་བསལ་བའི་སྒྲ་གྲག་པ་དེ་དང་། འོད་གདའ་བ་དེ་སུའི་ལགས། ||| “Blessed One, whose is this clear voice that we hear, and to whom does this radiance belong?”
བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་ནམ་མཁའི་རིགས་ཀྱིས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ཟླ་བ་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། ། ||| replied the blessed thus-gone Sky Family,
རིགས་ཀྱི་བུ་སངས་རྒྱས་ཀྱི་ཞིང་འདི་ནས་འཇིག་རྟེན་གྱི་ཁམས་གྲངས་མེད་པ་སྟོང་ཕྲག་དྲུག་ཅུ་རྩ་བརྒྱད་འདས་པ་ན་འཇིག་རྟེན་གྱི་ཁམས་མི་མཇེད་ཅེས་བྱ་བ་ཡོད་དེ། ||| “Noble son,” “sixty-eight thousand innumerable universes away from this buddha realm lies a universe known as Enduring.
དེ་ན་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཤཱཀྱ་ཐུབ་པ་ཞེས་བྱ་བ་ད་ལྟར་བཞུགས་ཏེ་ ||| Within it resides the thus-gone one, the worthy one, the perfect buddha Śākyamuni.
འཚོ་ཞིང་གཞེས་ལ་འདི་ལྟ་སྟེ། བྱང་ཆུབ་སེམས་དཔའི་སྡེ་སྣོད་ཅེས་བྱ་བའི་ཆོས་ཀྱི་རྣམ་གྲངས་ཀྱི་ཆོས་ཀྱང་སྟོན་ཏོ། ། ||| Abiding and remaining present there, he is delivering Dharma teachings that are known as the Bodhisattva Collection.
གསུང་བསལ་བའི་སྒྲ་གྲག་པ་དེ་དང་། འོད་སྣང་བ་དེ་ནི་བཅོམ་ལྡན་འདས་དེའི་ཡིན་ནོ། ། ||| The clear voice and radiant light both belong to that blessed one.”
དེ་ནས་བཅོམ་ལྡན་འདས་དེ་ལ་བྱང་ཆུབ་སེམས་དཔའ་ཟླ་བས་འདི་སྐད་ཅེས་གསོལ་ཏོ། ། ||| the bodhisattva Candra then declared,
བཅོམ་ལྡན་འདས་བཅོམ་ལྡན་འདས་ཤཱཀྱ་ཐུབ་པ་དེའི་ཐད་དུ་འཇིག་རྟེན་གྱི་ཁམས་མི་མཇེད་དེར་བདག་མཆི་བར་བགྱིའོ། ། ||| “Blessed One,” “I shall travel to Enduring and go before the blessed Śākyamuni.”
བཅོམ་ལྡན་འདས་དེས་བཀའ་སྩལ་པ། ||| replied the Blessed One,
རིགས་ཀྱི་བུ་ཁྱོད་དེའི་དུས་ལ་ད་བབ་པར་ཤེས་ན་སོང་ཤིག ། ||| “Noble son,” “if you know that the time has come, then go.”
དེ་ནས་བཅོམ་ལྡན་འདས་དེས་སྐབས་ཕྱེ་ནས་ ||| Having been granted permission,
བྱང་ཆུབ་སེམས་དཔའ་ཟླ་བས་བཅོམ་ལྡན་འདས་དེ་ལ་རྣམ་པར་བལྟས་ཏེབཅོམ་ལྡན་འདས་དེའི་ཞབས་ལ་མགོ་བོས་ཕྱག་འཚལ་ནས་འགྲོ་བར་ཆས་སོ། ། ||| the bodhisattva Candra looked toward that blessed one, bowed his head to that blessed one’s feet in homage, and prepared to leave.
