༄༅༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་པཉྩ་པཱ་ར་མི་ཏཱ་ནིར་དེ་ཤ་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་ཕ་རོལ་ཏུ་ཕྱིན་པ་ལྔ་བསྟན་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra Teaching the Five Perfections The Perfection of Generosity
།དེ་ནས་ཚེ་དང་ལྡན་པ་ཤ་ར་དྭ་ཏིའི་བུས་ཚེ་དང་ལྡན་པ་བྱམས་མའི་བུ་གང་པོ་ལ་འདི་སྐད་ཅེས་སྨྲས་སོ། །ཚེ་དང་ལྡན་པ་གང་པོ་འདི་ལ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་འཚང་རྒྱ་བར་འདོད་པས་ཆོས་ཐམས་ཅད་སྟོང་པར་ཡིད་ལ་བྱེད་ཅིང་སྦྱིན་པ་སྦྱིན་པར་བྱའོ། ||| So Venerable Śāradvatīputra said to Venerable Pūrṇa Maitrāyaṇīputra, “Venerable Pūrṇa, in this regard, bodhisattva great beings wishing to awaken to unsurpassed and perfect buddhahood should consider all phenomena to be empty and practice generosity.
།ཐམས་ཅད་མཁྱེན་པ་ཉིད་ལ་དམིགས་པར་བྱས་ནས། བདོག་པ་ཐམས་ཅད་ཡོངས་སུ་གཏང་བར་བྱའོ། ||| While keeping their focus on the state of omniscience, they should give away all their belongings.
།ཟིན་པ་དང་མ་ཟིན་པའི་དངོས་པོ་རྣམས་ཡོངས་སུ་མ་བཏང་བའམ། མ་བྱིན་པའམ། མཆོད་སྦྱིན་མ་བྱས་པ་ཅི་ཡང་མེད་པར་བྱའོ། ||| They should definitely give up any form of not relinquishing, not giving, and not offering any object, whether in their own possession or not.
།ཚེ་དང་ལྡན་པ་གང་པོ་དེ་ལྟར་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོས་ཐམས་ཅད་མཁྱེན་པ་ཉིད་ཀྱི་སེམས་ཀྱིས་སྦྱིན་པ་སྦྱིན་པར་བྱའོ། ||| Venerable Pūrṇa, in this way bodhisattva great beings should give with a mind set upon omniscience.”
།སྦྱིན་པའི་ཕ་རོལ་ཏུ་ཕྱིན་པ་ལས་སྒྱུ་མ་ལྟ་བུར་བསྟན་པའི་ལེའུ་སྟེ་ལྔ་པའོ།། །། ||| This concludes the fifth chapter from “The Perfection of Generosity” entitled “Showing Generosity to Be Illusory.”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་ཚེ་དང་ལྡན་པ་ཤ་ར་དྭ་ཏིའི་བུ་ལ་བཀའ་སྩལ་པ། ཤ་ར་དྭ་ཏིའི་བུ་ལེགས་སོ་ལེགས་སོ། ||| Chapter 6: The Activity of Bodhisattvas and the Teachings of Buddhas in Countless Worlds The Blessed One said to Venerable Śāradvatīputra, “Excellent, Śāradvatīputra, excellent!
།ཤ་ར་དྭ་ཏིའི་བུ་དེ་དེ་བཞིན་ཏེ། ||| Śāradvatīputra, it is like that.
བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོས་ཐམས་ཅད་མཁྱེན་པ་ཉིད་ལ་དམིགས་པ་བྱས་ལ་སྦྱིན་པ་སྦྱིན་པར་བྱའོ། ||| Bodhisattva great beings should practice generosity while keeping their focus on the state of omniscience.
།ཤ་ར་དྭ་ཏིའི་བུ་ཁྱོད་ཤར་ཕྱོགས་ཀྱི་འཇིག་རྟེན་གྱི་ཁམས་ཐམས་ཅད་ན་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་དག་སྦྱིན་པ་སྦྱིན་པར་བྱེད་པ་མཐོང་བར་འདོད་དམ། ||| Śāradvatīputra, would you like to witness the bodhisattva great beings’ practice of generosity as it occurs in all the worlds in the eastern direction?”
གསོལ་པ། བཅོམ་ལྡན་འདས་ཤར་ཕྱོགས་ཀྱི་འཇིག་རྟེན་གྱི་ཁམས་ཐམས་ཅད་ན། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་དག་ཇི་ལྟར་སྦྱིན་པ་སྦྱིན་པར་བགྱིད་པ་མཐོང་བར་འཚལ་ལོ། ||| Śāradvatīputra replied, “Yes, Blessed One, please grant me a vision of how the bodhisattva great beings in all the worlds in the eastern direction practice generosity!”
།དེ་ནས་སངས་རྒྱས་ཀྱི་མཐུས་ཚེ་དང་ལྡན་པ་ཤ་ར་དྭ་ཏིའི་བུ་དང་། དེ་ལས་གཞན་པའི་ཉན་ཐོས་ཆེན་པོ་རྣམས་དང་། ཐམས་ཅད་དང་ལྡན་པའི་འཁོར་གྱིས་འདི་ནས་ཐད་ཀའི་ཕྱོགས་སུ་འཇིག་རྟེན་གྱི་ཁམས་སྒྱུ་མ་ཞེས་བྱ་བ་ན། ||| Then, through the Buddha’s power, Venerable Śāradvatīputra and the other great hearers and the entire retinue were transported directly to a world known as Illusory.
དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཕུང་པོ་ཆེན་པོ་ཞེས་བྱ་བ་ཉན་ཐོས་རྣམས་ལ་ཆོས་སྟོན་ཏེ། ||| There they saw the thus-gone, worthy, perfect Buddha Great Assemblage teaching the Dharma to the hearers.
དེ་ན་བྱང་ཆུབ་སེམས་དཔའ་ཐོགས་པ་མེད་པ་ཞེས་བྱ་བ་ཁྱིམ་ན་འདུག་ཅིང་ཁྱིམ་ན་འདུག་བཞིན་དུ་དབྱིག་དང་། གསེར་གྱི་ཕུང་པོ་རི་ཙམ་སྦྱིན་པ་སྦྱིན་ཞིང་ཡོངས་སུ་གཏོང་སྟེ། ||| They also saw a bodhisattva by the name Unhindered, who was sitting in his residence, generously distributing a mountain of his belongings and gold.
འདི་ལས་ཁྱེར་བའི་སེམས་ཅན་དེ་དག་ལ་སྦྱིན་པ་བྱིན་པར་གྱུར་ཅིག་ཅེས་སྒྲོགས་སོ། ||| To the people who were carrying the gifts away he would shout, “Please be generous!”
།གོས་ཀྱི་ཕུང་པོ་རི་ཙམ་དག་སྦྱིན་པར་བྱེད་དོ། །བཟའ་བ་དང་། བཅའ་བའི་ཕུང་པོ་རི་ཙམ་དག་སྦྱིན་པ་སྦྱིན་པར་བྱེད་དེ། ||| He was also donating a mountain of fabrics and distributing food and drinks to others, likewise the size of a mountain.
སེམས་ཅན་གང་དག་གིས་ཕ་བི་ལས་ཁྱེར་བ་དེ་དག་ལ་སྦྱིན་པ་བྱིན་པར་གྱུར་ཅིག་ཅེས་སྒྲོགས་སོ། ||| To everyone who carried his gifts away he would call out, “Please be generous!”
།གཞན་ཡང་བཅོམ་ལྡན་འདས་ཀྱིས་ཚེ་དང་ལྡན་པ་ཤ་ར་དྭ་ཏིའི་བུ་ལ་བཀའ་སྩལ་པ། བྱང་ཆུབ་སེམས་དཔའ་ཐོགས་པ་མེད་པས་རིན་པོ་ཆེ་སྣ་བདུན་གྱི་ཤིང་རྟ་འབུམ་ཕྲག་མང་པོ་བཀྲམ་སྟེ་ཤིང་རྟ་རེ་རེ་ལ་ཡང་བུད་མེད་ཁ་དོག་སྟོང་གིས་བརྒྱན་པ་དག་བསྐྱོན་ནས། ||| The Blessed One spoke to Venerable Śāradvatīputra, “The bodhisattva Unhindered has also lined up several hundred thousand chariots filled with the seven precious substances. On each chariot he has placed a lady who is adorned with thousands of colors.
ཚོང་འདུས་ཀྱི་སྲང་དུ་སྦྱིན་པར་བྱེད་དེ། ཚིག་འདི་སྐད་དུ་གང་ཤིང་རྟ་འདི་དག་དང་། བུད་མེད་འདི་དག་འདོད་པ་དེས་ཁྱེར་ཅིག་ཅེས་ཀྱང་ཟེར་རོ། ||| In the market street he offers all of these as gifts, calling out, ‘Whoever desires these chariots and these women can carry them off!’
།བུད་མེད་དེ་དག་རེ་རེ་ཡང་བུད་མེད་བརྒྱ་བརྒྱའི་འཁོར་དང་ལྡན་ཏེ། ||| And along with each of the women follows a retinue of hundreds of maidens.
ཤིང་རྟ་དབྱིག་དང་བཅས་པ་བུད་མེད་ཀྱི་འཁོར་དང་བཅས་པ་དེ་བུད་མེད་དེ་དག་ལ་སྦྱིན་པར་བྱེད་ཅིང་ཡོངས་སུ་གཏོང་ངོ་། ||| He gives away all of these chariots loaded with riches as well as all the ladies and their retinues of maidens.
།ཤ་ར་དྭ་ཏིའི་བུ་ཁྱོད་ཀྱིས་བྱང་ཆུབ་སེམས་དཔའ་ཐོགས་པ་མེད་པ་སྦྱིན་པ་སྦྱིན་པ་མཐོང་ངམ། ||| Śāradvatīputra, do you see the bodhisattva Unhindered practicing generosity in this way?”
གསོལ་པ། བཅོམ་ལྡན་འདས་མཐོང་ལགས་སོ། ||| Śāradvatīputra replied, “Yes, Blessed One, I see it!
།བདེ་བར་གཤེགས་པ་མཐོང་ལགས་སོ། ||| Well-Gone One, I see it!”
།བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ།ཤ་ར་དྭ་ཏིའི་བུ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་དེ་ལྟར་སྦྱིན་པ་སྦྱིན་པར་བྱའོ། ||| The Blessed One said, “Śāradvatīputra, this is how bodhisattva great beings should practice generosity.”
།དེ་ནས་ཉན་ཐོས་ཆེན་པོ་དེ་དག་གིས་ཀྱང་སངས་རྒྱས་ཀྱི་མཐུས་སྦྱིན་པ་སྦྱིན་པ་དེ་མཐོང་ངོ་། ||| Through the Buddha’s power, the great hearers also witnessed the practice of generosity.
།དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་ཚེ་དང་ལྡན་པ་ཤ་ར་དྭ་ཏིའི་བུ་ལ་བཀའ་སྩལ་པ། ཤ་ར་དྭ་ཏིའི་བུ་འདི་ཇི་སྙམ་དུ་སེམས། སྦྱིན་པ་འདི་རྒྱ་ཆེ་བ་ཡིན་ནམ། ||| At that point the Blessed One said to Venerable Śāradvatīputra, “Śāradvatīputra, tell me, is this an immense act of generosity?”
གསོལ་པ། ཨ་ལ་ལ་བཅོམ་ལྡན་འདས་རྒྱ་ཆེ་བ་ལགས་སོ། ། ||| Śāradvatīputra replied, “Oh my, Blessed One! It is truly immense!”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། ཤ་ར་དྭ་ཏིའི་བུ་སྦྱིན་པ་འདི་ལྟར་བྱིན་ཞིང་ཡོངས་སུ་བཏང་བ་འདི་ལ་དེ་ལས་གཞན་པའི་སྦྱིན་པ་རྣམས་ནི་བརྒྱའི་ཆར་ཡང་ཉེ་བར་མི་འགྲོ་བ་ནས། རྒྱུའི་བར་དུ་ཡང་མི་བཟོད་དོ། ||| The Blessed One said, “Śāradvatīputra, comparatively, other acts of generosity do not constitute even one percent of this generosity and liberality. Nor do they measure a thousandth, a hundred thousandth, a millionth, or a trillionth of that. In fact, no number, fraction, enumeration, analogy, or comparison would suffice.”
།དེ་ནས་སངས་རྒྱས་ཀྱི་མཐུས་ཚེ་དང་ལྡན་པ་ཤ་ར་དྭ་ཏིའི་བུས་སྦྱིན་པ་དེ་བྱིན་ནས། འདི་སྐད་དུ་དགེ་བའི་རྩ་བ་འདིས་ཐེག་པ་ལ་གསར་དུ་ཞུགས་པའི་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ནི་ཕྱིར་མི་ལྡོག་པ་ཉིད་དུ་གྱུར་ཅིག ། ||| Through the Buddha’s power, Venerable Śāradvatīputra witnessed how the bodhisattva, after having given away all the gifts, dedicated the merit with the words, “By these roots of virtue may all bodhisattvas who have newly entered this vehicle reach the state of nonregression!
