༄༅༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་ཤྲཱི་གུཔྟ་ནཱ་མ་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་དཔལ་སྦས་ཞེས་བྱ་བའི་མདོ། ||| The Noble Śrīgupta Sūtra
བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་འཚང་རྒྱ་བར་བགྱི་བ་དང་། སེམས་ཅན་མ་དུལ་བ་གདུལ་བར་བགྱི། མ་གྲོལ་བ་དགྲོལ་བར་བགྱི། དབུགས་མ་ཕྱིན་པ་དབུགས་དབྱུང་བར་བགྱི། ཡོངས་སུ་མྱ་ངན་ལས་མ་འདས་པ་ཡོངས་སུ་མྱ་ངན་ལས་བཟླ་བར་བགྱི་བའི་སླད་དུ་སྟེ། བདེན་པ་དང་བདེན་པའི་ཚིག་དེས་བདག་ཡོངས་སུ་གཏོང་བ་འབྲས་བུ་མ་མཆིས་པར་མ་གྱུར་ཅིག ། ||| Rather, I do this in order to attain supreme and perfect awakening and reach perfect buddhahood, so that I may tame those beings who are not yet tamed, liberate those not yet liberated, reassure those who need reassurance, and place beyond suffering those who are still suffering.” By this truth, and by these words of truth, may my self-sacrifice not be fruitless!’
ཅེས་སྨྲས་ནས་བདག་ཉིད་མེ་དོང་ཆེན་པོ་དེར་མཆོངས་སོ། །དགེ་བསྙེན་རི་བོང་དེས་མེ་དོང་དེར་མཆོངས་མ་ཐག་ཏུ་མེ་དོང་དེའི་མེ་ཤི་སྟེ་པད་མ་ཅན་གྱི་རྫིང་དུ་གྱུར་ནས། ||| “With these words, he hurled himself into the large fire pit. “Lay brother, as soon as the hare jumped into the fire pit, the fire within it died out and became a pool of lotuses.
རི་བོང་དེ་བུང་བ་ཟི་ཟི་ཟེར་བར་གྱུར་པའི་པད་མ་འདབ་མ་སྟོང་ཡོད་པའི་སྟེང་ན་འདུག་ཅིང་ཆོས་སྟོན་ཏེ། ||| The hare was teaching the Dharma while seated on a thousand-petaled lotus that was buzzing with bees.
ཚངས་པར་སྤྱོད་པ། ཐོག་མར་དགེ་བ། བར་དུ་དགེ་བ། ཐ་མར་དགེ་བ། ||| He gave instructions in proper spiritual conduct that were virtuous in the beginning, middle, and end;
དོན་བཟང་པོ། ཚིག་འབྲུ་བཟང་པོ། ||| that were excellent in meaning and in expression;
མ་འདྲེས་པ། ཡོངས་སུ་རྫོགས་པ། ཡོངས་སུ་དག་པ། ཡོངས་སུ་བྱང་བ་ཡང་དག་པར་སྟོན་ཏོ། ||| and that were uncontaminated, perfect, pure, and unsullied.
།དྲང་སྲོང་གིས་དེ་མཐོང་སྟེ། མཐོང་ནས་ཀྱང་དགའ་མགུ་ཡི་རངས་ཏེ་རབ་ཏུ་དགའ་ནས། ||| “When the sage witnessed this, he was overjoyed and delighted, and so he rejoiced.
དགའ་བ་དང་ཡིད་བདེ་བ་སྐྱེས་ཏེ། རི་བོང་དེ་ལ་ཐལ་མོ་སྦྱར་ཏེ་ཕྱག་འཚལ་ཏོ། ||| Filled with joy and happiness, he joined the palms of his hands and bowed to the hare.
།དགེ་བསྙེན་དེའི་ཚེ་དེའི་དུས་ན་ནགས་སྟུག་པོ་དེ་ན་གནས་པའི་དྲང་སྲོང་དེ་གཞན་ཞིག་ཡིན་པ་སྙམ་དུ་ཁྱོད་དོགས་ཤིང་ཐེ་ཙོམ་ཟ་ན་དེ་ལྟར་མི་བལྟ་སྟེ། ||| “Lay brother, if you suspect or have doubts that the sage who lived at that time in that dense forest was someone else, reconsider.
དགེ་སློང་འོད་སྲུང་དེའི་ཚེ་དེའི་དུས་ན་ནགས་སྟུག་པོའི་དྲང་སྲོང་དུ་གྱུར་ཏོ། ||| Lay brother, at that time the monk Kāśyapa was the forest sage.
།དགེ་བསྙེན་དེའི་ཚེ་དེའི་དུས་ན་ནགས་སྟུག་པོའི་རི་བོང་དུ་གྱུར་པ་དེ་གཞན་ཞིག་ཡིན་པ་སྙམ་དུ་ཁྱོད་དོགས་ཤིང་ཐེ་ཙོམ་ཟ་ན་དེ་ལྟར་མི་བལྟ་སྟེ། ||| Lay brother, if you suspect or have doubts that the forest hare at that time was someone else, reconsider.
ང་དེའི་ཚེ་དེའི་དུས་ན་རི་བོང་དུ་གྱུར་ཏོ། ||| At that time, I was the hare.
།དགེ་བསྙེན་ང་དུད་འགྲོའི་སྐྱེ་གནས་སུ་གྱུར་པ་དེའི་ཚེ་ཡང་ངའི་ལུས་ལ་མེས་མ་ཚུགས་ན། ||| Lay brother, fire could not physically affect me even then, when I was born as an animal;
ད་ལྟར་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་སངས་རྒྱས་པ་ལྟ་ལ་ཅི་སྨོས་ཏེ། ||| how much less so now that I am a completely awakened buddha?
ངའི་ལུས་ལ་མེས་ཚུགས་པར་འགྱུར་བ་འདི་ནི་གནས་མེད་དོ། ||| There is no basis for fire to physically affect me.”
།དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་དགེ་བསྙེན་དེ་དང་། སྐྱེ་བོ་ཕལ་པོ་ཆེ་ལ་ཆོས་ཀྱི་གཏམ་ཡང་དག་པར་སྟོན། ཡང་དག་པར་འཛིན་དུ་འཇུག །ཡང་དག་པར་གཟེངས་སྟོད། ཡང་དག་པར་རབ་ཏུ་དགའ་བར་མཛད་དོ། ། ||| The Blessed One then delivered a Dharma discourse to the lay devotee and the crowd of beings that was instructive, encouraging, uplifting, and joyous.
ཆོས་ཀྱི་གཏམ་ཡང་དག་པར་བསྟན། ཡང་དག་པར་འཛིན་དུ་བཅུག །ཡང་དག་པར་གཟེངས་བསྟོད། ཡང་དག་པར་རབ་ཏུ་དགའ་བར་མཛད་ནས་ཁྱིམ་བདག་དཔལ་སྦས་ཀྱི་ཁྱིམ་ག་ལ་བ་དེར་གཤེགས་སོ། ||| After the Blessed One had delivered the Dharma discourse that was instructive, encouraging, uplifting, and joyous, he continued on to the house of Śrīgupta.
།དེའི་ཚེ་རྒྱལ་པོའི་ཁབ་ཀྱི་གྲོང་ཁྱེར་ཆེན་པོའི་སྐྱེ་བོ་ཕལ་པོ་ཆེ་རྣམས་འདི་ཇི་ལྟར་འགྱུར་སྙམ་སྟེ། ||| The crowd of people from the city of Rājagṛha thought, “What will happen?
ཁྱིམ་བདག་དཔལ་སྦས་ཀྱི་ཕྱི་སྒོའི་སྒོ་གང་ག་ལ་བ་དེར་དོང་ངོ་། ||| There is a pit at the main gate to Śrīgupta’s house.”
།དེ་ནས་བཅོམ་ལྡན་འདས་མེ་དོང་ཆེན་པོ་ག་ལ་བ་དེར་གཤེགས་ཏེ་བྱོན་ནས་མེ་དོང་ཆེན་པོ་དེར་ཞབས་གཡས་པ་གསེར་གྱི་ཁ་དོག་ཅན་ཐོག་མར་བཞག་སྟེ། ||| The Blessed One then reached the deep fire pit, and set his golden-colored right foot upon it.
བཅོམ་ལྡན་འདས་ཀྱིས་མེ་དོང་དེར་ཞབས་གཡས་པ་གསེར་གྱི་ཁ་དོག་ཅན་དེ་བཞག་མ་ཐག་ཏུ་མེ་དོང་དེའི་མེ་ཤི་བར་གྱུར་ཏེ་པད་མའི་རྫིང་བུར་གྱུར་ནས་བུང་བ་ཟི་ཟི་ཟེར་བར་གྱུར་ཏོ། ||| As soon as the Blessed One had set his golden-colored right foot upon the fire pit, the fire in the pit died out, and it became a pool of lotuses, buzzing with bees.
།བཅོམ་ལྡན་འདས་ཀྱིས་ཞབས་གཡས་པ་གསེར་གྱི་ཁ་དོག་ཅན་མེ་དོང་དེར་བཞག་མ་ཐག་ཏུ་ལྷ་རྣམས་ལྷའི་ཙན་དན་གྱི་ཕྱེ་མ་དག་བཅོམ་ལྡན་འདས་ཀྱི་སྐུ་ལ་འཐོར། མངོན་པར་འཐོར། མངོན་པར་རབ་ཏུ་འཐོར་རོ། ||| As soon as the Blessed One had set his golden-colored right foot upon the fire pit, the gods showered heavenly sandalwood powder over him, showering him repeatedly with it.
།ལྷའི་མེ་ཏོག་ཨུད་པ་ལ་དང་། པད་མ་དང་། ཀུ་མུ་ད་དང་། པད་མ་དཀར་པོ་དང་། ལྷའི་མེ་ཏོག་མན་དཱ་ར་བ་དག་བཅོམ་ལྡན་འདས་ཀྱི་སྐུ་ལ་འཐོར། མངོན་པར་འཐོར། མངོན་པར་རབ་ཏུ་འཐོར་རོ། ། ||| They showered him with heavenly flowers, such as blue and white water lilies, red and white lotuses, and mandārava blossoms, showering him repeatedly with them.
ལྷའི་རོལ་མོའི་སྒྲ་ཡང་འབྱིན་ཏོ། །སིལ་སྙན་གྱི་སྒྲ་ཡང་འབྱིན་ཏོ། ||| Divine music rang out, and heavenly cymbals played.
།དུང་དང་། རྔ་བོ་ཆེ་དང་། རྫ་རྔ་དང་། ཁར་རྔ་ལ་སོགས་པའི་སྒྲ་ཡང་ཕྱུང་ངོ་། ||| Conches, large drums, and clay and metal drums resounded.
།རྒྱལ་པོའི་ཁབ་ཀྱི་གྲོང་ཁྱེར་ཆེན་པོའི་སྐྱེ་བོ་ཕལ་པོ་ཆེ་རྣམས་ངོ་མཚར་དུ་གྱུར་རྨད་དུ་བྱུང་བར་གྱུར་ཏེ། ||| The people of the great city of Rājagṛha were amazed and full of wonder.
གསང་བསྟོད་ནས་སྒྲ་དྲག་པོ་དང་། སྒྲ་ཆེན་པོར་ཧ་ཧ་ཞེས་བྱ་བ་དང་། ཧི་ཧི་ཞེས་བྱ་བ་དང་། ཅ་ཅོ་དང་ག་ཞ་འཐོན་ཏོ། ||| They let out a great roar of acclaim and the loud sounds of jubilation, laughter, astonishment, and elation.
།བཅོམ་ལྡན་འདས་ལ་གོས་ཀྱང་འཐོར་རོ། ||| They even tossed clothes to the Blessed One.
།དེའི་ཚེ་ཁྱིམ་བདག་དཔལ་སྦས་ནི་གཅེར་བུ་པ་ཉེ་དུའི་བུ་དང་ལྷན་ཅིག་ཏུ་ཁང་སྟེང་ན་འདུག་གོ། ||| At that time Śrīgupta was standing on the roof of his house with Jñātiputra the Jain.
།ཁྱིམ་བདག་དཔལ་སྦས་ཀྱི་ཆུང་མ་ཁྱིམ་གྱི་ནང་ན་འདུག་པས་རྒྱལ་པོའི་ཁབ་ཏུ་སྒྲ་དྲག་པོ་དང་། སྒྲ་ཆེན་པོ་ཕྱུང་བ་ཐོས་སོ། །ཐོས་ནས་དེ་འདི་སྙམ་དུ་སེམས་ཏེ། འདི་ལྟར་རྒྱལ་པོའི་ཁབ་ཀྱི་གྲོང་ཁྱེར་ཆེན་པོ་འདིར་སྒྲ་མཐོན་པོ་དང་། སྒྲ་དྲག་པོ་དང་། སྒྲ་ཆེན་པོ་བྱུང་བ་ལས་བཅོམ་ལྡན་འདས་མེ་དོང་ཆེན་པོ་དེར་ལྷུང་སྟེ་གྲོངས་པར་མ་གྱུར་གྲང་། ||| Śrīgupta’s wife, who was inside the house, heard the roar and clamor erupting in Rājagṛha and thought, “Does such a loud and powerful noise here in the city of Rājagṛha mean that the Blessed One did not fall into the large fire pit and die?
