༄༅༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་སཱུརྱ་གརྦྷ་ནཱ་མ་མ་ཧཱ་བཻ་བུ་ལྱཾ་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་ཤིན་ཏུ་རྒྱས་པ་ཆེན་པོའི་སྡེ་ཉི་མའི་སྙིང་པོ་ཞེས་བྱ་བའི་མདོ། ||| The Noble Very Extensive Sūtra The Quintessence of the Sun
།དེ་དེར་ཡང་ལོ་བརྒྱ་སྟོང་མང་པོར་ཆུའི་ནང་དུ་སེམས་ཅན་དམྱལ་བའི་གནོད་པ་མྱོང་བར་བྱེད་པ་ཡིན་ནོ། ||| In those waters, they will experience the harms of the hell realms for many hundreds of thousands of years.
།དེ་དེ་ནས་ཤི་འཕོས་ནས་ཀྱང་འབྲོག་དགོན་པ་ཆེན་པོར་རྫུས་ཏེ་སྐྱེ་བ་ཤ་ནར་ནར་པོ་ཆེན་པོ་རི་དང་མཉམ་པ་འབྱུང་བར་འགྱུར་རོ། ||| Then, after they pass away, they will be miraculously born into a vast wilderness as creatures with oblong shapes as large as mountains.
།ཕྱོགས་བཞི་ཀུན་ཏུ་ཡང་རླུང་ཀུན་ཏུ་ཚ་བ་དག་གིས་ཀུན་ཏུ་སྲེག་པར་བྱེད་དོ། །དེར་ཡང་ཕྱོགས་བཞི་ནས་རི་དགས་དང་བྱ་དག་ལྷགས་ཏེ་ཡོངས་སུ་ཟ་བ་དག་ཏུ་བྱེད་དོ། ||| They will be burned by scorching winds blowing from the four directions, and wild beasts and birds will come to feed on them.
།དེ་བརྒྱ་ལ་རེས་འགའ་དུས་རིང་ཞིག་འདས་ནས་དེ་ནས་ཤི་འཕོས་ནས་ཡང་སེམས་ཅན་དམྱལ་བ་ཆེན་པོ་དག་གི་ནང་དུ་སྐྱེ་བར་འགྱུར་རོ། ||| If, in a rare combination of circumstances, they pass away and transmigrate, they will then be born into the great hells.
།དེ་ནས་ཀྱང་ཤི་འཕོས་ནས་ཡང་དང་ཡང་དུ་ལོག་པར་སྒྲུབ་པ་ཆེན་པོ་དེ་ལྟ་བུ་ཉམས་སུ་མྱོང་བར་འགྱུར་ཏེ། ཡོངས་སུ་བརྟག་པ་ཉེ་བར་བཟུང་ན། ||| Then, after passing away, they will experience such great misfortunes again and again.
དེ་བརྒྱ་ལམ་ན་རེས་འགའ་ཞིག་མི་རྣམས་དང་སྐལ་བ་མཉམ་པར་སྐྱེས་ན་ཡང་སངས་རྒྱས་ཀྱི་ཞིང་སྙིགས་མ་ལྔ་དང་ལྡན་པ་དག་ཏུ་མིག་མ་ཚང་བ་དང་། ཚུལ་དུ་མི་ཤིས་པར་སྐྱེ་བར་འགྱུར་རོ། ||| Considering their condition thoroughly, even if, in a rare combination of circumstances, they are then born with the general fortune of humans, they will be born blind in miserable circumstances, in buddha realms ripe with the five degenerations.
།རྒྱལ་པོ་ཆེན་པོ་གང་ཆོས་ཀྱིས་གནས་པ་དག་ལ་བསྔོས་པའི་ལོངས་སྤྱོད་དང་ཉེ་བར་སྤྱོད་པ་དང་། ནོར་གྱི་ཡོ་བྱད་འཕྲོག་པར་བྱེད་པ་དེའི་ལོག་པར་སྒྲུབ་པ་དེ་ནི་དེ་ལྟ་བུ་ཡིན་ནོ། ། ||| Your Majesty, such are the misfortunes that will be experienced by those who steal the resources, possessions, and valuables that have been dedicated to those who abide by the Dharma.”
དེ་ནས་རྒྱལ་པོ་གཟུགས་ཅན་སྙིང་པོ་མཆི་མ་དག་ཕྱུང་ནས་གསོལ་པ། བཙུན་པ་བཅོམ་ལྡན་འདས་སྐྱེས་བུ་གང་ཟག་དེ་ལྟ་བུ་ནི་སེམས་ཅན་དམྱལ་བ་ན་གནས་པར་མི་བསྔོ་ལགས་ཀྱི། གང་གིས་མི་ཉིད་རྙེད་པ་ཐོབ་ནས་བསོད་ནམས་མ་ལགས་པ་ཆེན་པོ་དེ་ལྟ་བུ་ཀུན་ཏུ་སྤྱོད་པར་འགྱུར་བའི་མི་ཉིད་རྙེད་པ་ནི་དེ་ལྟ་མ་ལགས་སོ། ||| At that moment, King Bimbisāra shed tears and said, “Respected Blessed One, such beings will surely have to remain in the hell realms, but how can they achieve a human condition and then engage in such severe nonvirtuous acts while they are humans?”
།བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། རྒྱལ་པོ་ཆེན་པོ་ད་ལྟར་དང་མ་འོངས་པའི་དུས་ན་རྒྱལ་རིགས་ཆོས་ཀྱིས་གནས་པ་ཁྱེད་ཅག་གི་ལག་ཏུ་གང་ཟག་ཡོངས་སུ་གཏད་ཀྱིས་སྲུངས་ཤིག །ཡོངས་སུ་སྲུངས་ཤིག །རབ་ཏུ་བྱུང་བའམ། ||| “Your Majesty,” replied the Blessed One, “now and in the future, people will put their trust in you members of the kṣatriya class who abide by the Dharma, so look after them and protect them!
ཁྱིམ་ན་གནས་པ་གང་དགེ་སློང་ཆོས་ཀྱིས་གནས་པ་རྣམས་ལ་དེ་ལྟར་བསྔོས་པའི་ལོངས་སྤྱོད་དང་། ཉེ་བར་སྤྱོད་པ་དང་། ནོར་གྱི་ཡོ་བྱད་འཕྲོག་པར་བྱེད་པ་དེ་ལ་ཁྱེད་ཀྱིས་ཇི་ནས་ཀྱང་ཆོས་དང་འཐུན་པས་ཆད་པས་གཅད་པར་བྱའོ། ||| You must by all means punish, in accordance with the Dharma, the renunciates or householders who steal the resources, possessions, and valuable belongings that have been dedicated to the monks who abide by the Dharma!”
།རྒྱལ་པོས་གསོལ་པ། བཙུན་པ་བཅོམ་ལྡན་འདས་གལ་ཏེ་གང་དག་དགེ་སློང་ཆོས་ཀྱིས་གནས་པ་རྣམས་ལ་དེ་ལྟར་བསྔོས་པའི་ལོངས་སྤྱོད་དང་། ཉེ་བར་སྤྱོད་པ་དང་། ནོར་གྱི་ཡོ་བྱད་འཕྲོག་པར་བྱེད་པའི་ཁྱིམ་ན་གནས་པ་དང་རབ་ཏུ་བྱུང་བ་དེ་དག་ཅི་ནས་ཆོས་དང་འཐུན་པས་ཆད་པས་གཅོད་པར་མི་བགྱིད་ཅིང་། དེ་ལ་རྒྱལ་པོ་བཏང་སྙོམས་པར་གནས་པར་བགྱིད་ལགས་ན་རྒྱལ་རིགས་དེ་བསོད་ནམས་མ་ལགས་པའི་ཕུང་པོ་ཇི་སྙེད་ཅིག་སྐྱེད་པར་འགྱུར་ལགས། ||| “Respected Blessed One,” said the king, “if the king does not by all means punish, in accordance with the Dharma, those householders and renunciates who steal the resources, possessions, and valuable belongings that have been dedicated to the monks who abide by the Dharma, and if he remains indifferent toward them, what mass of nonvirtue would that member of the kṣatriya class generate?”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། རྒྱལ་པོ་ཆེན་པོ་དེ་བཞིན་གཤེགས་པ་མ་གཏོགས་པར་ཉན་ཐོས་དང་། རང་རྒྱལ་བ་དག་དང་བཅས་པའི་སེམས་ཅན་ཐམས་ཅད་ཀྱི་བསོད་ནམས་ཇི་སྙེད་ཡོད་པའི་བསོད་ནམས་ཀྱི་ཕུང་པོ་དེ་ལྟ་བུ་དང་། སེམས་ཅན་གཅིག་ཅིག་ལྡན་པར་གྱུར་ན། སེམས་ཅན་དེ་ཉན་ཐོས་དང་། རང་རྒྱལ་བ་ཐམས་ཅད་ལས་ཆེས་ཁྱད་པར་དུ་འཕགས་པ་དང་། ཆེས་བསོད་ནམས་དང་ལྡན་པར་འགྱུར་བ་ཡིན་ནམ། ||| “Your Majesty,” replied the Blessed One, “if a single being were endowed with the entire mass of virtue of all sentient beings, including the hearers and solitary buddhas but not the thus-gone ones, would that sentient being be much more exalted than all the hearers and solitary buddhas, and would they possess much greater merit?”
རྒྱལ་པོས་གསོལ་པ། བཙུན་པ་བཅོམ་ལྡན་འདས་དེ་དེ་ལྟ་ལགས་སོ། ||| The king answered, “Respected Blessed One, that is correct!
།བཙུན་པ་བཅོམ་ལྡན་འདས་སེམས་ཅན་དེ་ཆེས་ཁྱད་པར་དུ་འཕགས་པ་ལགས་ཏེ། ||| Respected Blessed One, that being would be much more exalted!
དེ་གང་ལ་སེམས་ཅན་འཚོ་བ་ཀུན་གྱི་ནང་ན་ཉན་ཐོས་དང་། རང་རྒྱལ་བ་ཐམས་ཅད་ལས་ཆེས་བསོད་ནམས་དང་ལྡན་པ་ནི་སྐྱེས་བུ་འགའ་ཞིག་འབྱུང་བར་བས་ལགས་སོ། ||| Among all the living beings, there are not many who possess much greater merit than all the hearers and solitary buddhas.”
།བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། རྒྱལ་པོ་ཆེན་པོ་གལ་ཏེ་སེམས་ཅན་སྔ་མ་དེ་བསོད་ནམས་ཀྱི་ཕུང་པོ་ཇི་ལྟ་བུ་དང་ལྡན་པའི་བསོད་ནམས་ཀྱི་ཕུང་པོ་དེ་ལྟ་བུ་དང་སེམས་ཅན་ཐམས་ཅད་ལྡན་པ་དག་ཏུ་གྱུར་ལ། དེ་ལ་གང་སེམས་ཅན་འཚོ་བ་ཐམས་ཅད་ཀྱི་ཡན་ལག་དག་རྣམ་པར་གཅོད་པར་བྱེད་ཅིང་མིག་འབྱིན་པ་དང་། རྣ་བ་དང་། སྣ་དང་། ལག་པ་དང་། རྐང་པ་དག་རྣམ་པར་གཅོད་པར་བྱེད་པའི་སྐྱེས་བུ་འགའ་ཞིག་བྱུང་བར་གྱུར་ན། ||| “Your Majesty,” continued the Blessed One, “imagine that all beings were endowed with the mass of merit in possession of this previously mentioned being and that some persons cut the limbs, gouged the eyes, and chopped the ears, noses, hands, and feet of all the living beings.
