འཕགས་པ་རིན་ཆེན་དྲ་བ་ཅན་གྱིས་ཞུས་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra The Questions of Ratnajālin
གང་ཞིག་ལག་པ་གཅིག་གིས་ནི། །མཆོད་རྟེན་གྲངས་མེད་བཤིག་བྱས་པས། །གང་གིས་མདོ་སྡེ་འདི་སྤངས་ན། །ཁྱད་ཆོས་སྡིག་པར་འདི་འགྱུར་རོ། ། ||| “Compared to destroying countless caityas, With one’s own hands, It is a far viler deed To abandon this discourse.
དེ་ལྟ་བས་ན་ང་སྨྲ་བ། །ཕྱི་མའི་དུས་ཚེ་འདི་རྙེད་ནས། །སངས་རྒྱས་ཡེ་ཤེས་བླ་མེད་ལ། །སོམ་ཉི་ཟ་བར་མ་བྱེད་ཅིག ། ||| “Thus when, at a future time, You attain that which I am preaching, Do not harbor any doubt About the unsurpassed wisdom of the buddhas.
མདོ་སྡེ་འདི་འདྲ་འདི་ཐོས་ནས། །མེ་ཏོག་སྤོས་དང་འཕན་རྣམས་དང་། །གདུགས་དང་ཕྱེ་མ་གོས་རྣམས་ཀྱིས། །གུས་པར་བྱས་ཏེ་མཆོད་པར་གྱིས། ། ||| “Once you have heard this discourse, Perform respectful veneration With flowers, incense, streamers, Parasols, and powders!”
དེར་ནི་དེ་བཞིན་གཤེགས་པ་ཡི། །ཕྱག་མཉེན་ཤིན་ཏུ་འཇམ་པ་ཡིས། །ལིཙྪ་བཱི་ཡི་མགོ་བོ་ལ། །ཡང་དང་ཡང་དུ་བྱུག་པ་མཛད། ། ||| Then, with his soft and supple hands, The Thus-Gone One Repeatedly caressed The Licchavi boy’s head.
དེ་ཡི་རྗེས་ལ་ལྷ་རྣམས་ཀྱིས། །སྒྲ་སྐད་ཆེན་པོ་ཕྱུང་གྱུར་ཅིང་། །ལྷ་ཡི་མེ་ཏོག་ཀུ་སུ་མ། །ཡིད་འོང་གཏོར་ཅིང་ཞིང་འདི་བཀང་། ། ||| After this, the gods Made a loud cry And scattered pleasing divine flowers, Filling the realm.
ལྷ་རྣམས་མཁའ་ལ་འདུག་ནས་སུ། །གླུ་དབྱངས་དཔག་ཏུ་མེད་པ་ལེན། ། ||| The gods, having remained in the sky, Then sang countless songs.
ཚངས་པ་དག་ནི་བྱེ་བ་ཡིས། །ཙན་དན་དམར་པོའི་ཆར་ཕབ་པོ། ། ||| Millions of brahmā gods Cast down a rain of red sandalwood powder.
དེ་བཞིན་གཤེགས་པས་མདོ་སྡེ་འདི། །གསུངས་ཚེ་དྲ་བ་ཅན་ཐོས་ཏེ། ། ||| When Ratnajālin heard this discourse Spoken by the Thus-Gone One,
སེམས་ནི་རངས་ཤིང་ཡིད་དགའ་ནས། །དེ་བཞིན་གཤེགས་ལ་ཚིག་གསོལ་བ། ། ||| He was pleased and delighted, And spoke these words to the Thus-Gone One:
ཕྱི་མའི་དུས་སུ་བདག་གིས་ནི། །དགེ་སློང་བགྱིས་ལ་མི་འཇིགས་པར། །གྲོང་དང་གྲོང་ཁྱེར་རྣམས་དག་ཏུ། །མདོ་སྡེ་འདི་ནི་བཤད་པར་བགྱི། ། ||| “In the future, I will become a monk And fearlessly preach this discourse In towns and villages.
སངས་རྒྱས་བཀའ་བཞིན་བདག་བགྱིད་དེ། །རྫོགས་སངས་རྒྱས་ལ་དཔལ་གྱིས་གསུངས། ། ||| “I will act according to the Buddha’s teaching, Which the perfect Buddha has spoken so gloriously.
དཔག་ཚད་བྱེ་བར་མཆིས་ནས་སུ། །འདི་ཡི་ཚུལ་ནི་བཤད་པར་བགྱི། ། ||| Traveling millions of leagues I will preach the way.
ལྷ་ཀུན་དང་ནི་ཀླུ་རྣམས་དང་། །ཡང་ན་མིའམ་ཅི་དང་ནི། །མི་མ་ཡིན་རྣམས་མགྲོན་གཉེར་ཏེ། །ཆོས་ཀྱི་སྦྱིན་པས་ཚིམ་པར་བགྱི། ། ||| “I will serve all the gods, nāgas, And kinnaras, And other non-human beings, Satisfying them with the gift of Dharma.”
བླ་ན་མེད་པའི་མདོ་སྡེ་འདི། །སངས་རྒྱས་ཀྱིས་ནི་གསུངས་པ་ན། །ལྷ་མ་ཡིན་ཚོགས་དགའ་གྱུར་ནས། །མེ་ཏོག་དཔག་ཏུ་མེད་པ་འཐོར། ། ||| When this unsurpassed discourse Was taught by the Buddha, The assembly of asuras celebrated And scattered countless flowers.
སངས་རྒྱས་ཀྱི་ནི་ཞིང་འདི་དག །མི་མཆོག་ཤཱཀྱ་སེང་གེ་ཡི། །ཆོས་ཀྱི་རྒྱལ་པོའི་སྤུ་གཅིག་གིས། །ཞིང་རྣམས་ཐམས་ཅད་སྣང་བར་མཛད། ། ||| A single hair of the Dharma King, The Lion of the Śākyas, Who is the supreme being in all buddha realms, Illuminated all the realms.
སེམས་ཅན་སྙིང་པོའི་བདག་ཉིད་ཅན། །སྟོན་པ་ཡི་ནི་ལྗགས་ཕྱུང་ནས། །གང་གཱའི་བྱེ་མ་སྙེད་དག་གི། །ཞིང་རྣམས་བྱེ་བ་ཁེབས་པར་མཛད། ། ||| Then, the tongue of the Teacher, The great being, the essential being, Emerged and covered millions of realms As numerous as the grains of sand in the Ganges.
དེ་བཞིན་ཕྱོགས་བཅུའི་འཇིག་རྟེན་གྱི། །ཞིང་རྣམས་བྱེ་བ་ཁེབས་མཛད་དེ། །གཞོན་ནུ་རིན་ཆེན་དྲ་བ་ཅན། །དཔའ་བོ་དང་ནི་ལིཙྪ་བཱི། །བྱེ་བ་དྲུག་ཅུ་ཙམ་དག་ནི། །ལྷན་ཅིག་ལྷགས་ལ་བཀའ་སྩོལ་ཅིག ། ||| As the Thus-Gone One covered millions of realms Throughout the ten directions of the universe, The youth Ratnajālin, As well as other heroes and Licchavis Numbering six hundred million, Arrived saying, “Please teach us!”
དེ་ནས་དེར་ནི་སྟོན་པ་ཡིས། །དེ་དག་ཆོས་ལ་གཟུད་པར་མཛད། ། ||| The Teacher then introduced The Dharma to them all.
བདེ་བ་ཐམས་ཅད་སྦྱིན་མཛད་པ། །སངས་རྒྱས་སྤྱན་ནི་ཐོགས་པ་མེད། ། ||| The buddhas gift every form of happiness, And their eyes are unimpeded.
དེ་བཞིན་གཤེགས་རྣམས་དཔག་མེད་དེ། །སངས་རྒྱས་ཆོས་ལ་ཐེ་ཚོམ་སྤོང་། ། ||| The countless thus-gone ones Have abandoned doubt about awakened qualities.
སངས་རྒྱས་ཡེ་ཤེས་ཐོགས་མེད་དེ། །དུས་གསུམ་རྣམས་ལའང་འཇུག་པར་མཛད། ། ||| The buddhas’ wisdom is unimpeded— It perceives the three times.
ཆོས་རྣམས་ཀུན་ལ་མངའ་བརྙེས་པས། །སངས་རྒྱས་ལ་ནི་མི་མཁྱེན་མེད། ། ||| Given that they have dominion over all phenomena, There is nothing unknown to the buddhas.
ཕུང་པོ་རྣམས་ནི་མེད་པའོ་ཞེས། །མི་ཡི་འདྲེན་པ་སྟོན་པར་མཛད། ། ||| The Guide of Humans preaches That the aggregates are nonexistent.
ཁམས་བཞི་དག་ནི་གསོག་དང་འདྲ། །གང་དུའང་སྒྲ་ལ་ཆགས་པ་མེད། ། ||| The four elements are as if hollow, And nowhere are there sounds to be attached to.
གཟུགས་དང་ཚོར་བ་འདུ་ཤེས་དང་། །སེམས་པ་དང་ནི་འདུ་བྱེད་དང་། །རྣམ་ཤེས་ཕུང་པོའི་སྙིང་པོ་ནི། །མེད་པ་དག་ཏུ་ཤེས་པར་གྱིས། ། ||| The essence of the aggregates Of form, feeling, perception, Thoughts, formations, and consciousness Should be known to be nonexistent.
སངས་རྒྱས་ཀྱིས་ནི་གསུངས་པ་བཞིན། །དེ་ལྟར་ཕུང་པོ་རྣམས་ཕྱེ་ནམྱུར་དུ་གཟུངས་རྣམས་འཐོབ་འགྱུར་ཞིང་། །ཤིན་ཏུ་རྨོངས་པ་མེད་པར་འགྱུར། ། ||| Just as the Buddha has taught, If one distinguishes the aggregates, One will swiftly attain the dhāraṇīs And become undeluded.
ཆོས་རྣམས་དག་ནི་གསོབ་དང་འདྲ། །ཐམས་ཅད་སྟོང་ཞིང་བདག་མེད་དོ། ། ||| All phenomena are void— All of them are empty and without self.
རྩོད་པ་མེད་ཅིང་རྨོངས་མེད་པ། ། ||| Of this there can be no debate or delusion.
དེ་སྐད་དེ་བཞིན་གཤེགས་པས་གསུངས། ། ||| This is what the Thus-Gone One has taught.
གཞོན་ནུ་ལྷོ་ཕྱོགས་ལོགས་ན་གཞོན་ནུ་དཔེ་སྔ་མ་ལྟ་བུ་ལས་ཉིས་གྱུར་གྱི་རྡུལ་ཕྲ་མོའི་རྡུལ་བགྲངས་པའི་ཚུལ་གྱིས་སངས་རྒྱས་ཀྱི་ཞིང་བཅུ་གཉིས་འདས་པ་ན་དེ་ན་ཟླ་བས་བརྒྱན་པ་ཞེས་བྱ་བའི་འཇིག་རྟེན་གྱི་ཁམས་ཡོད་དེ ||| “Young man, located in the south, past twelve buddha realms reckoned as twice the number of smallest particles in the previous analogy, there is a world called Adorned by the Moon.
དེ་ན་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་མེ་ཏོག་གི་འོད་ཀྱིས་རྣམ་པར་རོལ་པ་མངོན་པར་མཁྱེན་པ་ཞེས་བྱ་བ་བཞུགས་ཏེ་ ||| There resides the thus-gone, worthy, perfect Buddha King of Knowledge of Floral Light Displays.
