འཕགས་པ་དཀོན་མཆོག་བརྩེགས་པ་ཆེན་པོའི་ཆོས་ཀྱི་རྣམ་གྲངས་ལེའུ་སྟོང་ཕྲག་བརྒྱ་པ་ལས་ལེའུ་ཉི་ཤུ་རྩ་གཅིག་པ་སྟེ་སྒྱུ་མ་མཁན་བཟང་པོ་ལུང་བསྟན་པ། བམ་པོ་གཅིག་པ། རྒྱ་གར་སྐད་དུ། ཨཱརྱ་བྷ་དྲ་མཱ་ཡཱ་ཀ་ར་བྱཱ་ཀ་ར་ཎ་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་སྒྱུ་མ་མཁན་བཟང་པོ་ལུང་བསྟན་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ། ||| The Noble Mahāyāna Sūtra The Prophecy for Bhadra the Illusionist
རྒྱལ་པོའི་ཁབ་ཀྱི་གྲོང་ཁྱེར་ཆེན་པོ་ན་རྩིག་པའམ། ཁྱིམ་མམ། ཁང་བཟངས་སམ། སྲང་ངམ། ལམ་པོ་ཆེ་ཇི་སྙེད་ཡོད་པ་དེ་དག་ཐམས་ཅད་ན་ཡང་དེ་བཞིན་གཤེགས་པའི་སྐུ་མཚན་གྱིས་བརྒྱན་པ་མཐོང་ངོ་། ། ||| Everywhere in the great city of Rājagṛha, in every building, house, and palace, on every path and road, he saw the Tathāgata, adorned with the marks of a great being.
དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་དེ་དག་ཐམས་ཅད་ཀྱི་སྤྱན་སྔ་ན་ཡང་སྒྱུ་མ་མཁན་བཟང་པོ་བདག་ཉིད་ཕྱག་འཚལ་ནས་ཉེས་པ་འཆགས་པར་མཐོང་ཞིང་། དེ་ནས་སྒྱུ་མ་མཁན་བཟང་པོའི་མིག་ལམ་ན་གང་ཅུང་ཟད་ཅི་སྣང་བ་དེ་ཐམས་ཅད་དེ་བཞིན་གཤེགས་པ་མ་གཏོགས་པ་གཞན་ཅུང་ཟད་ཀྱང་མ་མཐོང་ནས་དེ་ཚིམ་ཞིང་མགུ་ལ་ཡི་རངས་ཏེ། ||| And in front of every tathāgata, arhat, complete and perfect Buddha, Bhadra the illusionist saw himself bowing and confessing his faults, and wherever else Bhadra the illusionist looked, in every corner of his field of vision, he saw nothing but the Tathāgata.
རབ་ཏུ་དགའ་ཞིང་དགའ་བ་དང་ཡིད་བདེ་བར་གྱུར་ཏོ། ། ||| He was utterly delighted and, rejoicing, became overjoyed and blissful.
དེ་དགའ་བ་དང་ཡིད་བདེ་བ་དེ་ཉིད་ཀྱིས་དད་པ་རྗེས་སུ་དྲན་པའི་ཏིང་ངེ་འཛིན་ཐོབ་བོ། ། ||| Through that very feeling of joy and bliss, he attained the samādhi called recollecting the Buddha.
དེ་ཏིང་ངེ་འཛིན་དེ་ལས་ལངས་མ་ཐག་ཏུ་ཐལ་མོ་སྦྱར་ཏེ་བཅོམ་ལྡན་འདས་ཀྱི་སྤྱན་སྔར་འདུག་ནས་ཚིགས་སུ་བཅད་པ་འདི་དག་གསོལ་ཏོ། །བཞེད་ན་བརྒྱ་ཕྲག་སྟོང་ལས་ལྷག་གྱུར་ཅིང་། །དཔེར་ན་གང་གཱའི་ཀླུང་གི་བྱེ་སྙེད་ཀྱི། །སངས་རྒྱས་མང་པོ་སྤྲུལ་པར་མཛད་པ་ཡི། ། ||| As soon as he emerged from that samādhi, he joined his palms together and, seated before the Blessed One, spoke these verses: “I have been won over by the Tathāgata’s magical display, By which, if he wished, he could create A hundred thousand buddha emanations, Or as many as the grains of sand in the Ganges.
དེ་བཞིན་གཤེགས་པའི་རྫུ་འཕྲུལ་དེ་ལ་མོས། །བདག་གིས་སྔོན་བསླབས་སྒྱུ་མའི་ས་མ་ལགས། །འཛམ་བུའི་གླིང་ན་བདག་འདྲ་མེད་སྙམ་ན། །དེ་རིང་རྒྱལ་བའི་རྫུ་འཕྲུལ་འདི་མཐོང་ནས། །འདི་ཡི་གྲངས་དང་ཆར་ཡང་མ་ཕོད་དོ། ། ||| “I once thought that I was unequaled in Jambudvīpa In the level of my skill in illusions, But today, seeing this magical display of the Victorious One, My power does not approach a fraction of it.
བདག་གི་ཤ་ཡི་མིག་གིས་གང་མཐོང་བ། །ཐམས་ཅད་རྒྱལ་བའི་མཚན་གྱིས་བརྒྱན་པའི་སྐུ། ། ||| “Looking with my eye of flesh, Everywhere I see the form of the Victorious One adorned with the marks.
ཆོས་ཀྱི་རྒྱལ་པོ་ལ་ནི་འདི་དག་ཞུས། །རྒྱལ་བ་ཡང་དག་གང་ལགས་བཀའ་སྩོལ་ཅིག ། ||| I beseech the king of Dharma— Please tell me, which is the real Victorious One?
གང་ཞིག་མཆོད་ན་ལེགས་པར་མཆོད་པ་ལགས། ། ||| “By offering to which will the offering be best?
གང་ལ་འབྲས་བུ་ཆེན་པོར་འགྱུར་བ་ལགས། ། ||| Which will lead to the greater result?
གང་གི་བྱང་ཆུབ་འཐུན་པར་གཟུང་བ་འདི། ། ||| Holding to which will accord with awakening?
ཀུན་ཏུ་སྤྱན་གྱིས་བདག་ལ་བཀའ་སྩོལ་ཅིག ། ||| Please tell me with your all-seeing vision!
དེ་རིང་འཇིག་རྟེན་མགོན་བགམ་བགྱིས་པ་ཡི། །ནོངས་པ་གང་ལགས་དེ་འདིར་ཀུན་ཏུ་འཆགས། ། ||| “Today I confess my wrongdoing Of putting the guardian of the world to the test.
གང་དག་སེམས་ཅན་མཆོག་ལ་གུས་མི་གནས། །སེམས་ཅན་དེ་དག་རྒྱལ་བའི་བདེ་ལས་ཉམས། ། ||| Those who do not show humility before the supreme being— Such beings forsake the bliss of the Victorious One.
བདག་ལ་ལྷ་དང་བརྒྱ་བྱིན་ཚངས་པ་དང་། །འཁོར་འདུས་གྱུར་པ་འདི་དག་ཀུན་གསོན་ཅིག ། ||| “O gods, Śakra, Brahmā, And all who are assembled here, please listen to me!
སེམས་ཅན་ཐམས་ཅད་རབ་ཏུ་དགྲོལ་སླད་དུ། །བྱང་ཆུབ་སེམས་ནི་བདག་གིས་བསྐྱེད་པར་བགྱི། ། ||| In order to completely liberate all beings, I engender the mind of awakening.
བདག་གིས་སེམས་ཅན་ཐམས་ཅད་འགྲོན་དུ་གཉེར། །བདུད་རྩི་བདེ་བས་ཡང་དག་ཚིམ་པར་བགྱི། ། ||| “Treating all beings as my guests, I will satisfy them with blissful nectar.
གཉིད་ཀྱིས་རབ་ལོག་སེམས་ཅན་ཤེས་རབ་ཀྱི། །མཐུ་དང་སྒྲུབ་པས་རྣམ་པར་སད་པར་བགྱི། ། ||| I will awaken those beings obstructed by sleep With the perfected power of insight.
རྣམ་པར་འཕྲུལ་པ་འདི་འདྲ་མཐོང་གྱུར་ཅིང་། །བདེ་བར་གཤེགས་བཀའ་ཡིད་འོང་ཡེ་ཤེས་དང་། །ཆགས་པ་མེད་པའི་སྤྱོད་མཆོག་ཐོས་ནས་ནི། །སུ་ཞིག་དག་པའི་རྒྱུ་སེམས་བསྐྱེད་མི་བགྱིད། ། ||| “Who, upon seeing such a magical display And witnessing the Sugata’s delightful words and wisdom And his supreme conduct of nonattachment, Would not engender in mind the pure cause for awakening?
བྱང་ཆུབ་སེམས་མཁས་ཇི་ལྟར་སྤྱོད་པ་ཡི། །བྱང་ཆུབ་ལམ་ནི་བདག་ལ་བཤད་དུ་གསོལ། ། ||| “Please explain to me the path to awakening As practiced by those who know the mind of awakening.
གང་ལ་ཉན་ཐོས་རྣམས་ཀྱིས་མི་དཔོགས་པའི། །དེ་དག་རྣམས་ཀྱི་སྤྱོད་པ་ཇི་ལྟ་བུ། ། ||| What is the practice of bodhisattvas To which that of śrāvakas cannot be compared?
ཆོ་ག་སྤྱོད་པའི་ཡོན་ཏན་ཇི་ལྟ་བུ། ། ||| “What are the good qualities of practicing its rites?
མཉན་པར་འདོད་ལ་གུས་པ་ཇི་ལྟ་བུ། ། ||| What are the devotions of those who wish to hear the teachings?
ངེས་པ་རྣམས་ཀྱི་སྤྱོད་ལམ་ཅི་འདྲ་བ། ། ||| What is the conduct of these graceful bodhisattvas?
བདག་ལ་ཐེ་ཚོམ་མ་མཆིས་དེ་བཞིན་གསུངས། ། ||| Tell me, to still my doubts!
ཇི་ལྟར་ཐོས་པ་ཚོལ་ལ་གོམས་པ་ལགས། ། ||| “How do they accustom themselves to seeking learning?
ཐོས་པ་སྙིང་པོར་བགྱིད་པའི་དང་པོ་གང་། །གཞན་ལ་གསལ་བར་སྟོན་པ་ཇི་ལྟ་བུ། ། ||| How do they first fix this learning in their hearts Then teach it lucidly to others?
སྲོག་ཆགས་ཐམས་ཅད་ཇི་ལྟར་ཆོས་ལ་དད། ། ||| How may all creatures come to have faith in the Dharma?
ཇི་ལྟར་འདི་དག་ཤེས་ཀྱི་ཁེ་མི་ཚོལ། །ཟང་ཟིང་མེད་པའི་སེམས་ལ་ཇི་ལྟར་གནས། ། ||| “How do they become disinterested in profit And remain unattached to worldly concerns?
བྱས་པ་ཤེས་ཤིང་རབ་ཏུ་ཕན་འདོགས་དང་། །སེམས་ཅན་མི་ཕྱེད་གནས་པར་ཇི་ལྟར་འགྱུར། ། ||| How do they become and remain grateful and helpful And inseparable from beings?
གྲོགས་པོ་གང་དག་བསྟེན་བགྱི་ཇི་ལྟ་བུ། ། ||| “On what friends do they rely, and how do they rely on them?
སྡིག་པའི་གྲོགས་རྣམས་ཇི་ལྟར་རྣམ་པར་སྤོང་། ། ||| How do they shun bad companions?
ཇི་ལྟར་སངས་རྒྱས་རྣམས་དང་ཕྲད་པར་འགྱུར། ། ||| How do they meet with the buddhas?
དེ་དག་མཐོང་ནས་ཇི་ལྟར་མཆོད་པར་བགྱི། ། ||| And having seen them, how do they make offerings?
ཇི་ལྟར་བསླབ་པ་དག་ལ་གུས་པ་ལགས། །དེ་ཡི་བསླབ་པ་བཅའ་བ་གང་ཞིག་ལགས། ། ||| “How do they respect the pure trainings, And how do they commit to their trainings?
ཚུལ་ཁྲིམས་ཇི་ལྟར་རྣམ་པར་དག་པར་འགྱུར། །ཏིང་འཛིན་རྣམ་པར་དག་པ་ཇི་ལྟར་འཐོབ། ། ||| How does their discipline become perfectly pure, And how do they obtain perfectly pure samādhi?
ཇི་ལྟར་ཚུལ་བཞིན་རབ་ཏུ་སྦྱོར་བ་ལགས། །ཚུལ་བཞིན་མ་ལགས་ཇི་ལྟར་སྤོང་བ་ལགས། ། ||| “How do they adhere to what is proper And reject what is improper?
ཇི་ལྟར་ཤིན་ཏུ་ངེས་པར་བསམས་ཡིད་དང་། །ཉོན་མོངས་བདུད་ཀྱི་འཆིང་བས་མི་ཐུབ་ལགས། ། ||| How do they maintain a resolute will And avoid being caught by the demonic fetters of affliction?
ཇི་ལྟར་དད་ལྡན་དོན་ནི་སེམས་བགྱིད་ཅིང་། །སེམས་ཀྱིས་སེམས་ཅན་རྣམས་ནི་མི་གཏོང་ལགས། ། ||| “How do the faithful apply their minds to the ultimate Yet not abandon beings in their thoughts?
ཇི་ལྟར་སེམས་ཅན་ཡོངས་སུ་སྨིན་བགྱིད་ཅིང་། །ནོར་མཆོག་འཛིན་པ་མེད་ལ་དཔའ་བ་ལགས། ། ||| How do they bring beings to maturity While being heroic and without desiring exorbitant wealth?
ཇི་ལྟར་སེམས་ཅན་སྤྱོད་ལ་འཇུག་པ་དང་། །ཐབས་དང་བྱམས་པའི་སྙིང་རྗེ་གནས་པ་ལགས། ། ||| “How do they engage in conduct for the sake of beings, Abiding in skillful means and loving compassion?
མངོན་པར་ཤེས་པ་ཇི་ལྟར་ཡོངས་རྫོགས་འགྱུར། ། ||| How do they perfect the superknowledges?
