འཕགས་པ་ལྷག་པའི་བསམ་པ་བསྐུལ་བ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Mahāyāna Sūtra Inspiring Determination
དེར་སེམས་ཅན་མང་པོ་དག་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་སྤོང་བར་བྱེད་དེ། དེ་སྐད་སྨྲས་པས་སྐྱེ་བོ་མང་པོ་འདུན་པ་ལས་ཟློགས་པར་འགྱུར་རོ། ། ||| This will cause many beings to reject their Dharma discourses, and because of such remarks, many will lose interest in the Dharma.
འདི་སྐད་དུ་ཡང་དགེ་སློང་དེ་དག་ནི་སྦྱིན་པ་ལ་སོགས་པ་ཟང་ཟིང་ཀུན་ཏུ་སྤྱོད་པ་ཡིན་གྱི། མདོ་ལས་འབྱུང་བ་དང་། འདུལ་བ་ལས་འབྱུང་བའི་ཆོས་མི་སྟོན་ཏོ། ། ||| “They will go even further, saying, ‘Those monks are engaged in the material pursuit of donations, rather than in teaching the Dharma found in the sūtras and the vinaya.
འདི་ནི་ཆོས་མ་ཡིན་གྱིས་འདི་ལ་རི་མོར་བྱ་བ་མ་སྐྱེད་ཅིག་ཅེས་ཟེར་ཏེ། ||| This is not the proper Dharma, so do not show reverence toward it!’
སྐྱེས་བུ་བླུན་པོ་དེ་དག་གིས་ནི་ལེགས་པར་སྨྲས་པ་གང་ཅི་ཡང་རུང་བ་དེ་དག་ཐམས་ཅད་ནི་སངས་རྒྱས་ཀྱི་བཀའ་ཡིན་པར་དེ་ལྟར་མི་ཤེས་སོ། ། ||| “Those with poor discernment simply will not understand that whatever qualifies as a well-spoken statement—no matter what it is—is the word of the Buddha.
དེ་དག་གིས་བདུད་ཀྱི་བྱིན་གྱི་རླབས་ཀྱིས་དགེ་སློང་ཆོས་འཛིན་པ་དེ་དག་གི་ཆོས་དེ་སྤངས་པས་ཆོས་ཀྱིས་ཕོངས་པར་འགྱུར་བའི་ལས་མངོན་པར་འདུ་བྱེད་དོ། ། ||| Because they are under the spell of Māra, they will reject the Dharma of those Dharma-holding monks, and so will accumulate the karma of abandoning the Dharma.
ཆོས་ཀྱི་ཕོངས་པར་འགྱུར་བའི་ལས་མངོན་པར་འདུས་བྱས་པས་ལོག་པར་ལྟུང་བར་འགྲོ་བར་འགྱུར་རོ། ། ||| Through accumulating the karma of abandoning the Dharma, they will fall into lower realms.
བྱམས་པ་དེ་ལྟ་བས་ན་བྱང་ཆུབ་སེམས་དཔའ་དམ་པའི་ཆོས་ཀུན་ཏུ་སྲུང་བར་འདོད་པས་ཐབས་ལ་མཁས་པར་བྱ་སྟེ། ||| “Maitreya, in light of that, bodhisattvas who wish to safeguard the sacred Dharma must become skilled in method.
ཅི་ནས་སེམས་ཅན་མོས་པ་ཐ་དད་པ་དེ་དག་གི་ཁོང་ཁྲོ་བའི་སེམས་མི་སྐྱེ་བར་ཀུན་ཏུ་བསྲུང་བར་བྱའོ། ། ||| No matter what, they must be very careful not to provoke feelings of hostility in those who have differing dispositions.”
དེ་ནས་བཅོམ་ལྡན་འདས་ལ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་བྱམས་པས་འདི་སྐད་ཅེས་གསོལ་ཏོ། ། ||| The bodhisattva great being Maitreya then said to the Blessed One,
བཅོམ་ལྡན་འདས་འདི་ལྟར་ལྔ་བརྒྱ་པ་ཐ་མ་ལ་དམ་པའི་ཆོས་རྣམ་པར་འཇིག་པའི་ཚེ་བྱང་ཆུབ་སེམས་དཔའ་ཤེས་རབ་འཆལ་པ་དེ་དག་འབྱུང་བར་འགྱུར་ཏེ། ||| “Blessed One, in that way, during the final half-millennium, when the sacred Dharma is perishing, such bodhisattvas with weak sensibility will come to the fore.
སྤོབས་པ་ཡང་ཚོལ་ལ་སྤོབས་པ་ལ་མོས་པར་ཡང་མི་བགྱིད་པ་དང་། ||| Though ostensibly pursuing virtuosity, at the same time they will take no interest in those who actually possess it; and
གཟུངས་ཀྱང་ཚོལ་ལ་དགེ་སློང་ཆོས་འཛིན་པ་རྣམས་ཀྱི་ཆོས་ལ་ཡང་སུན་འབྱིན་པར་བགྱིད་པ་ནི་ངོ་མཚར་ལགས་སོ། ། ||| while they seek as well the power of retention, they will nonetheless denigrate the Dharma of monks who do retain the Dharma. Incredible, isn’t it?
བཅོམ་ལྡན་འདས་དཔེར་བགྱི་ན་མི་ལ་ལ་ཞིག་གིས་ཆབ་མིག་གམ། ཁྲོན་པའམ། མཚོ་ལས་ཆབ་འཚལ་བར་འཚལ་ལ། དེས་དེར་སླ་ཚྭ་བོར་ཏེསླ་ཚྭ་བོར་ནས་ཆབ་འཚལ་བར་བསམས་ཏེ། ||| “Blessed One, to offer an analogy, it is as though a person goes out searching for water from a spring, a well, or a lake, and when he gets there, he defecates in it, after which he thinks to draw the water out.
དེའི་སྣའི་དབང་པོས་ཆབ་དེ་བསྣམས་ནས་བདག་ཉིད་ཀྱིས་ནོངས་པར་གློ་བར་མ་ཆུད་དེ། འདི་ལྟར་ཀྱེ་མ་ཆུ་འདི་ནི་མནམ་མོ་ཞེས་ ||| “When the foul odor of the water reaches his nose, it doesn’t occur to him that the smell is his own fault, as he exclaims, ‘Oh my, this water stinks!’
ཆབ་ལ་སྐྱོན་འདོགས་པར་སེམས་སོ། ། ||| Instead, he blames the water for being bad.
བཅོམ་ལྡན་འདས་དེ་ལ་སངས་རྒྱས་ཀྱི་མཐུས་ཆོས་ཀྱི་ཚུལ་འདི་ལ་སྤོབས་པའི་དགེ་སློང་ཆོས་སྨྲ་བ་གང་ལགས་པ་དེ་དག་ནི་ཆབ་མིག་གམ། ཁྲོན་པ་འམ། མཚོ་ཇི་ལྟ་བ་དེ་བཞིན་དུ་བལྟ་བར་བགྱིའོ། ། ||| “Blessed One, in this analogy, where, through the power of the Buddha, there are Dharma-teaching monks who have confident command over the system of Dharma teachings, they are like the spring, the well, or the lake.
བཅོམ་ལྡན་འདས་ལྔ་བརྒྱ་པ་ཐ་མ་ལ་བྱང་ཆུབ་སེམས་དཔའ་འབྱུང་བར་འགྱུར་བ་རྣམས་ནི་ཇི་ལྟར་བྱིས་པའི་རང་བཞིན་ཅན་གྱི་མི་ཆབ་མིག་གམ། ཁྲོན་པ་འམ། མཚོའི་ནང་དུ་སླ་ཚྭ་བོར་ནས་ཆབ་འཚལ་བར་འཚལ་ལ། དེ་ཆབ་ལ་སྐྱོན་འདོགས་པ་བཞིན་ཏེ། ||| Blessed One, those bodhisattvas who will come to the fore in the final half-millennium are just like people of childish nature who defecate into the springs, wells, or lakes, and then when they seek to draw water out, find fault with that water; similarly,
ཤེས་རབ་འཆལ་པའི་རང་བཞིན་ཅན་དེ་དག་ཆོས་སྨྲ་བ་དེ་དག་དང་། ཆོས་ལ་ཡང་སུན་འབྱིན་པར་བགྱིད་དེ། ||| having faulty discernment, they will discredit those who teach the Dharma and discredit even the Dharma itself.
སུན་ཕྱུང་ནས་ཀྱང་དེ་དག་ཉིད་ལས་ཆོས་ཀྱི་རོ་འཚལ་བར་སེམས་ཏེ། ||| And although they are the ones who have discredited it, they will still believe that they are seeking the taste of the Dharma.
བདག་ཉིད་ཀྱིས་ནོངས་པར་གློ་བར་མ་ཆུད་ནས་རྣ་བའི་དབང་པོ་སྐྱོན་དང་ལྡན་པས་དགེ་སློང་ཆོས་འཛིན་པ་དེ་དག་ལ་སྟིང་ཞིང་ཁྱད་དུ་གསོད་ལ། འདི་སྐད་དུ་ ||| And without comprehending their own error, with a faulty sense of hearing, they will criticize and show contempt for those Dharma-holding monks, saying,
འདི་ལྟར་དགེ་སློང་ཆོས་སྨྲ་བ་འདི་དག་ནི་ཉེས་པ་མང་པོས་སུན་ཕྱུང་བ་ཡིན་ནོ་ཞེས་མཆི་སྟེ། ||| ‘Look at how these monks teaching the Dharma are betrayed by their many faults!’
དགེ་སློང་ཆོས་སྨྲ་བ་དེ་དག་གི་ཆོས་ཀྱི་རོ་ལ་སུན་འབྱིན་ཅིང་འཁྲུལ་པ་ཚོལ་ཏེ། སྐྱོ་ནས་འདོར་ཞིང་མཆི་བར་སེམས་ལགས་སོ། ། ||| They will revile the taste of the Dharma conveyed by those Dharma-teaching monks and look for its mistakes, dismiss it with distaste, and turn their backs on it.”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་བྱམས་པ་ལ་ལེགས་སོ་ཞེས་བྱ་བ་བྱིན་ཏེ། ||| The Blessed One then commended the bodhisattva great being Maitreya, saying, “Splendid!
བྱམས་པ་ལེགས་སོ། ། ||| Wonderful, Maitreya!
ལེགས་སོ། །ཇི་ལྟར་ཡང་འཁྲུལ་པ་མི་ཚོལ་ཞིང་སྐྱོན་ཐམས་ཅད་དང་བྲལ་བ་ཁྱོད་ཀྱིས་བཤད་པ་འདིའི་དཔེ་དེ་ལེགས་པར་སྨྲས་སོ། ། ||| This example you have explained expresses very well how not to search for mistakes, and how to be free of any faults.
བྱམས་པ་གཞན་ཡང་རྒྱུ་བཞིས་ན་སྤོབས་པ་ཐམས་ཅད་ནི་སངས་རྒྱས་ཀྱིས་གསུངས་པར་རིག་པར་བྱའོ། ། ||| “Maitreya, in addition, one should understand that any discourse that satisfies four conditions is what the Buddha spoke.
བཞི་གང་ཞེ་ན། ||| What are the four?
བྱམས་པ་འདི་ལ་སྤོབས་པ་དོན་དང་ལྡན་པ་ཡིན་གྱི་དོན་དང་མི་ལྡན་པ་མ་ཡིན་པ་དང་། ཆོས་དང་ལྡན་པ་ཡིན་གྱི་ཆོས་དང་མི་ལྡན་པ་མ་ཡིན་པ་དང་། ཉོན་མོངས་པ་ཟད་པར་བྱེད་པ་ཡིན་གྱི་ཉོན་མོངས་པ་འཕེལ་བར་བྱེད་པ་མ་ཡིན་པ་དང་། མྱ་ངན་ལས་འདས་པའི་ཡོན་ཏན་དང་ཕན་ཡོན་སྟོན་པ་ཡིན་གྱི་འཁོར་བའི་ཉེས་པ་འཕེལ་བར་བྱེད་པ་མ་ཡིན་པ་སྟེ། ||| Maitreya, they are (1) when the discourse is meaningful instead of meaningless, (2) when it contains the Dharma as opposed to not containing the Dharma, (3) when it makes defilements decrease and does not make defilements increase, and (4) when it teaches the qualities and benefits of nirvāṇa and does not increase the defects of saṃsāra.
