༄༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་ཙ་ཏུར་ད་ར་ཀ་ས་མཱ་དྷི་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་ཁྱེའུ་བཞིའི་ཏིང་ངེ་འཛིན་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། བམ་པོ་དང་པོ། ||| The Noble Mahāyāna Sūtra The Four Boys’ Absorption
ཉེ་དུའི་ཚོགས་རྣམས་བོས་ཏེ་ཕ་མ་དང་། ཕུ་ནུ་དང་། ཉེ་དུ་དང་། རྩ་ལག་གི་སྐྱེ་བོ་རྣམས་དང་ལྷན་ཅིག་ཏུ་བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་ལ་ཕྱག་འཚལ་བའི་སྲོག་ཆགས་འབུམ་ཕྲག་མང་པོས་ཡོངས་སུ་བསྐོར་ཅིང་མདུན་དུ་བདར་ཏེ། མཉན་ཡོད་ཀྱི་གྲོང་ཁྱེར་ཆེན་པོ་ནས་བྱུང་ནས་གྱད་རྣམས་དང་ཉེ་བ་ན་ཡོད་པ་ཤིང་སཱ་ལ་ཟུང་གི་ཚལ་ག་ལ་བ་དེར་དོང་ངོ་། །བཅོམ་ལྡན་འདས་སེང་གེའི་གཟིམས་ཁྲི་ལ་སྐུའི་གློ་གཡས་པས་ཕབ་སྟེ་གཟིམས་མ་ཐག་ཏུ་དེ་ནས་གཞན་ཡང་སྐད་ཅིག་དེ་དང་། ||| Then the child Thoroughly at Peace summoned his parents, siblings, and relatives, and escorted by his parents, siblings, relatives, kinsmen, and an entourage of many hundreds of thousands of beings who pay homage at the feet of the Blessed One, he left the great city of Śrāvastī and journeyed to the Yamakaśāla Grove in the country of the Mallas.
ཐང་ཅིག་དེ་དང་། ཡུད་ཙམ་དེ་ལ་ནུབ་ཕྱོགས་ལོགས་སུ་སངས་རྒྱས་ཀྱི་ཞིང་བྱེ་བ་འབུམ་ཕྲག་བརྒྱད་འདས་པ་ན། དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་དགའ་བའི་དབང་ཕྱུག་ཅེས་བྱ་བའི་སངས་རྒྱས་ཀྱི་ཞིང་ན་འཇིག་རྟེན་གྱི་ཁམས་དགའ་སྤུ་ཞེས་བྱ་བ་ནས། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་དམིགས་མེད་ཅེས་བྱ་བ་ཤི་འཕོས་ནས་སངས་རྒྱས་ཀྱི་ཞིང་འདིའི་འཛམ་བུའི་གླིང་འདི་ཉིད་དུ་བཱ་རཱ་ཎ་སཱིའི་གྲོང་ཁྱེར་ཆེན་པོར་ཚོང་དཔོན་མེ་ཏོག་བཟང་པོ་ཞེས་བྱ་བའི་ཁྱིམ་དུ་སྐྱེས་སོ། ། ||| As soon as the Blessed One had lain down on his right side upon the lion couch, at that very moment, right then, at that very instant, eight trillion buddha fields away to the west, in the world called Joy, the buddha field of the thus-gone, worthy, perfect buddha Lord of Joy, a bodhisattva great being called Without Reference passed away and was reborn here in this buddha field of Jambudvīpa, in the great city of Vārāṇasī, in the household of the eminent merchant called Excellent Flower.
དེ་ནས་ཁྱེའུ་དེ་སྐྱེས་མ་ཐག་ཏུ་དེའི་ཚེ་ཆེད་དུ་བརྗོད་པ་འདི་ཆེད་དུ་བརྗོད་དོ། །བདག་མེད་མི་གཡོའི་ཆོས་སྟོན་པ། །རྣམ་པར་འདྲེན་པ་སངས་རྒྱས་ནི། །སཱ་ལའི་ལྗོན་ཤིང་ཚལ་ཁྲོད་དུ། །དེ་རིང་མྱ་ངན་འདའ་བར་འགྱུར། ། ||| As soon as the child was born, he spoke up, and he spoke with purpose: “The Buddha, our guide, The teacher of the Dharma of unwavering selflessness, Will pass into nirvāṇa today Amidst a grove of śāla trees.
ཆོས་རྣམས་འདི་དག་དམིགས་མེད་ན། །མི་མཁས་དམིགས་པར་བྱེད་པ་དག །དེ་དག་སྡུག་བསྔལ་མི་གྲོལ་ཞིང་། །དེ་དག་རྣམས་ཀྱི་སྡུག་བསྔལ་འཕེལ། ། ||| “If all phenomena are beyond reference points, The unlearned who make reference points Will not be freed from suffering— Their suffering will only increase.
ཆོས་རྣམས་ཐམས་ཅད་གནས་མིན་ཏེ། །དེ་དག་རྣམས་ཀྱི་གནས་ཀྱང་མེད། ། ||| “All phenomena are ephemeral; There is no place where they abide.
ཟད་པ་དང་ནི་མ་ཟད་པ། །ཐམས་ཅད་འདི་ལ་རྙེད་མི་འགྱུར། ། ||| Neither that which is already exhausted nor that which is yet to be exhausted Is to be found.
སྟོང་པ་ནམ་ཡང་མི་འཇིག་ཅིང་། །སྟོང་པ་རྣམ་པར་འཇིག་པའང་མེད། ། ||| “Emptiness is never destroyed; Emptiness does not disintegrate.
དེ་ལ་རྐྱེན་ཀྱང་ཡོད་མིན་ཞིང་། །རྐྱེན་མེད་པ་ཡང་དེ་ལ་མེད། ། ||| It neither has conditions, Nor is it without conditions.
གང་གིས་ཞི་བ་མཐོང་དཀའ་ཞིང་། །ཟབ་མོའི་ཆོས་འདི་བསྟན་མཛད་པ། །ཤཱཀྱ་སེང་གེ་མི་ཡི་མཆོག །རྫོགས་པའི་སངས་རྒྱས་བཞུགས་སམ་ཅི། ། ||| “He who revealed peace, so hard to see, Through this profound doctrine— The lion of the Śākyas, the best of men, The perfect Buddha—is he still here?
སེང་གེ་ཆེན་པོ་གླང་པོ་ཆེ། །ཚངས་པར་གྱུར་ཅིང་ཟག་པ་མེད། །མིག་ཏུ་གྱུར་པ་དེ་རིང་ནི། །སཱ་ལའི་བར་དུ་འདའ་བར་འགྱུར། ། ||| “The great lion, the elephant Who has become pure, Whose vision has become flawless, Will today pass away between the śāla trees.
དགེ་སློང་དགེ་འདུན་མདུན་དག་ན། །ཟླ་བ་ཉ་བ་འདྲ་བར་ནི། །ཡུན་རིང་ཆོས་རྣམས་སྟོན་མཛད་པ། །ཕྱིན་ཆད་མཐོང་བར་མི་འགྱུར་རོ། ། ||| “He who, like a full moon, Gave teachings for so long Before the community of monks Henceforth shall be seen no more.
ལྷུན་པོའི་སྒང་ན་ནོར་ལྷ་ལྟར། །དགེ་སློང་ཚོགས་ལ་རྣམ་མཛེས་པ། །ལེགས་པར་གསུང་པ་མགོན་པོ་ནི། །ཕྱིན་ཆད་གྲོང་ཁྱེར་གཤེགས་མི་འགྱུར། ། ||| “He who glorified the monastic assembly Like a wealth deity atop a mountain peak, The protector, the eloquent teacher, Henceforth shall visit the city no more.
ལྷ་མིའི་མདུན་ན་སྐྱོབ་པ་ཡི། །བླ་མེད་ཆོས་ཀྱི་ང་རོ་དང་། །དགའ་བར་མཛད་པའི་གསུང་དབྱངས་ཏེ། །ཕྱིན་ཆད་ཐོས་པར་མི་འགྱུར་རོ། ། ||| “Before gods and humans, The roar of the protector’s unsurpassed doctrine, The melodious speech that brings delight, Henceforth shall be heard no more.”
བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་དམིགས་མེད་ཀྱིས་ཚིགས་སུ་བཅད་པ་དེ་དག་སྨྲས་མ་ཐག་ཏུ་དེ་ནས་དེའི་ཚེ་བཱ་རཱ་ཎ་སཱིའི་གྲོང་ཁྱེར་ཆེན་པོའི་སྲོག་ཆགས་འབུམ་ཐམ་པས་ཚིག་འདི་སྐད་ཅེས་སྨྲས་སོ། །གང་གི་ཕྱིར་ཁྱེའུ་འདི་སྐྱེས་མ་ཐག་ཏུ་དེ་ལྟར་སྔོན་གྱི་གནས་ཀྱི་ཚེ་རབས་དེ་དང་དེ་དག་རྗེས་སུ་དྲན་ཞིང་། ||| As soon as the bodhisattva great being Without Reference had uttered these verses, a hundred thousand people in the great city Vārāṇasī exclaimed, “How is it that this child can remember his past lives as soon as he is born?
འདིའི་ཤེས་པ་དང་མི་འཇིགས་པའི་སྟོབས་བསྐྱེད་པ་དེས་ཚིག་འབྲུ་སྣ་ཚོགས་ཀྱིས་ཚིགས་སུ་བཅད་པ་དེ་ལྟ་བུ་དག་རྗོད་པར་བྱེད་པའི་ཤེས་རབ་ཀྱི་སྤོབས་པ་དང་། ཤེས་རབ་ཀྱི་མི་འཇིགས་པ་དང་ཤེས་རབ་ཀྱི་ཁྱད་པར་ནི་ངོ་མཚར་ཏེ། ||| The eloquence of insight, the fearlessness of insight, and the extraordinary insight with which he has spoken these verses, with their various expressions—with such power of understanding and such fearlessness— is truly amazing!
བདག་ཅག་གིས་ཀྱང་དེ་ལྟ་བུའི་ཤེས་རབ་ཡང་དག་པར་བསྒྲུབ་པའི་ཕྱིར་ངེས་པར་འབད་པར་བྱའོ་ཞེས་སྨྲས་སོ། ། ||| We, too, must surely strive to fully achieve such insight!”
དེ་ནས་ཁྱེའུ་དེས་སྐྱེ་བོ་ཕལ་པོ་ཆེ་དེ་དག་འདི་ལྟ་སྟེ། མཐའ་ཡས་མུ་མེད་པ་དང་། སྣང་བ་མེད་པ་དང་། དམིགས་པ་མེད་པ་དང་། སྐྱེ་བ་མེད་པ་ལ་བཟོད་པའི་ཕྱིར་མི་ལྡོག་པ་དང་། ||| Then the child declared to the amassed crowd of people, “Acceptance that all is infinite and boundless, invisible, without reference points, and unborn is to reach irreversibility on the path.
ཐུན་མོང་མ་ཡིན་པ་དང་། མི་མཉམ་པ་དང་མཉམ་པ་ལ་བཀོད་པ་དང་། དེ་དག་གིས་འདི་སྐད་ཅེས་སྨྲས་སོ། ། ||| It is no ordinary thing; it is equal to the unequaled.”
བདག་ཅག་ཐམས་ཅད་ཀྱང་ཚོགས་པར་བྱས་ཏེ་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་སེམས་བསྐྱེད་པར་བྱའོ། །དེས་དེ་དག་ལ་འདི་སྐད་ཅེས་སྨྲས་སོ། ། ||| They replied, “All of us gathered here will set our minds on unsurpassed, completely perfect awakening!”
ཁྱེད་ཅག་གིས་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་སེམས་བསྐྱེད་ཟིན་གྱིས་ཁྱེད་ཅག་ཚུར་ཤོག་དང་། ||| The child said to them, “All of you, who have set your minds on unsurpassed, completely perfect awakening, come this way!
ད་བདག་ཅག་ཐམས་ཅད་ཚོགས་པར་བྱས་ལ་བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་དེ་ལ་བལྟ་བ་དང་། ཕྱག་བྱ་བ་དང་། བསྙེན་བཀུར་བྱ་བའི་ཕྱིར་འགྲོགས་ཏེ་འདོང་ངོ་། ། ||| We have gathered together, now let us travel together to see, pay homage, and serve the Blessed One, the thus-gone, worthy, perfect Buddha.”
