འཕགས་པ་དཀོན་མཆོག་བརྩེགས་པ་ཆེན་པོའི་ཆོས་ཀྱི་རྣམ་གྲངས་ལེའུ་སྟོང་ཕྲག་བརྒྱ་པ་ལས་ལེའུ་བཞི་པ་སྟེ། རྨི་ལམ་བསྟན་པ། བམ་པོ་དང་པོ། རྒྱ་གར་སྐད་དུ། ཨཱརྱ་སྭཔྣ་ནིར་དེ་ཤ་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་རྨི་ལམ་བསྟན་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ། ||| The Noble Mahāyāna Sūtra The Teaching on Dreams
ས་དང་པོ་ལ་ནི་ཕུང་པོ་གསུམ་པའི་ཆོས་ཀྱི་རྣམ་གྲངས་གདོན་པར་བྱའོ། ། ||| “On the first bhūmi, those bodhisattvas should recite the Three Sections Dharma discourse.
ས་གཉིས་པ་ལ་ནི་སངས་རྒྱས་རྗེས་སུ་དྲན་པ་བསྒོམ་པར་བྱའོ། ། ||| On the second bhūmi, they should train in recollecting the Buddha.
ས་གསུམ་པ་ལ་ནི་སྟོང་པ་ཉིད་བསྒོམ་པར་བྱའོ། ། ||| On the third bhūmi, they should cultivate emptiness.
ས་བཞི་པ་ལ་ནི་སྙིང་རྗེ་ཆེན་པོ་བསྒོམ་པར་བྱའོ། ། ||| On the fourth bhūmi, they should cultivate great compassion.
ས་ལྔ་པ་ལ་ནི་ལྷག་མཐོང་བསྒོམ་པར་བྱའོ། ། ||| On the fifth bhūmi, they should engage in insight meditation.
གང་གིས་བདག་རི་ལ་འཛེག་པར་ཀུན་ཏུ་ཤེས་ན་དེ་ནི་ས་དང་པོ་པར་བལྟའོ། ། ||| “If those bodhisattvas perceive themselves ascending a mountain, consider them to be on the first bhūmi.
གང་གིས་དབུས་སུ་ཕྱིན་ན་དེ་ནི་ས་གཉིས་པར་རོ། ། ||| If they have reached the midpoint, consider them to be on the second bhūmi.
གང་གིས་རྩེ་མོར་ཕྱིན་ན་དེ་ནི་ས་གསུམ་པར་རོ། ། ||| If they have reached the summit, consider them to be on the third bhūmi.
གང་མངོན་པར་ལྟ་བར་བྱེད་ན་དེ་ནི་ས་བཞི་པར་རོ། ། ||| If they are looking out from the mountain, consider them to be on the fourth bhūmi.
གང་འདུག་ན་དེ་ནི་ས་ལྔ་པར་རོ། ། ||| If seated, consider them to be on the fifth bhūmi. 70.
རྡོ་རྗེས་རབ་འཇོམས་གཞན་ཡང་བྱང་ཆུབ་སེམས་དཔའ་གང་གིས་རྨི་ལམ་ན་བདག་རིའི་རྩེ་མོ་ན་འདུག་པར་ཀུན་ཏུ་ཤེས་ན་བྱང་ཆུབ་སེམས་དཔའ་དེ་ནི་ས་དང་པོ་བདུན་པོ་དག་ཏུ་བལྟ་སྟེ། ||| “Vajrapramardin, if in a dream bodhisattvas perceive themselves on a mountain peak, consider those bodhisattvas to be on one of the first seven bhūmis.
བྱང་ཆུབ་སེམས་དཔའ་དེ་ལ་ནི་ལས་ཀྱི་སྒྲིབ་པ་ཆུང་ལ་བདུད་ཀྱི་ལས་ཤས་ཆེ་བ་ཡིན་པས་དེས་ནི་སྡུག་པའི་དངོས་པོ་ཡོངས་སུ་གཏང་བར་བྱ་ཞིང་ཉེ་དུ་ཡང་མཆོད་པར་བྱ། ཉེ་དུ་གཞན་དག་ཀྱང་དགའ་བར་བྱའོ། ། ||| Such bodhisattvas possess few karmic obscurations but are predominantly affected by Māra’s activity. They should therefore give up their beloved possessions, honor their relations, and please others who are close to them.
དེས་ན་དེའི་ལས་ཀྱི་སྒྲིབ་བ་དེ་རྣམ་པར་དག་པར་འགྱུར་ཞིང་བྱང་ཆུབ་ཏུ་ངེས་པར་འབྱུང་བར་ཡང་འགྱུར་རོ། ། ||| By doing so, their related karmic obscurations will be purified and they will find release in awakening.
རི་ཆེན་པོ་བདུན་པོ་དག་ནི་ས་བདུན་པོ་རྣམས་ཀྱི་འོ། །རི་རབ་ནི་ས་ལྷག་མ་རྣམས་ཀྱིའོ། ། ||| The seven great mountains correspond to the seven bhūmis, while Mount Meru corresponds to the remaining bhūmis. 71.
རྡོ་རྗེས་རབ་འཇོམས་གཞན་ཡང་བྱང་ཆུབ་སེམས་དཔའ་གང་གིས་རྨི་ལམ་ན་བདག་ཤིང་ལྗོན་པ་ལ་འཛེག་པར་ཀུན་ཏུ་ཤེས་ན་བྱང་ཆུབ་སེམས་དཔའ་དེ་ནི་ས་དང་པོ་བཞི་པོ་དག་ལས་ས་གང་ཡང་རུང་བར་བལྟ་སྟེ། ||| “Vajrapramardin, if in a dream bodhisattvas perceive themselves to be climbing a tree, consider those bodhisattvas to be on one of the first four bhūmis.
དེ་ལ་ནི་བདུད་ཀྱི་ལས་དང་ལས་ཀྱི་སྒྲིབ་པ་ཡང་འབྲིང་ཙམ་སྟེ། ||| Such bodhisattvas are only moderately influenced by the activity of Māra and have a moderate amount of karmic obscurations.
དེས་ནི་དགེ་བའི་བཤེས་གཉེན་གང་དག་སྣང་བ་ཐོབ་པ་རྣམས་དང་། གང་དག་གིས་དུས་དུས་སུ་དེའི་ཆོས་ཀྱི་ཐེ་ཚོམ་སེལ་བར་ནུས་པའི་དགེ་བའི་བཤེས་གཉེན་དག་ལ་བསྟེན་པར་བྱའོ། ། ||| They should rely on spiritual guides who have achieved illumination, and from time to time also rely on spiritual guides who are able to clear away their doubts about the Dharma.
དེས་ན་དེའི་ལས་ཀྱི་སྒྲིབ་པ་དེ་རྣམ་པར་དག་པར་འགྱུར་ཞིང་བྱང་ཆུབ་ཏུ་ངེས་པར་འབྱུང་བར་ཡང་འགྱུར་རོ། ། ||| By doing so, their related karmic obscurations will be purified and they will find release in awakening.
དེ་ལ་གྲིབ་ཤིང་ལོ་མ་ཕུན་སུམ་ཚོགས་པ་ལ་འཛེགས་ན་ས་དང་པོར་རོ། ། ||| “If those bodhisattvas climb a shade tree with an abundance of leaves, they are on the first bhūmi.
སྤོས་ཀྱི་ཤིང་ལ་ན་ས་གཉིས་པར་རོ། ། ||| If it is a fragrant tree, they are on the second bhūmi.
མེ་ཏོག་གི་ཤིང་ལ་ན་ས་གསུམ་པར་རོ། ། ||| If it is a flowering tree, they are on the third bhūmi.
འབྲས་བུའི་ཤིང་ལ་ན་ས་བཞི་པར་ཏེ། ||| If it is a fruit tree, they are on the fourth bhūmi.
མངོན་པར་བརྩོན་པ་དག་གི་མཚན་མ་དེ་དག་ཡིན་གྱི་མངོན་པར་མི་བརྩོན་པ་དག་ལ་ནི་བདུད་ཀྱི་ལས་ཀྱང་ཡོད་དོ། ། ||| These are the signs for those who are industrious, but are the work of Māra for those who are not industrious.
ས་གོང་མ་པ་དག་གིས་ནི་ཐམས་ཅད་ཕུན་སུམ་ཚོགས་པའི་ཤིང་ལྗོན་པ་དག་མཐོང་བར་འགྱུར་ཏེ། ལས་ཀྱི་རྣམ་པར་སྨིན་པ་ནི་མ་གཏོགས་སོ། ། ||| Those on higher bhūmis see trees that are abundant in every way, unless the signs are the ripening of karma.
རྡོ་རྗེས་རབ་འཇོམས་གཞན་ཡང་བྱང་ཆུབ་སེམས་དཔའ་གང་གིས་རྨི་ལམ་ན་གླང་པོ་ཆེའི་གཙོ་བོ་མཐོང་ན་བྱང་ཆུབ་སེམས་དཔའ་དེ་ནི་ས་དང་པོ་དྲུག་པོ་དག་ལས་ས་གང་ཡང་རུང་བར་བལྟ་སྟེ། ||| 72. “Vajrapramardin, if in a dream bodhisattvas see the best of elephants, consider those bodhisattvas to be on one of the first six bhūmis.
བྱང་ཆུབ་སེམས་དཔའ་དེས་སྦྱིན་པ་སྤྱད་པ་ལྟར་ཤེས་རབ་དེ་ལྟར་མ་སྤྱད་པས་དེ་ལ་དགེ་བའི་རྩ་བ་དག་དཀའ་བས་སྐྱེ་བར་འགྱུར་ཏེ། ||| Such bodhisattvas have not trained in insight in the same way they trained in generosity, and thus find it difficult to produce roots of virtue.
དེས་ནི་དད་པར་བྱ་ཞིང་ངེས་པར་བརྟག་པ་མང་དུ་ཡང་བྱའོ། ། ||| They should cultivate faith and frequently engage in investigation.
དེས་ན་དེའི་ལས་ཀྱི་སྒྲིབ་པ་དེ་རྣམ་པར་དག་པར་འགྱུར་ཞིང་བྱང་ཆུབ་ཏུ་ངེས་པར་འབྱུང་བར་ཡང་འགྱུར་རོ། ། ||| By doing so, their related karmic obscurations will be purified and they will find release in awakening.
དེ་ལ་གླང་པོ་ཆེའི་གཙོ་བོ་ཡོངས་སུ་མ་དག་པ་མཐོང་ན་ས་དང་པོར་རོ། ། ||| “If they see the best of elephants when it is unclean, they are on the first bhūmi.
ཐལ་ཀར་མཐོང་ན་ས་གཉིས་པར་རོ། ། ||| If they see one that is clean, they are on the second bhūmi.
མཆེ་བ་དྲུག་པ་མཐོང་ན་ས་གསུམ་པར་རོ། ། ||| If they see one with six tusks, they are on the third bhūmi.
རྒྱན་གྱིས་བརྒྱན་པ་མཐོང་ན་ས་བཞི་པར་རོ། ། ||| If they see one adorned with ornaments, they are on the fourth bhūmi.
རྒྱལ་མཚན་དང་། གདུགས་ཐོགས་པ་མཐོང་ན་ས་ལྔ་པར་རོ། ། ||| If they see one adorned with a banner and parasol, they are on the fifth bhūmi.
སྒྲ་འབྱིན་པར་མཐོང་ན་ས་དྲུག་པར་རོ།། །། ||| If they see one that is trumpeting, they are on the sixth bhūmi.
བམ་པོ་གསུམ་པ་སྟེ་ཐ་མ།
རྡོ་རྗེས་རབ་འཇོམས་གཞན་ཡང་བྱང་ཆུབ་སེམས་དཔའ་གང་གིས་རྨི་ལམ་ན་བདག་གླང་པོ་ཆེའི་གཙོ་བོ་ལ་ཞོན་པར་ཀུན་ཏུ་ཤེས་ན་བྱང་ཆུབ་སེམས་དཔའ་དེ་ནི་ས་དང་པོ་བདུན་པོ་དག་ཏུ་བལྟ་སྟེ། ||| 73. “Vajrapramardin, if in a dream bodhisattvas perceive themselves to be riding the best of elephants, consider those bodhisattvas to be on one of the first seven bhūmis.
བྱང་ཆུབ་སེམས་དཔའ་སྐྱེ་བ་གཅིག་གིས་ཐོགས་པ་དང་། དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་རྣམས་ཀྱིས་དགོངས་ཤིང་དེ་ལ་ཡེ་ཤེས་འཇུག་པ་དང་། དབང་ཕྱུག་ཆེན་པོ་ཡང་ཡོད་པ་ཡིན་པས་དེས་ན་གུས་པ་དང་བཅས་པ་དང་། ||| Such bodhisattvas are just one birth away from awakening, are thought of by the thus-gone, worthy, completely perfect buddhas, and are introduced to knowledge by them as well as by Maheśvara.
